"Colony Capital Inc | Price History                                          14-May-2021 01:38",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CLNY.K,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
06-May-2015,2016/06/06,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",2966667020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",567160058,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"18.00 - 20.00",43112052,"0,076013907171157",32,"0,116788321167883",,,,,,,,,,,
"16.00 - 18.00",77091747,"0,135925910001229",37,"0,135036496350365",,,,,,,,,,,
"14.00 - 16.00",52796166,"0,0930886532915899",31,"0,113138686131387",,,,,,,,,,,
"12.00 - 14.00",86400130,"0,152338178229046",40,"0,145985401459854",,,,,,,,,,,
"10.00 - 12.00",203140022,"0,358170536049984",97,"0,354014598540146",,,,,,,,,,,
"8.00 - 10.00",104619941,"0,184462815256994",37,"0,135036496350365",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CLNY.K Statistics     Daily     06-May-2015 - 06-Jun-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"20,233426",2015/05/08,Max,8638283,2016/03/03,Advancing,247212935,Up,120,Up,"0,108030584753728",2016/01/11,Max,"99890155,5485",2015/06/26
Low,"8,191634",2016/02/12,Min,420475,2015/05/27,Declining,304894023,Down,144,Down,"-0,101329901250825",2015/09/28,Min,"6090754,183",2016/03/28
Avg,"13,138148080292",,Avg,"2069927,2189781",,Total,567160058,Unch,9,Period,"-0,447614617053054","06-May-2015 - 06-Jun-2016",Avg,"29343590,8447602",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CLNY.K History     Daily     06-May-2015 - 06-Jun-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2016/06/06,"10,549967","-0,0714649999999999","-0,00672837711525149","10,737562","10,523168","10,755428",3163488,"37647533,5097","-874644664,692",,,,,,
2016/06/03,"10,621432","-0,375188999999999","-0,0341185715139222","11,621937","10,228466","11,63087",5993515,"71420711,9469","-836997131,1823",,,,,,
2016/06/02,"10,996621","0,125062999999999","0,0115036869600474","10,773294","10,666098","11,03682",1730084,"21140389,8996","-765576419,2354",,,,,,
