"Cornerstone Common Stock | Price History                                          09-May-2021 23:05",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TCR.N^D05,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
19-Feb-2002,2003/03/19,,,,,,,,,,,
,,,,,,,,,,,,
"Deal Number",1371957020,,,,,,,,,,,
"VAP: Total",21727500,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"11.50 - 12.00",88200,"0,00405937176389368",1,"0,00366300366300366",,,,,,,,
"11.00 - 11.50",3630900,"0,16711080428029",54,"0,197802197802198",,,,,,,,
"10.50 - 11.00",3093100,"0,142358761937637",52,"0,19047619047619",,,,,,,,
"10.00 - 10.50",669800,"0,0308272926015418",6,"0,021978021978022",,,,,,,,
"9.50 - 10.00",1296300,"0,0596617190196755",11,"0,0402930402930403",,,,,,,,
"9.00 - 9.50",2387000,"0,1098607755149",27,"0,0989010989010989",,,,,,,,
"8.50 - 9.00",851500,"0,0391899666321482",9,"0,032967032967033",,,,,,,,
"8.00 - 8.50",2279600,"0,104917730986078",28,"0,102564102564103",,,,,,,,
"7.50 - 8.00",3710100,"0,170755954435623",44,"0,161172161172161",,,,,,,,
"7.00 - 7.50",3400600,"0,156511333563456",36,"0,131868131868132",,,,,,,,
"6.50 - 7.00",320400,"0,0147462892647566",5,"0,0183150183150183",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"TCR.N^D05 Statistics     Daily     19-Feb-2002 - 19-Mar-2003",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"11,58",2002/04/12,Max,332000,2002/07/19,Advancing,10221300,Up,126,Up,"0,0555555555555557",2002/11/06
Low,"6,51",2002/10/10,Min,22400,2002/07/05,Declining,11034300,Down,139,Down,"-0,0794016110471806",2002/10/07
Avg,"9,29989010989011",,Avg,"79587,9120879121",,Total,21727500,Unch,7,Period,"-0,342883548983364","19-Feb-2002 - 19-Mar-2003"
,,,,,,,,,,,,
,,,,,,,,,,,,
"TCR.N^D05 History     Daily     19-Feb-2002 - 19-Mar-2003",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2003/03/19,"7,11","0,0600000000000005","0,00851063829787241","7,08","7,01","7,11",63600,,,,,
2003/03/18,"7,05","-0,0499999999999998","-0,00704225352112674","7,05",7,"7,13",49100,,,,,
2003/03/17,"7,1","0,0499999999999998","0,00709219858156026","7,06","7,01","7,2",107500,,,,,
2003/03/14,"7,05","0,04","0,00570613409415122","6,98","6,95","7,08",69200,,,,,
2003/03/13,"7,01","0,04","0,00573888091822095","6,95","6,93","7,01",50500,,,,,
2003/03/12,"6,97","-0,0200000000000005","-0,00286123032904155","6,99","6,9","6,99",52200,,,,,
2003/03/11,"6,99","0,0300000000000002","0,00431034482758624","6,88","6,88","6,99",64400,,,,,
2003/03/10,"6,96","-0,04","-0,00571428571428572",7,"6,91","7,05",56400,,,,,
2003/03/07,7,"0,0300000000000002","0,00430416068866575","6,97","6,97","7,03",44200,,,,,
2003/03/06,"6,97","-0,13","-0,0183098591549296","7,07","6,97","7,08",70000,,,,,
2003/03/05,"7,1","0,04","0,0056657223796034","6,96","6,95","7,1",67500,,,,,
2003/03/04,"7,06","-0,04","-0,00563380281690141","7,08","6,96","7,1",43000,,,,,
2003/03/03,"7,1","-0,0800000000000001","-0,0111420612813371","7,13","6,96","7,18",86000,,,,,
