"Cousins Properties Inc | Price History                                          14-May-2021 01:51",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CUZ,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
29-Apr-2015,29-May-2016,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",2952899020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total","130008260,5",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"30.00 - 31.00","15496051,5","0,119192822366853",26,"0,0948905109489051",,,,,,,,,,,
"29.00 - 30.00","33015224,25","0,253947127075052",51,"0,186131386861314",,,,,,,,,,,
"28.00 - 29.00","16005974,25","0,123115055831395",45,"0,164233576642336",,,,,,,,,,,
"27.00 - 28.00","18458549,5","0,141979820582247",56,"0,204379562043796",,,,,,,,,,,
"26.00 - 27.00",17652923,"0,135783087413896",36,"0,131386861313869",,,,,,,,,,,
"25.00 - 26.00","12650806,75","0,0973077149201608",27,"0,0985401459854015",,,,,,,,,,,
"24.00 - 25.00","8916318,5","0,0685827074811143",16,"0,0583941605839416",,,,,,,,,,,
"23.00 - 24.00","6192200,75","0,0476292869867296",14,"0,0510948905109489",,,,,,,,,,,
"22.00 - 23.00",1620212,"0,0124623773425536",3,"0,0109489051094891",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CUZ Statistics     Daily     29-Apr-2015 - 27-May-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"30,943631",2015/06/18,Max,"3524228,5",2016/04/29,Advancing,"63378872,75",Up,132,Up,"0,0541149733393326",2015/08/27,Max,"149034777,414",2016/04/29
Low,"21,25963",2016/02/11,Min,114594,2015/12/24,Declining,"62146925,25",Down,131,Down,"-0,0659114184783252",2015/08/24,Min,"4326054,4397",2015/12/24
Avg,"27,5288515839416",,Avg,"474482,702554745",,Total,"130008260,5",Unch,10,Period,"0,0894472227290871","29-Apr-2015 - 27-May-2016",Avg,"18593886,9094365",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CUZ History     Daily     29-Apr-2015 - 27-May-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2016/05/27,"30,604832","0,310564999999997","0,0102516096527438","30,350733","30,350733","30,689532",271959,"11779705,4657","104453125,5455",,,,,,
2016/05/26,"30,294267","-0,112931999999997","-0,00371398891426985","30,491899","30,266033","30,548648",241691,"10407798,0008","92673420,0798",,,,,,
2016/05/25,"30,407199",0,0,"30,491899","30,096634","30,491899","276576,75","11871409,7538","103081218,0806",,,,,,
2016/05/24,"30,407199","0,734064","0,0247383365458352","29,899001","29,842535","30,435433","286915,25","12294457,141","91209808,3268",,,,,,
2016/05/23,"29,673135","-0,0564670000000014","-0,00189935270576449","29,701368","29,560202","29,842535",217774,"9166578,4176","78915351,1858",,,,,,
2016/05/20,"29,729602","0,395265999999999","0,0134745166892477","29,560202","29,419036","29,814301",883623,"37117718,5236","88081929,6034",,,,,,
2016/05/19,"29,334336","-0,423499","-0,0142315124739417","29,447269","28,826138","29,560202","684223,75","28367479,0199","50964211,0798",,,,,,
2016/05/18,"29,757835","-0,141165999999998","-0,00472142865241546","29,842535","29,36257","29,927234",541671,"22807617,1164","79331690,0997",,,,,,
2016/05/17,"29,899001","-0,621131000000002","-0,0203515174836073","30,407199","29,729602","30,463666",497607,"21197086,6556","102139307,2161",,,,,,
2016/05/16,"30,520132","0,479965","0,0159774411373945","30,040167","30,011934","30,576599","450655,5","19418910,9519","123336393,8717",,,,,,
2016/05/13,"30,040167","-0,0282340000000012","-0,000938992399363079","29,927234","29,546086","30,040167","480740,75","20363129,0113","103917482,9198",,,,,,
2016/05/12,"30,068401",0,0,"30,124867","29,842535","30,294267","463849,75","19737504,6869","124280611,9311",,,,,,
2016/05/11,"30,068401","-0,367031999999998","-0,0120593651485096","30,294267","30,011934","30,350733","669732,5","28623295,5773","144018116,618",,,,,,
2016/05/10,"30,435433","0,112932999999998","0,00372439607552142","30,435433","30,209567","30,633065","645037,75","27837493,3944","172641412,1953",,,,,,
2016/05/09,"30,3225","0,0282330000000002","0,000931958512150176","30,266033","29,983701","30,576599",559585,"24022903,4838","144803918,8009",,,,,,
2016/05/06,"30,294267","0,592899000000003","0,0199620098306584","29,588436","29,588436","30,3225","823880,75","35154549,6234","120781015,3171",,,,,,
2016/05/05,"29,701368","-0,197633","-0,00661002018094182","29,419036","29,419036","30,068401",1757081,"74211197,2423","85626465,6937",,,,,,
2016/05/04,"29,899001","-0,197633000000003","-0,00656661472508864","29,955468","29,842535","30,3225","824644,25","35009848,2611","159837662,936",,,,,,
2016/05/03,"30,096634","0,0847000000000016","0,00282221065793366","29,786068","29,560202","30,181334","1388776,75","58960335,5143","194847511,1971",,,,,,
2016/05/02,"30,011934","0,790531000000001","0,0270531500489556","29,080237","28,995537","30,026051","2176859,25","91729071,5482","135887175,6828",,,,,,
2016/04/29,"29,221403","-1,016397","-0,0336134573282448","30,011934","28,684972","30,858931","3524228,5","149034777,414","44158104,1346",,,,,,
2016/04/28,"30,2378","0,0564660000000003","0,0018708914589395","30,040167","30,011934","30,3225","294893,75","12618828,3535","193192881,5486",,,,,,
2016/04/27,"30,181334","0,254100000000001","0,00849059421929875","29,842535","29,757835","30,266033","496228,5","21136136,5088","180574053,1951",,,,,,
2016/04/26,"29,927234","0,310564999999997","0,0104861556172977","29,729602","29,623727","30,124867","560245,25","23723688,1472","159437916,6863",,,,,,
2016/04/25,"29,616669","0,310566000000001","0,0105973148323406","29,249637","29,164937","29,616669","178723,5","7454876,716","135714228,5391",,,,,,
2016/04/22,"29,306103","0,564665000000002","0,0196463725997287","28,797905","28,797905","29,306103","273313,75","11308099,1403","128259351,8231",,,,,,
2016/04/21,"28,741438","-0,564665000000002","-0,0192678296394441","29,36257","28,544088","29,616669","392302,75","16081340,4129","116951252,6828",,,,,,
2016/04/20,"29,306103","-0,225866","-0,0076481862756933","29,560202","29,19317","29,644902","252065,5","10475360,2002","133032593,0957",,,,,,
2016/04/19,"29,531969","0,310566000000001","0,0106280317888912","29,390803","29,080237","29,588436",331711,"13796420,7611","143507953,2959",,,,,,
2016/04/18,"29,221403","0,0564660000000003","0,00193609195864199","29,10847","28,995537","29,306103",381889,"15780104,5588","129711532,5348",,,,,,
2016/04/15,"29,164937","0,0564669999999978","0,00193988210304416","29,10847","29,023771","29,32022","552876,5","22827514,3541","113931427,976",,,,,,
2016/04/14,"29,10847","-0,282332999999998","-0,00960616829693281","29,36257","28,995537","29,36257","201706,75","8325623,3601","91103913,6219",,,,,,
2016/04/13,"29,390803","0,0282329999999966","0,000961530274768068","29,447269","29,136704","29,503736","817251,25","33950456,8434","99429536,982",,,,,,
2016/04/12,"29,36257","0,479965","0,0166177877653349","28,882605","28,848725","29,447269","278196,5","11546050,724","65479080,1386",,,,,,
2016/04/11,"28,882605","0,169400000000003","0,00589972453440858","28,769672","28,656739","29,066121","287366,75","11761230,4972","53933029,4146",,,,,,
2016/04/08,"28,713205","0,141165999999998","0,00494070444184954","28,797905","28,684972","29,15082","170782,25","6972925,1789","42171798,9174",,,,,,
2016/04/07,"28,572039","-0,508198","-0,0174757172714927","28,939071","28,388523","29,009654","311091,25","12605478,3559","35198873,7385",,,,,,
2016/04/06,"29,080237","-0,141165999999998","-0,00483091109622623","29,221403","28,939071","29,334336",305072,"12585072,588","47804352,0944",,,,,,
