"Cousins Properties Inc | Price History                                          06-May-2021 23:50",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CUZ,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2018/03/25,25-Apr-2019,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",3369770020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total","314044103,5",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"40.00 - 41.00",899877,"0,00286544784624495",1,"0,00366300366300366",,,,,,,,,,,
"39.00 - 40.00",20283697,"0,0645886892125647",15,"0,0549450549450549",,,,,,,,,,,
"38.00 - 39.00","66086249,75","0,210436206295464",47,"0,172161172161172",,,,,,,,,,,
"37.00 - 38.00","65631043,25","0,208986707658404",58,"0,212454212454212",,,,,,,,,,,
"36.00 - 37.00",24664000,"0,0785367396652935",27,"0,0989010989010989",,,,,,,,,,,
"35.00 - 36.00","21929023,25","0,0698278458522308",21,"0,0769230769230769",,,,,,,,,,,
"34.00 - 35.00","36102262,75","0,114959212249626",37,"0,135531135531136",,,,,,,,,,,
"33.00 - 34.00","55735192,5","0,177475685353857",50,"0,183150183150183",,,,,,,,,,,
"32.00 - 33.00",11332604,"0,0360860270060762",8,"0,0293040293040293",,,,,,,,,,,
"31.00 - 32.00",8866065,"0,0282319104265557",7,"0,0256410256410256",,,,,,,,,,,
"30.00 - 31.00",2514089,"0,00800552843368384",2,"0,00732600732600733",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CUZ Statistics     Daily     26-Mar-2018 - 25-Apr-2019",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"40,4",2019/03/21,Max,"5237086,75",2019/03/25,Advancing,164623624,Up,142,Up,"0,0337909186906017",2019/03/05,Max,"200005238,8312",2018/07/10
Low,"30,12",2018/12/26,Min,262216,2018/11/23,Declining,"139786608,5",Down,121,Down,"-0,0597165991902836",2019/03/25,Min,"8690986,3865",2018/11/23
Avg,"36,0232967032967",,Avg,"1150344,7014652",,Total,"314044103,5",Unch,9,Period,"0,107854630715123","26-Mar-2018 - 25-Apr-2019",Avg,"41579854,2131044",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CUZ History     Daily     26-Mar-2018 - 25-Apr-2019",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",,,,,,,
2019/04/25,"37,8","-0,0800000000000054","-0,00211193241816276","37,6","37,22","38,02","1324886,5","49930053,2156",,,,,,,
2019/04/24,"37,88","0,359999999999999","0,00959488272921107","37,48","37,48","37,94",1556644,"58742093,6244",,,,,,,
2019/04/23,"37,52","0,640000000000001","0,017353579175705","36,96","36,72","37,68","1731663,75","64784006,5297",,,,,,,
2019/04/22,"36,88","-0,559999999999995","-0,0149572649572648","37,24","36,4","37,28","966223,5","35470879,8938",,,,,,,
