"Digital Realty Trust Inc | Price History                                          14-May-2021 00:50",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DLR,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2016/06/09,2017/07/09,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",3112909020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",394816118,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"120.00 - 125.00",5542009,"0,0140369370634458",3,"0,0110294117647059",,,,,,,,,,,
"115.00 - 120.00",27962194,"0,0708233345225283",26,"0,0955882352941176",,,,,,,,,,,
"110.00 - 115.00",42527744,"0,107715318755046",31,"0,113970588235294",,,,,,,,,,,
"105.00 - 110.00",73660968,"0,186570316260493",58,"0,213235294117647",,,,,,,,,,,
"100.00 - 105.00",100180859,"0,253740550176829",67,"0,246323529411765",,,,,,,,,,,
"95.00 - 100.00",60133980,"0,152308827472945",36,"0,132352941176471",,,,,,,,,,,
"90.00 - 95.00",57600932,"0,145893061032529",36,"0,132352941176471",,,,,,,,,,,
"85.00 - 90.00",27207432,"0,0689116547161836",15,"0,0551470588235294",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"DLR Statistics     Daily     09-Jun-2016 - 07-Jul-2017",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"121,53",2017/06/26,Max,7069048,2017/06/09,Advancing,202807397,Up,148,Up,"0,0351753870272389",2016/07/22,Max,"806796579,3615",2017/06/09
Low,"85,63",2016/11/14,Min,502834,2017/05/26,Declining,190790158,Down,123,Down,"-0,046918694976696",2016/10/27,Min,"47042791,5995",2016/11/25
Avg,"103,678455882353",,Avg,"1451529,84558824",,Total,394816118,Unch,0,Period,"0,0710812913263322","09-Jun-2016 - 07-Jul-2017",Avg,"149104033,265807",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"DLR History     Daily     09-Jun-2016 - 07-Jul-2017",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2017/07/07,"110,15","0,790000000000006","0,00722384784198982","109,7","109,35",111,879313,"97069065,7241","1497414495,3502",,,,,,
2017/07/06,"109,36","-1,64","-0,0147747747747748","110,54","108,73","110,93",1125594,"123277599,5398","1400345429,6261",,,,,,
2017/07/05,111,"-2,31","-0,0203865501720943","113,17","110,34","113,73",1375217,"153188334,5573","1523623029,1659",,,,,,
2017/07/03,"113,31","0,359999999999999","0,00318725099601593","113,54","111,935","113,776",684741,"77250946,4718","1676811363,7232",,,,,,
2017/06/30,"112,95","0,019999999999996","0,000177100858939131","112,76","112,35","113,57",1977239,"223541618,7585","1599560417,2514",,,,,,
2017/06/29,"112,93","-2,42999999999999","-0,0210644937586685","114,92","111,85","115,15",1750090,"197653511,0968","1376018798,4929",,,,,,
2017/06/28,"115,36","-1,28","-0,0109739368998628","116,89","114,7","117,065",1460924,"168691180,4475","1573672309,5897",,,,,,
2017/06/27,"116,64","-3,51000000000001","-0,0292134831460675","119,87","116,58",120,1524275,"179574051,1175","1742363490,0372",,,,,,
2017/06/26,"120,15","-0,390000000000001","-0,00323544051767049","120,99","119,79","121,53",1573608,"189133224,6028","1921937541,1547",,,,,,
2017/06/23,"120,54","0,120000000000005","0,000996512207274577","120,27","120,0809","121,5",2166393,"261517681,7048","2111070765,7575",,,,,,
2017/06/22,"120,42","1,34","0,0112529392005375","119,14","118,3","120,69",1802008,"216258180,7884","1849553084,0527",,,,,,
