"Office Properties Income Trust | Price History                                          18-May-2021 13:46",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
OPI.O,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2016/06/28,2017/07/28,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",3120594020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total","52991322,5",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"95.00 - 100.00","2736509,75","0,0516407143830011",18,"0,0656934306569343",,,,,,,,,,,
"90.00 - 95.00","8641314,5","0,163070368738202",55,"0,200729927007299",,,,,,,,,,,
"85.00 - 90.00",6299228,"0,118872821111419",46,"0,167883211678832",,,,,,,,,,,
"80.00 - 85.00","6883648,25","0,129901423954837",51,"0,186131386861314",,,,,,,,,,,
"75.00 - 80.00","10719677,25","0,202291181730745",65,"0,237226277372263",,,,,,,,,,,
"70.00 - 75.00",17323850,"0,32691861955323",38,"0,138686131386861",,,,,,,,,,,
"65.00 - 70.00","387094,75","0,00730487052856626",1,"0,00364963503649635",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"OPI.O Statistics     Daily     28-Jun-2016 - 28-Jul-2017",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"98,44",2016/09/07,Max,"5120569,5",2017/06/29,Advancing,"23897048,25",Up,146,Up,"0,0397350993377483",2016/11/14,Max,"377473972,685",2017/06/29
Low,"69,44",2017/07/25,Min,"36134,5",2016/11/25,Declining,"26768444,25",Down,119,Down,"-0,117150034254396",2017/06/28,Min,"2760025,1184",2016/11/25
Avg,"83,7030656934307",,Avg,"193398,987226277",,Total,"52991322,5",Unch,8,Period,"-0,192943278249218","28-Jun-2016 - 28-Jul-2017",Avg,"15706283,7772066",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"OPI.O History     Daily     28-Jun-2016 - 28-Jul-2017",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2017/07/28,"72,28","0,0799999999999983","0,00110803324099721","72,4","71,8","72,5236","280202,5","20208415,4628","-218665905,1531",,,,,,
2017/07/27,"72,2","0,640000000000001","0,00894354387926216","71,56","70,8","72,8","395283,25","28504978,8615","-238874320,6159",,,,,,
