"Office Properties Income Trust | Price History                                          18-May-2021 13:48",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
OPI.O,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2017/09/17,2018/11/17,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",3288419020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",85564429,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"75.00 - 80.00","4117997,75","0,0481274496671976",28,"0,0945945945945946",,,,,,,,,,,
"70.00 - 75.00","9974896,5","0,116577608435861",63,"0,212837837837838",,,,,,,,,,,
"65.00 - 70.00","7008727,75","0,0819116989607913",36,"0,121621621621622",,,,,,,,,,,
"60.00 - 65.00","9143768,75","0,106864135679559",41,"0,138513513513514",,,,,,,,,,,
"55.00 - 60.00",8458811,"0,0988589662650586",36,"0,121621621621622",,,,,,,,,,,
"50.00 - 55.00","12052748,75","0,140861674540012",34,"0,114864864864865",,,,,,,,,,,
"45.00 - 50.00",10378715,"0,121297075447088",22,"0,0743243243243243",,,,,,,,,,,
"40.00 - 45.00","7899662,5","0,092324142080116",11,"0,0371621621621622",,,,,,,,,,,
"35.00 - 40.00","16168324,5","0,18896081805209",24,"0,0810810810810811",,,,,,,,,,,
"30.00 - 35.00","360776,5","0,00421643087222612",1,"0,00337837837837838",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"OPI.O Statistics     Daily     18-Sep-2017 - 16-Nov-2018",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"78,4",2017/10/17,Max,"3223531,5",2018/09/17,Advancing,"38781142,75",Up,143,Up,"0,0611551528878821",2018/11/01,Max,"171621954,5074",2018/09/17
Low,"33,76",2018/10/31,Min,69629,2017/11/24,Declining,"44963586,75",Down,143,Down,"-0,248371817643576",2018/09/17,Min,"4643718,4911",2018/06/08
Avg,"60,917972972973",,Avg,"289069,016891892",,Total,85564429,Unch,9,Period,"-0,521386031402274","18-Sep-2017 - 16-Nov-2018",Avg,"15720444,9430757",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"OPI.O History     Daily     18-Sep-2017 - 16-Nov-2018",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2018/11/16,"35,36","0,399999999999999","0,011441647597254","34,96",34,"35,4","517600,75","18061333,9959","-338676993,2593",,,,,,
2018/11/15,"34,96","-1,16","-0,0321151716500553","36,2","34,76","36,2","360776,5","12693038,8066","-356738327,2552",,,,,,
2018/11/14,"36,12","0,640000000000001","0,0180383314543405","35,6",35,"36,16",282667,"10081426,4062","-344045288,4486",,,,,,
2018/11/13,"35,48","-0,800000000000004","-0,0220507166482912","36,24","35,4","36,88",279056,"10038161,3148","-354126714,8548",,,,,,
2018/11/12,"36,28","-0,960000000000001","-0,0257787325456499","36,8","36,2","37,4","276041,75","10105815,0551","-344088553,54",,,,,,
2018/11/09,"37,24","-0,0399999999999991","-0,00107296137339053","37,2","36,56","37,48","184042,75","6824939,3862","-333982738,4849",,,,,,
2018/11/08,"37,28","0,280000000000001","0,0075675675675676","37,28","36,56","37,64","249136,5","9247602,1047","-327157799,0987",,,,,,
2018/11/07,37,"-0,119999999999997","-0,00323275862068959","37,4","36,7","37,92","374782,75","13889771,0752","-336405401,2034",,,,,,
2018/11/06,"37,12","0,559999999999995","0,0153172866520786","36,6","36,6","37,572",276126,"10221412,5981","-322515630,1282",,,,,,
2018/11/05,"36,56","0,800000000000004","0,022371364653244","36,04",36,"37,56","539343,25","19889577,9816","-332737042,7263",,,,,,
2018/11/02,"35,76","-1,72","-0,0458911419423692","37,28","35,28","37,4736",581031,"20754249,6963","-352626620,7079",,,,,,
2018/11/01,"37,48","2,16","0,0611551528878821","35,2","35,16","37,92","766316,5","28409039,7598","-331872371,0116",,,,,,
2018/10/31,"35,32","-0,880000000000003","-0,0243093922651934","36,08","33,76","36,2",1130458,"39327521,6278","-360281410,7714",,,,,,
2018/10/30,"36,2","-0,199999999999996","-0,00549450549450538","36,4","35,96",37,586895,"21308481,8246","-320953889,1436",,,,,,
2018/10/29,"36,4","0,159999999999997","0,0044150110375275","36,96",36,"37,16","616166,5","22457935,7437","-299645407,319",,,,,,
2018/10/26,"36,24","-4,04","-0,100297914597815","39,6","35,68","39,6",881073,"32339137,7966","-322103343,0627",,,,,,
2018/10/25,"40,28","-0,439999999999998","-0,0108055009823182","40,76","39,52","41,28",779540,"31477864,0459","-289764205,2661",,,,,,
2018/10/24,"40,72","1,16","0,0293225480283113","39,96","39,52","41,36",617856,"25062816,691","-258286341,2202",,,,,,
2018/10/23,"39,56","0,560000000000002","0,0143589743589744","38,8","37,96","40,34","706549,25","27944170,3586","-283349157,9112",,,,,,
2018/10/22,39,"-0,200000000000003","-0,0051020408163266","39,24","38,64","39,62",517915,"20275495,4008","-311293328,2698",,,,,,
2018/10/19,"39,2","0,960000000000001","0,0251046025104603","38,52","38,2","39,48","687241,5","26763667,7321","-291017832,869",,,,,,
2018/10/18,"38,24","-0,32","-0,008298755186722","38,64","37,66","39,22","424736,75","16328070,0693","-317781500,6011",,,,,,
2018/10/17,"38,56","-1,64","-0,0407960199004975","40,36","38,48","40,36",430949,"16807753,702","-301453430,5318",,,,,,
2018/10/16,"40,2","0,920000000000002","0,0234215885947047","40,4","39,28","40,44","476718,75","19076202,4311","-284645676,8298",,,,,,
2018/10/15,"39,28","0,359999999999999","0,00924974306269269","38,84","38,8","40,1",344208,"13569178,0431","-303721879,2609",,,,,,
2018/10/12,"38,92","-1,84","-0,0451422963689891","41,52","38,36","41,6","728842,5","28510676,8682","-317291057,304",,,,,,
2018/10/11,"40,76","-1,56","-0,0368620037807184","41,84","40,6272","42,17","802423,75","33051369,3025","-288780380,4358",,,,,,
2018/10/10,"42,32","0,359999999999999","0,00857959961868445","41,6","41,28","42,56","893463,25","37510040,4576","-255729011,1333",,,,,,
2018/10/09,"41,96","0,119999999999997","0,00286806883365195","42,44","41,4","42,76","648641,25","27164620,2208","-293239051,5909",,,,,,
2018/10/08,"41,84","1,48","0,0366699702675918","40,32","40,08","42,5464",1202763,"50360531,896","-320403671,8117",,,,,,
2018/10/05,"40,36","1,16","0,0295918367346938","39,32","38,92","40,72",992206,"39904758,6464","-370764203,7077",,,,,,
2018/10/04,"39,2","0,400000000000006","0,0103092783505156","38,24","36,64","39,8676",2483084,"94433385,9587","-410668962,3541",,,,,,
