"Gramercy Property Trust REIT Ord Shs | Price History                                          18-May-2021 20:42",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GPT^L15,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
2006/11/05,05-Dec-2007,,,,,,,,,,,
,,,,,,,,,,,,
"Deal Number",1921292020,,,,,,,,,,,
"VAP: Total","17819320,5",,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"150.00 - 160.00",32550,"0,00182666897988619",1,"0,00367647058823529",,,,,,,,
"140.00 - 150.00",372050,"0,0208790228561184",10,"0,0367647058823529",,,,,,,,
"130.00 - 140.00","1096024,25","0,0615076343679884",30,"0,110294117647059",,,,,,,,
"120.00 - 130.00",2981170,"0,16729986982388",87,"0,319852941176471",,,,,,,,
"110.00 - 120.00",2036075,"0,114262213309424",44,"0,161764705882353",,,,,,,,
"100.00 - 110.00","4604174,25","0,258381022441344",54,"0,198529411764706",,,,,,,,
"90.00 - 100.00","5260701,75","0,295224599052472",34,"0,125",,,,,,,,
"80.00 - 90.00","1436575,25","0,0806189691688861",12,"0,0441176470588235",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"GPT^L15 Statistics     Daily     06-Nov-2006 - 05-Dec-2007",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"153,2",2007/02/05,Max,"829368,75",2007/11/05,Advancing,"8592291,5",Up,134,Up,"0,111354669004823",2007/08/17
Low,"80,12",2007/08/06,Min,2700,2006/11/24,Declining,9035054,Down,132,Down,"-0,0842815002107038",2007/08/03
Avg,"115,116323529412",,Avg,"65512,2077205882",,Total,"17819320,5",Unch,5,Period,"-0,0892857142857143","06-Nov-2006 - 05-Dec-2007"
,,,,,,,,,,,,
,,,,,,,,,,,,
"GPT^L15 History     Daily     06-Nov-2006 - 05-Dec-2007",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2007/12/05,102,"3,08","0,0311362717347351","98,88","98,88","103,72","117846,75",,,,,
2007/12/04,"98,92","-1,2","-0,0119856172592889","99,4","97,12","100,2","173699,5",,,,,
2007/12/03,"100,12",5,"0,052565180824222","98,24","95,92","101,92","143327,5",,,,,
2007/11/30,"95,12","2,16000000000001","0,0232358003442342","94,48","94,36",98,149875,,,,,
2007/11/29,"92,96","-0,359999999999999","-0,00385769395627946","93,28","91,64","93,72",122806,,,,,
2007/11/28,"93,32","6,44","0,0741252302025782","90,04","89,2","95,04","261623,5",,,,,
2007/11/27,"86,88","2,47999999999999","0,029383886255924","84,6","84,04","87,12",74150,,,,,
2007/11/26,"84,4","-2,8","-0,0321100917431192","87,28","84,2","87,76",126250,,,,,
2007/11/23,"87,2","0,159999999999997","0,00183823529411761","87,6","86,68","87,88",34500,,,,,
2007/11/21,"87,04","-1,64","-0,0184934596301308","88,68","86,56","89,44",89475,,,,,
2007/11/20,"88,68","0,440000000000012","0,00498640072529479","88,76","86,44","88,8",145175,,,,,
2007/11/19,"88,24","-3,88000000000001","-0,0421189752496744","90,96","86,08","91,56","119650,25",,,,,
2007/11/16,"92,12","-1,64","-0,0174914675767918",94,"90,6",95,143675,,,,,
2007/11/15,"93,76","-2,92","-0,0302027306578403","96,4",92,"96,4",99325,,,,,
2007/11/14,"96,68","0,200000000000003","0,00207296849087897","97,42","95,8","100,16",68550,,,,,
