"Sabra Health Care REIT Inc | Price History                                          14-May-2021 03:42",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SBRA.O,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
13-Aug-2013,2014/09/13,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",2664137040,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",91173922,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"30.00 - 31.00",2092104,"0,0229462981750418",8,"0,0291970802919708",,,,,,,,,,,
"29.00 - 30.00",10363134,"0,113663356502312",20,"0,072992700729927",,,,,,,,,,,
"28.00 - 29.00",35480896,"0,389156188761958",85,"0,31021897810219",,,,,,,,,,,
"27.00 - 28.00",13728612,"0,150576082489903",54,"0,197080291970803",,,,,,,,,,,
"26.00 - 27.00",11961716,"0,131196681437045",44,"0,160583941605839",,,,,,,,,,,
"25.00 - 26.00",5000198,"0,0548424142596388",19,"0,0693430656934307",,,,,,,,,,,
"24.00 - 25.00",397968,"0,00436493233229563",2,"0,0072992700729927",,,,,,,,,,,
"23.00 - 24.00",5402721,"0,0592573060529304",18,"0,0656934306569343",,,,,,,,,,,
"22.00 - 23.00",6398671,"0,0701809339736422",22,"0,0802919708029197",,,,,,,,,,,
"21.00 - 22.00",347902,"0,00381580601523317",2,"0,0072992700729927",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"SBRA.O Statistics     Daily     13-Aug-2013 - 12-Sep-2014",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"31,17",2014/04/30,Max,6014477,2014/05/07,Advancing,47084201,Up,141,Up,"0,0604713205869277",2013/09/18,Max,"15509956,1756",2014/09/12
Low,"21,55",2013/08/19,Min,104200,2013/11/14,Declining,42790975,Down,129,Down,"-0,0568799665411961",2013/08/16,Min,"7277523,1838",2014/09/10
Avg,"27,0094927007299",,Avg,"332751,540145985",,Total,91173922,Unch,3,Period,"0,0747103475829004","13-Aug-2013 - 12-Sep-2014",Avg,"10305114,5409667",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"SBRA.O History     Daily     13-Aug-2013 - 12-Sep-2014",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2014/09/12,"26,9","-1,02","-0,0365329512893984","27,85","26,66","27,86",564241,"15509956,1756","-14809453,6809",,,,,,
2014/09/11,"27,92","0,110000000000003","0,00395541172240212","27,84","27,65","28,13",306113,"8724728,3586","700502,494700001",,,,,,
2014/09/10,"27,81","-0,280000000000001","-0,00996796012815953","28,1","27,609","28,14",258016,"7277523,1838","-8024225,8639",,,,,,
2014/09/09,"28,09","-0,41","-0,0143859649122807","28,53","27,9","28,53",330622,"9406114,6911","-746702,6801",,,,,,
2014/09/08,"28,5","-0,23","-0,00800556909154196","28,71","28,44","28,8",382867,"11084346,0156","8659412,011",,,,,,
2014/09/05,"28,73","0,190000000000001","0,00665732305536094","28,49","28,3025","28,854",321506,"9385409,9656","19743758,0266",,,,,,
2014/09/04,"28,54","-0,150000000000002","-0,00522830254444065","28,81","28,45","28,81",363546,"10499802,2087","10358348,061",,,,,,
2014/09/03,"28,69","0,0199999999999996","0,000697593303104275","28,7","28,57","28,83",402546,"11642006,6916","20858150,2697",,,,,,
2014/09/02,"28,67","0,190000000000001","0,00667134831460679","28,53","28,43","28,92",317662,"9216143,5781","9216143,5781",,,,,,
2014/08/29,"28,48","0,150000000000002","0,00529474055771275","28,48","28,06","28,55",223426,,0,,,,,,
2014/08/28,"28,33","-0,0500000000000007","-0,00176180408738551","28,29","27,8954","28,48",273070,,0,,,,,,
2014/08/27,"28,38","0,0899999999999999","0,00318133616118769","28,29","28,21","28,47",218203,,0,,,,,,
2014/08/26,"28,29","0,149999999999999","0,00533049040511722","28,28","28,24","28,48",260348,,0,,,,,,
2014/08/25,"28,14","0,150000000000002","0,00535905680600222","28,1","28,02","28,3",198346,,0,,,,,,
2014/08/22,"27,99","-0,330000000000002","-0,0116525423728814","28,41","27,99","28,46",162850,,0,,,,,,
2014/08/21,"28,32","0,0300000000000011","0,00106044538706261","28,26","28,24","28,582",220675,,0,,,,,,
2014/08/20,"28,29","-0,00500000000000256","-0,000176709666018822","28,21","28,01","28,42",381743,,0,,,,,,
2014/08/19,"28,295","0,135000000000002","0,00479403409090915","28,24","28,2393","28,49",180581,,0,,,,,,
2014/08/18,"28,16","0,350000000000001","0,0125854009349155","28,01",28,"28,39",376055,,0,,,,,,
2014/08/15,"27,81","0,149999999999999","0,00542299349240776","27,94","27,68","28,0586",305728,,0,,,,,,
2014/08/14,"27,66","-0,0700000000000003","-0,00252434186801299","27,69","27,475","27,76",196827,,0,,,,,,
2014/08/13,"27,73","0,170000000000002","0,00616835994194491","27,37","27,092","27,74",256474,,0,,,,,,
2014/08/12,"27,56","0,0199999999999996","0,000726216412490907","26,96","26,96","27,65",369725,,0,,,,,,
2014/08/11,"27,54","0,0899999999999999","0,00327868852459016","27,5","27,36","27,89",242675,,0,,,,,,
2014/08/08,"27,45","0,0899999999999999","0,00328947368421052","27,34","27,21","27,47",158047,,0,,,,,,
2014/08/07,"27,36","-0,0899999999999999","-0,00327868852459016","27,62","27,16","27,84",172257,,0,,,,,,
2014/08/06,"27,45","0,0500000000000007","0,0018248175182482","27,33","27,25","27,66",250511,,0,,,,,,
2014/08/05,"27,4","-0,390000000000001","-0,0140338251169486","27,64","27,24","27,85",293583,,0,,,,,,
2014/08/04,"27,79","-0,280000000000001","-0,00997506234413969","28,14","27,34","28,23",382292,,0,,,,,,
2014/08/01,"28,07","0,370000000000001","0,0133574007220217","27,68","27,53","28,46",523309,,0,,,,,,
2014/07/31,"27,7","-0,650000000000002","-0,0229276895943563","29,46","27,56","29,5",352809,,0,,,,,,
2014/07/30,"28,35","0,0800000000000018","0,00282985496993286","28,32","27,81","28,38",353562,,0,,,,,,
2014/07/29,"28,27","-0,0800000000000018","-0,00282186948853622","28,47","28,15","28,55",169013,,0,,,,,,
2014/07/28,"28,35","0,200000000000003","0,00710479573712266","28,13","27,7034","28,5",202871,,0,,,,,,
2014/07/25,"28,15","-0,41","-0,0143557422969188","28,46","28,05","28,56",206633,,0,,,,,,
2014/07/24,"28,56","0,00999999999999801","0,000350262697022697","28,7","28,522","28,91",538268,,0,,,,,,
2014/07/23,"28,55","-0,109999999999999","-0,00383810188415909","28,75","28,38","28,8",216183,,0,,,,,,
2014/07/22,"28,66","0,239999999999998","0,00844475721323006","28,53","28,53","28,8",160803,,0,,,,,,
2014/07/21,"28,42","-0,0299999999999976","-0,00105448154657285","28,47","28,19","28,67",247935,,0,,,,,,
2014/07/18,"28,45","0,199999999999999","0,00707964601769909","28,14","28,13","28,52",405939,,0,,,,,,
2014/07/17,"28,25","-0,0500000000000007","-0,00176678445229684","28,2","28,06","28,6",362770,,0,,,,,,
2014/07/16,"28,3","-0,140000000000001","-0,00492264416315051","28,6","28,22","28,6",248312,,0,,,,,,
2014/07/15,"28,44","-0,0999999999999979","-0,00350385423966356","28,39","28,285","28,68",213413,,0,,,,,,
2014/07/14,"28,54","-0,100000000000001","-0,00349162011173189","28,83","28,44","28,83",218220,,0,,,,,,
2014/07/11,"28,64","-0,149999999999999","-0,00521014241055917","28,77","28,49","28,8",226920,,0,,,,,,
2014/07/10,"28,79","0,0799999999999983","0,00278648554510618","28,4","28,4","28,89",216501,,0,,,,,,
2014/07/09,"28,71","0,0899999999999999","0,00314465408805031","28,75","28,43","28,83",203214,,0,,,,,,
2014/07/08,"28,62","0,170000000000002","0,00597539543058003","28,49","28,39","28,75",304569,,0,,,,,,
2014/07/07,"28,45","0,18","0,00636717368234877","28,23","28,22","28,71",363586,,0,,,,,,
2014/07/03,"28,27","-0,140000000000001","-0,00492784230904613","28,44","28,02","28,44",149482,,0,,,,,,
2014/07/02,"28,41","-0,469999999999999","-0,0162742382271468","28,88","28,06","28,88",235897,,0,,,,,,
2014/07/01,"28,88","0,169999999999998","0,00592128178335068","28,83","28,62","29,14",348907,,0,,,,,,
2014/06/30,"28,71","0,150000000000002","0,00525210084033621","28,55","28,3","28,76",321591,,0,,,,,,
2014/06/27,"28,56","0,289999999999999","0,0102582242660063","28,33","28,33","28,77",947112,,0,,,,,,
2014/06/26,"28,27","-0,0599999999999987","-0,00211789622308502","28,22","28,21","28,57",219053,,0,,,,,,
2014/06/25,"28,33","0,0799999999999983","0,00283185840707959","28,23","28,13","28,44",343628,,0,,,,,,
2014/06/24,"28,25","0,0500000000000007","0,0017730496453901","28,2","28,06","28,3",448255,,0,,,,,,
2014/06/23,"28,2","-0,34","-0,0119131044148563","28,54","28,04","28,54",349528,,0,,,,,,
2014/06/20,"28,54","0,189999999999998","0,00670194003527329","28,35","28,09","28,62",1149225,,0,,,,,,
2014/06/19,"28,35","0,25","0,00889679715302491","28,2","27,86","28,37",327455,,0,,,,,,
2014/06/18,"28,1","0,300000000000001","0,0107913669064748","27,93","27,63","28,12",187764,,0,,,,,,
2014/06/17,"27,8","-0,199999999999999","-0,00714285714285712","27,92","27,66","28,12",440511,,0,,,,,,
2014/06/16,28,"-0,289999999999999","-0,0102509720749381","28,38","27,862","28,38",267480,,0,,,,,,
2014/06/13,"28,29","-0,100000000000001","-0,00352236703064464","28,52","28,16","28,65",383411,,0,,,,,,
