"Pebblebrook Hotel Trust | Price History                                          13-May-2021 23:10",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PEB,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2017/03/28,28-Apr-2018,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",3229345020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",198213184,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"38.00 - 40.00",13320106,"0,0672009082907422",22,"0,0802919708029197",,,,,,,,,,,
"36.00 - 38.00",37870262,"0,191058239597221",63,"0,22992700729927",,,,,,,,,,,
"34.00 - 36.00",51556997,"0,260108817988616",61,"0,222627737226277",,,,,,,,,,,
"32.00 - 34.00",44990845,"0,226982101251146",71,"0,259124087591241",,,,,,,,,,,
"30.00 - 32.00",35208805,"0,177630994515481",40,"0,145985401459854",,,,,,,,,,,
"28.00 - 30.00",15266169,"0,0770189383567947",17,"0,062043795620438",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"PEB Statistics     Daily     28-Mar-2017 - 27-Apr-2018",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"39,74",2018/01/24,Max,3500909,2017/05/24,Advancing,98329336,Up,137,Up,"0,0448736998514115",2018/04/12,Max,"110397356,8427",2017/05/24
Low,"27,64",2017/03/28,Min,220814,2017/11/24,Declining,92881927,Down,130,Down,"-0,0514584479911944",2018/02/21,Min,"7950422,6665",2017/08/29
Avg,"34,3462773722628",,Avg,"723405,781021898",,Total,198213184,Unch,6,Period,"0,240439093484419","28-Mar-2017 - 27-Apr-2018",Avg,"24642632,6140153",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"PEB History     Daily     28-Mar-2017 - 27-Apr-2018",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2018/04/27,"35,03","0,240000000000002","0,00689853406151199","34,78","34,17","35,46",859058,"30051528,4826","169064285,7867",,,,,,
2018/04/26,"34,79","-0,259999999999998","-0,00741797432239652","35,15","34,64","35,175",1237784,"43056204,5149","139012757,3041",,,,,,
2018/04/25,"35,05","-0,200000000000003","-0,00567375886524831","35,21","34,94","35,51",993934,"34951943,2492","182068961,819",,,,,,
2018/04/24,"35,25","-0,25","-0,00704225352112676","35,67","34,96","35,67",691805,"24417756,2747","217020905,0682",,,,,,
2018/04/23,"35,5","-0,170000000000002","-0,00476590972806285","35,75","35,47","35,87",467340,"16626393,8867","241438661,3429",,,,,,
2018/04/20,"35,67","-0,0899999999999963","-0,00251677852348983","35,69","35,63","36,04",432075,"15461805,6954","258065055,2296",,,,,,
2018/04/19,"35,76",0,0,"35,75","35,51","36,13",983470,"35200827,7946","273526860,925",,,,,,
2018/04/18,"35,76","-0,0399999999999991","-0,00111731843575417","35,99","35,68","36,045",1163105,"41731924,877","308727688,7196",,,,,,
2018/04/17,"35,8","0,0799999999999983","0,00223964165733478","35,89","35,46","36,04",1504987,"53945918,1026","350459613,5966",,,,,,
2018/04/16,"35,72","0,219999999999999","0,00619718309859152","35,73","35,57","36,01",848227,"30347949,6343","296513695,494",,,,,,
2018/04/13,"35,5","0,340000000000003","0,00967007963595004","35,35","35,21","35,74",1194639,"42358189,008","266165745,8597",,,,,,
2018/04/12,"35,16","1,51","0,0448736998514115","33,89","33,49","35,41",1729576,"60163040,7207","223807556,8517",,,,,,
2018/04/11,"33,65","0,43","0,0129440096327513","33,17","33,17","33,81",603379,"20226053,2198","163644516,131",,,,,,
2018/04/10,"33,22","-0,300000000000004","-0,00894988066825788","33,77","33,17","33,77",407853,"13618715,7186","143418462,9112",,,,,,
2018/04/09,"33,52","-0,289999999999999","-0,00857734398107066","34,02","33,47","34,125",557518,"18822729,2956","157037178,6298",,,,,,
2018/04/06,"33,81","-0,280000000000001","-0,00821355236139634","33,93","33,67","34,33",529492,"17967710,5986","175859907,9254",,,,,,
2018/04/05,"34,09","0,0800000000000054","0,00235224933843003","34,08","33,9","34,48",560716,"19150064,9175","193827618,524",,,,,,
2018/04/04,"34,01","0,129999999999995","0,00383707201889007","33,66","33,36","34,19",716275,"24365836,2758","174677553,6065",,,,,,
2018/04/03,"33,88","0,160000000000004","0,0047449584816134","33,71","33,6501","34,17",824904,"27955903,3888","150311717,3307",,,,,,
2018/04/02,"33,72","-0,630000000000003","-0,0183406113537119","34,47","33,48","34,64",793086,"26857064,2266","122355813,9419",,,,,,
2018/03/29,"34,35","-0,339999999999996","-0,00980109541654645","34,91","34,24","35,04",896626,"31085585,7007","149212878,1685",,,,,,
2018/03/28,"34,69","1,16","0,0345958842827318","33,47","33,47","35,39",2066762,"72080896,556","180298463,8692",,,,,,
2018/03/27,"33,53","-0,140000000000001","-0,00415800415800417","33,6","33,23","33,87",634262,"21265561,5339","108217567,3132",,,,,,
2018/03/26,"33,67","0,940000000000005","0,0287198289031471","33,2","33,12","33,79",1044025,"34949688,2273","129483128,8471",,,,,,
2018/03/23,"32,73","-1,18","-0,0347979946918313","33,88","32,73","33,9",776590,"25789994,1022","94533440,6198",,,,,,
2018/03/22,"33,91","-0,870000000000005","-0,025014376078206","34,55","33,89","34,8",707585,"24260942,0573","120323434,722",,,,,,
2018/03/21,"34,78","-0,530000000000001","-0,0150099122061739","35,31","34,46","35,42",658539,"22939932,367","144584376,7793",,,,,,
2018/03/20,"35,31","-0,339999999999996","-0,00953716690042065","35,75","35,31","35,9",436519,"15465404,4014","167524309,1463",,,,,,
2018/03/19,"35,65","-0,160000000000004","-0,00446802569114783","35,82","35,24","35,82",517914,"18400414,7642","182989713,5477",,,,,,
2018/03/16,"35,81","-0,0300000000000011","-0,000837053571428603","35,69","35,48",36,581950,"20816931,8638","201390128,3119",,,,,,
2018/03/15,"35,84","0,230000000000004","0,00645885987082291","35,77","35,38","35,87",571351,"20405005,1009","222207060,1757",,,,,,
2018/03/14,"35,61","0,0300000000000011","0,000843170320404754","35,61","35,32","35,82",786820,"27952405,5889","201802055,0748",,,,,,
2018/03/13,"35,58","0,299999999999997","0,00850340136054414","35,58","35,37","35,77",822767,"29259456,8106","173849649,4859",,,,,,
2018/03/12,"35,28","0,100000000000001","0,00284252416145541","35,13","34,9","35,32",764581,"26888473,2716","144590192,6753",,,,,,
2018/03/09,"35,18","0,839999999999996","0,0244612696563773","34,57","34,22","35,18",453314,"15839182,9036","117701719,4037",,,,,,
2018/03/08,"34,34","-0,119999999999997","-0,00348229831688907","34,63","34,12","34,63",630009,"21604015,1944","101862536,5001",,,,,,
2018/03/07,"34,46","0,660000000000004","0,019526627218935","33,64","33,64","34,475",726509,"24913106,4402","123466551,6945",,,,,,
2018/03/06,"33,8","0,019999999999996","0,000592066311426762","33,71","33,45","33,9344",517258,"17452238,1999","98553445,2543",,,,,,
2018/03/05,"33,78",0,0,"33,77","33,48","33,87",760030,"25611582,8149","81101207,0544",,,,,,
2018/03/02,"33,78","-0,0600000000000023","-0,00177304964539014","33,68","33,07","33,9",754267,"25418782,143","106712789,8693",,,,,,
2018/03/01,"33,84","-0,169999999999995","-0,00499852984416332","33,88","33,35","34,24",715049,"24173013,829","132131572,0123",,,,,,
2018/02/28,"34,01","-0,130000000000003","-0,00380785002929123","34,17","33,82","34,465",889816,"30331288,513","156304585,8413",,,,,,
2018/02/27,"34,14","-0,82","-0,0234553775743707","35,03","33,98","35,19",720717,"24748093,2975","186635874,3543",,,,,,
2018/02/26,"34,96","-0,5","-0,0141003948110547","35,45","34,81","35,94",605859,"21210857,5776","211383967,6518",,,,,,
2018/02/23,"35,46","0,469999999999999","0,0134324092597885","36,88","34,74","36,88",811184,"28672718,3453","232594825,2294",,,,,,
2018/02/22,"34,99","0,520000000000003","0,0150855816652162","34,56","34,51","35,12",1081992,"37705784,3815","203922106,8841",,,,,,
2018/02/21,"34,47","-1,87","-0,0514584479911944","35,57","34,35","35,8",2018538,"70695412,4453","166216322,5026",,,,,,
2018/02/20,"36,34","-0,379999999999995","-0,0103485838779955","36,6","36,18","36,83",549271,"20059137,4872","236911734,9479",,,,,,
2018/02/16,"36,72","-0,0700000000000003","-0,00190269094862735","36,75","36,6","37,14",594419,"21891674,6893","256970872,4351",,,,,,
2018/02/15,"36,79","-0,0700000000000003","-0,00189907759088444","37,01","36,64","37,25",512927,"18879492,0519","278862547,1244",,,,,,
2018/02/14,"36,86","-0,140000000000001","-0,0037837837837838","36,56","36,42",37,659852,"24296673,4606","297742039,1763",,,,,,
2018/02/13,37,"0,229999999999997","0,00625509926570565","36,48","36,06","37,09",524654,"19165674,4667","322038712,6369",,,,,,
2018/02/12,"36,77","0,290000000000006","0,00794956140350894","36,52","35,6134","36,85",645607,"23482715,6288","302873038,1702",,,,,,
2018/02/09,"36,48","1,43","0,0407988587731812","35,36","35,13","36,97",852655,"30705041,9532","279390322,5414",,,,,,
2018/02/08,"35,05","-1,36","-0,0373523757209558","36,46","35,05","36,46",713429,"25479237,5178","248685280,5882",,,,,,
2018/02/07,"36,41",0,0,"36,3","36,19",37,2635516,"95973625,3489","274164518,106",,,,,,
2018/02/06,"36,41","0,479999999999997","0,0133593097689952","35,37","35,13","36,625",977093,"35139644,5323","178190892,7571",,,,,,
2018/02/05,"35,93","-1,67","-0,0444148936170213","37,41","35,93","37,64",736067,"26919381,9992","143051248,2248",,,,,,
2018/02/02,"37,6","-0,960000000000001","-0,024896265560166","38,31","37,46","38,36",444235,"16800653,3708","169970630,224",,,,,,
2018/02/01,"38,56","-0,439999999999998","-0,0112820512820512","38,93","38,4","39,12",563584,"21771823,7311","186771283,5948",,,,,,
2018/01/31,39,"0,579999999999998","0,015096304008329","38,58","38,25","39,05",1312142,"50896799,9299","208543107,3259",,,,,,
2018/01/30,"38,42","-0,769999999999996","-0,019647869354427","39,06","38,37","39,06",453321,"17493444,0437","157646307,396",,,,,,
2018/01/29,"39,19","0,140000000000001","0,00358514724711909","38,99","38,925","39,42",576189,"22566462,607","175139751,4397",,,,,,
2018/01/26,"39,05","-0,0400000000000063","-0,00102327961115391","39,31","38,88","39,38",364123,"14231827,5751","152573288,8327",,,,,,
2018/01/25,"39,09","-0,189999999999998","-0,00483706720977591","39,45","38,97","39,45",489591,"19184752,2371","166805116,4078",,,,,,
2018/01/24,"39,28","0,0700000000000003","0,00178525886253507","39,22","39,19","39,74",556576,"21926869,5919","185989868,6449",,,,,,
2018/01/23,"39,21","0,619999999999997","0,0160663384296449","38,69","38,63","39,28",464904,"18168331,3679","164062999,053",,,,,,
2018/01/22,"38,59","-0,0899999999999963","-0,00232678386763176","38,83","38,27","38,83",447984,"17245903,0648","145894667,6851",,,,,,
2018/01/19,"38,68","0,329999999999998","0,00860495436766619","38,29","38,29","38,81",450258,"17357856,3879","163140570,7499",,,,,,
2018/01/18,"38,35","-0,600000000000001","-0,0154043645699615","38,95","38,04","38,95",646340,"24836900,8402","145782714,362",,,,,,
2018/01/17,"38,95","0,780000000000001","0,0204348965155882","38,24","38,24","38,96",494292,"19176066,2213","170619615,2022",,,,,,
2018/01/16,"38,17","0,200000000000003","0,00526731630234403","38,21","37,75","38,84",753343,"28790042,5953","151443548,9809",,,,,,
2018/01/12,"37,97","-0,0700000000000003","-0,00184016824395374","38,08","37,79","38,26",514734,"19578097,2882","122653506,3856",,,,,,
2018/01/11,"38,04","0,32","0,00848356309650054","37,87","37,64","38,04",425952,"16132937,5778","142231603,6738",,,,,,
2018/01/10,"37,72","0,199999999999996","0,00533049040511716","37,33","37,23","37,84",627519,"23555494,3065","126098666,096",,,,,,
2018/01/09,"37,52","-0,339999999999996","-0,00898045430533535","37,86","37,26","37,96",810089,"30310735,1108","102543171,7895",,,,,,
2018/01/08,"37,86","0,539999999999999","0,0144694533762058","37,28","37,11","37,94",477466,"17983864,9402","132853906,9003",,,,,,
2018/01/05,"37,32","0,0399999999999991","0,00107296137339053","37,37","37,1","37,6",384430,"14330617,5348","114870041,9601",,,,,,
2018/01/04,"37,28","-0,149999999999999","-0,00400748063051025","37,54","37,22","37,54",273039,"10197145,7018","100539424,4253",,,,,,
2018/01/03,"37,43","-0,460000000000001","-0,0121404064396939","37,9","37,4","38,11",294265,"11053288,968","110736570,1271",,,,,,
2018/01/02,"37,89","0,719999999999999","0,0193704600484261","37,18","37,01","37,94",534188,"20139990,4061","121789859,0951",,,,,,
2017/12/29,"37,17","-0,629999999999995","-0,0166666666666665","37,77","37,16","37,89",466199,"17468734,9398","101649868,689",,,,,,
2017/12/28,"37,8","-0,0600000000000023","-0,00158478605388279","37,54","37,33","37,87",373027,"14062997,9181","119118603,6288",,,,,,
2017/12/27,"37,86","0,219999999999999","0,00584484590860783","37,68","37,68","37,96",325882,"12335765,2676","133181601,5469",,,,,,
2017/12/26,"37,64","0,0399999999999991","0,00106382978723402","37,65","37,59","37,92",286697,"10807026,5398","120845836,2793",,,,,,
2017/12/22,"37,6","-0,390000000000001","-0,0102658594366939","38,04","37,6","38,0954",433959,"16373428,4617","110038809,7395",,,,,,
2017/12/21,"37,99","-0,0799999999999983","-0,00210139217231411","38,22","37,84","38,31",418999,"15943765,4624","126412238,2012",,,,,,
2017/12/20,"38,07","-0,289999999999999","-0,00755995828988527","38,52","38,07","38,57",614677,"23520901,07","142356003,6636",,,,,,
2017/12/19,"38,36","-0,530000000000001","-0,0136281820519414","38,87","38,1","38,9",522128,"20045380,1684","165876904,7336",,,,,,
2017/12/18,"38,89","0,590000000000003","0,0154046997389035","38,54","38,54","38,955",1072399,"41608076,0482","185922284,902",,,,,,
2017/12/15,"38,3","0,419999999999995","0,0110876451953536","37,99","37,9","38,52",953794,"36447933,3356","144314208,8538",,,,,,
2017/12/14,"37,88","0,170000000000002","0,00450808804030766","37,64","37,49","38,16",524619,"19850209,4482","107866275,5182",,,,,,
2017/12/13,"37,71","0,210000000000001","0,00560000000000002","37,78","37,49","38,03",679465,"25608756,5912","88016066,07",,,,,,
2017/12/12,"37,5","-0,109999999999999","-0,00292475405477265","37,71","37,38","37,88",546157,"20524359,0768","62407309,4788",,,,,,
2017/12/11,"37,61","0,00999999999999801","0,000265957446808458","37,79","37,36","37,79",509603,"19158710,1882","82931668,5556",,,,,,
2017/12/08,"37,6","-0,0899999999999963","-0,0023879013000795","37,8","37,47","37,96",633882,"23842833,6273","63772958,3674",,,,,,
2017/12/07,"37,69","-0,160000000000004","-0,00422721268163814","37,78","37,65","38,06",447013,"16888339,2133","87615791,9947",,,,,,
2017/12/06,"37,85","-0,210000000000001","-0,00551760378349976","38,06","37,76","38,38",595981,"22585967,0318","104504131,208",,,,,,
2017/12/05,"38,06","-0,0799999999999983","-0,00209753539590976","38,21","37,96","38,21",328444,"12512053,2943","127090098,2398",,,,,,
2017/12/04,"38,14","0,399999999999999","0,0105988341282459","38,06","38,04","38,96",555543,"21312554,9743","139602151,5341",,,,,,
2017/12/01,"37,74","-0,729999999999997","-0,0189758253184299","38,66","37,32","38,66",506160,"19186825,9041","118289596,5598",,,,,,
2017/11/30,"38,47","0,460000000000001","0,012102078400421","38,26","37,76","38,49",732508,"28061165,5398","137476422,4639",,,,,,
2017/11/29,"38,01","0,409999999999997","0,0109042553191488","37,61","37,61","38,375",542014,"20612346,2517","109415256,9241",,,,,,
2017/11/28,"37,6","-0,170000000000002","-0,0045009266613715","37,78","37,04","37,81",703317,"26277310,616","88802910,6724",,,,,,
2017/11/27,"37,77","-0,0799999999999983","-0,00211360634081898","37,94","37,51","37,995",577041,"21799118,4096","115080221,2884",,,,,,
2017/11/24,"37,85","0,310000000000002","0,0082578582844966","37,76","37,63","38,28",220814,"8384002,7269","136879339,698",,,,,,
2017/11/22,"37,54","-0,200000000000003","-0,00529941706412302","37,61","37,43","38,05",435910,"16394344,014","128495336,9711",,,,,,
2017/11/21,"37,74","0,789999999999999","0,0213802435723951","37,12","37,02","37,76",788755,"29589846,2517","144889680,9851",,,,,,
2017/11/20,"36,95","-0,00999999999999801","-0,000270562770562717",37,"36,45","37,18",690303,"25333190,8435","115299834,7334",,,,,,
2017/11/17,"36,96","-0,0700000000000003","-0,00189035916824197","36,85","36,72","36,96",569901,"21002454,3113","140633025,5769",,,,,,
2017/11/16,"37,03","0,259999999999998","0,00707098177862382","36,7","36,41","37,15",408762,"15095744,8251","161635479,8882",,,,,,
2017/11/15,"36,77","0,120000000000005","0,003274215552524","36,61","36,32","36,97",661048,"24275927,8285","146539735,0631",,,,,,
2017/11/14,"36,65","0,469999999999999","0,0129906025428413","36,26","35,93","36,73",480268,"17526050,2745","122263807,2346",,,,,,
2017/11/13,"36,18","-0,119999999999997","-0,00330578512396687","36,4","35,75","36,4",380496,"13719305,7631","104737756,9601",,,,,,
2017/11/10,"36,3","-0,420000000000002","-0,0114379084967321","36,5","36,29","36,79",281101,"10231990,3638","118457062,7232",,,,,,
2017/11/09,"36,72","-0,189999999999998","-0,00514765646166344","36,55","36,47","36,94",679590,"24927591,6216","128689053,087",,,,,,
2017/11/08,"36,91","0,379999999999995","0,0104024089789213","36,42","36,29","36,91",634757,"23288027,2522","153616644,7086",,,,,,
2017/11/07,"36,53","-0,0499999999999972","-0,00136686714051386","36,44","36,38","37,24",746225,"27294675,0514","130328617,4564",,,,,,
2017/11/06,"36,58","0,390000000000001","0,0107764575849682","36,14","36,1","36,64",418256,"15272083,238","157623292,5078",,,,,,
2017/11/03,"36,19","0,199999999999996","0,0055570991942205","35,77","35,73","36,37",411218,"14860175,3055","142351209,2698",,,,,,
2017/11/02,"35,99","0,380000000000003","0,0106711597865769","35,69","35,16","36,02",545567,"19474470,2065","127491033,9643",,,,,,
2017/11/01,"35,61","-0,0499999999999972","-0,00140213123948394","35,99","35,5","36,12",761669,"27203070,5916","108016563,7578",,,,,,
2017/10/31,"35,66","0,419999999999995","0,0119182746878546","35,33","35,04","35,76",640113,"22728363,061","135219634,3494",,,,,,
2017/10/30,"35,24","-0,449999999999996","-0,0126085738302044","35,79","35,1","35,82",745333,"26333651,9121","112491271,2884",,,,,,
2017/10/27,"35,69","0,169999999999995","0,00478603603603588","35,69","35,45","35,89",562023,"20019330,6845","138824923,2005",,,,,,
2017/10/26,"35,52","-0,229999999999997","-0,00643356643356635","35,85","35,13","35,94",786757,"27912789,5619","118805592,516",,,,,,
2017/10/25,"35,75","-0,43","-0,0118850193477059","36,33","35,695","36,63",1055203,"37948126,6311","146718382,0779",,,,,,
2017/10/24,"36,18","1,18","0,0337142857142857","35,5","35,5","36,905",1729235,"62946773,0941","184666508,709",,,,,,
2017/10/23,35,"-0,670000000000002","-0,0187832912811887","35,71","34,88","36,04",1279995,"45124763,2707","121719735,6149",,,,,,
2017/10/20,"35,67","-1,32","-0,0356853203568532","36,5","35,36","36,575",1711905,"61384365,1418","166844498,8856",,,,,,
2017/10/19,"36,99","-0,109999999999999","-0,00296495956873314","37,09","36,67","37,32",1027824,"37992068,3766","228228864,0274",,,,,,
2017/10/18,"37,1","0,130000000000003","0,0035163646199622","37,02","36,93","37,385",470048,"17495660,8847","266220932,404",,,,,,
2017/10/17,"36,97","-0,240000000000002","-0,00644987906476759","37,22","36,9","37,37",294118,"10900355,6013","248725271,5193",,,,,,
2017/10/16,"37,21","0,0200000000000031","0,000537778972842246","37,07","36,96","37,63",443127,"16504472,5333","259625627,1206",,,,,,
2017/10/13,"37,19","-0,0399999999999991","-0,00107440236368518","37,41","36,99","37,42",487214,"18147669,2353","243121154,5873",,,,,,
2017/10/12,"37,23","0,75","0,0205592105263158","36,55","36,55","37,32",505297,"18745967,6646","261268823,8226",,,,,,
2017/10/11,"36,48","-0,240000000000002","-0,00653594771241835","36,68","36,43","36,86",469551,"17184469,8224","242522856,158",,,,,,
2017/10/10,"36,72","0,5","0,0138045278851463","36,35","36,19","36,78",308456,"11290099,4017","259707325,9804",,,,,,
2017/10/09,"36,22","0,100000000000001","0,00276854928017723","36,05","35,9385","36,38",334738,"12108854,5228","248417226,5787",,,,,,
2017/10/06,"36,12","0,379999999999995","0,0106323447118074","35,6","35,42","36,15",392606,"14146209,1168","236308372,0559",,,,,,
2017/10/05,"35,74","0,670000000000002","0,0191046478471629","35,15","35,08","35,83",333846,"11905176,4442","222162162,9391",,,,,,
2017/10/04,"35,07","0,0200000000000031","0,00057061340941521","35,1","34,77","35,21",483775,"16958232,1083","210256986,4949",,,,,,
2017/10/03,"35,05","-0,57","-0,0160022459292532","35,62","34,98","35,62",1492070,"52465563,5804","193298754,3866",,,,,,
2017/10/02,"35,62","-0,520000000000003","-0,0143884892086332","35,84","35,54","35,99",997497,"35594541,6872","245764317,967",,,,,,
2017/09/29,"36,14","0,0600000000000023","0,00166297117516636","36,07","35,84","36,33",785229,"28312298,2559","281358859,6542",,,,,,
2017/09/28,"36,08","0,0499999999999972","0,00138773244518449","35,72","35,49","36,38",1040639,"37497520,9947","253046561,3983",,,,,,
2017/09/27,"36,03","0,520000000000003","0,0146437623204732","36,2","35,77","36,29",1434816,"51738372,0852","215549040,4036",,,,,,
2017/09/26,"35,51","0,0300000000000011","0,000845546786922242","35,42","35,31","35,89",1096105,"38948305,3972","163810668,3184",,,,,,
2017/09/25,"35,48","0,75","0,0215951626835589","35,02","35,01","35,84",1051204,"37171577,556","124862362,9212",,,,,,
2017/09/22,"34,73","0,259999999999998","0,00754279083260801","35,11","34,615","35,11",860101,"29909809,4516","87690785,3652",,,,,,
