"RAIT FINL Ord Shs | Price History                                          10-May-2021 00:17",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RASFQ.PK^C20,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
2010/01/24,24-Feb-2011,,,,,,,,,,,
,,,,,,,,,,,,
"Deal Number",2273767020,,,,,,,,,,,
"VAP: Total","5090494,920004",,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"600.00 - 650.00","166693,566666","0,0327460432208562",2,"0,00727272727272727",,,,,,,,
"550.00 - 600.00","119743,393333","0,0235229373989643",4,"0,0145454545454545",,,,,,,,
"500.00 - 550.00","343977,6","0,0675725259342228",10,"0,0363636363636364",,,,,,,,
"450.00 - 500.00","340790,846667","0,0669465055996426",12,"0,0436363636363636",,,,,,,,
"400.00 - 450.00","497313,700001","0,0976945675845226",19,"0,0690909090909091",,,,,,,,
"350.00 - 400.00","572854,48","0,11253414235792",23,"0,0836363636363636",,,,,,,,
"300.00 - 350.00","1308080,600003","0,256965308984528",78,"0,283636363636364",,,,,,,,
"250.00 - 300.00","972760,786667","0,191093558083",61,"0,221818181818182",,,,,,,,
"200.00 - 250.00","663971,573334","0,130433599044526",47,"0,170909090909091",,,,,,,,
"150.00 - 200.00","104308,373333","0,0204908117918165",19,"0,0690909090909091",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"RASFQ.PK^C20 Statistics     Daily     25-Jan-2010 - 24-Feb-2011",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"712,5",2010/04/30,Max,"98262,693333",2010/04/29,Advancing,"2503120,806671",Up,129,Up,"0,363636363636364",2010/02/19
Low,"151,5",2010/02/10,Min,"2051,126667",2010/01/25,Declining,"2338498,78",Down,125,Down,"-0,224324324324324",2010/05/13
Avg,"315,889090909091",,Avg,"18510,8906181964",,Total,"5090494,920004",Unch,20,Period,"1,6031746031746","25-Jan-2010 - 24-Feb-2011"
,,,,,,,,,,,,
,,,,,,,,,,,,
"RASFQ.PK^C20 History     Daily     25-Jan-2010 - 24-Feb-2011",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2011/02/24,492,12,"0,025",489,471,492,"19084,986667",,,,,
2011/02/23,480,"-16,5","-0,0332326283987915",504,"466,5",504,"30989,12",,,,,
2011/02/22,"496,5",-42,"-0,0779944289693593",519,"484,5",525,"37961,633333",,,,,
2011/02/18,"538,5",0,0,540,"532,5",549,"14793,553333",,,,,
2011/02/17,"538,5","-4,5","-0,00828729281767956",558,"535,5",558,"13986,813333",,,,,
2011/02/16,543,"-4,5","-0,00821917808219178",552,"541,5","558,75","24253,866667",,,,,
2011/02/15,"547,5","-10,5","-0,0188172043010753",567,"541,5",567,"27553,973333",,,,,
2011/02/14,558,21,"0,0391061452513966","544,5",525,561,"33968,213333",,,,,
2011/02/11,537,"19,5","0,0376811594202899",510,"487,5",558,"53798,446667",,,,,
2011/02/10,"517,5",81,"0,185567010309278","448,5",432,"520,5","81869,966667",,,,,
2011/02/09,"436,5",-15,"-0,0332225913621262",453,417,"454,5","32478,806667",,,,,
2011/02/08,"451,5",-6,"-0,0131147540983607","460,5",450,"463,5","15085,293333",,,,,
2011/02/07,"457,5",15,"0,0338983050847458","442,5","442,5",471,"24516,98",,,,,
2011/02/04,"442,5",9,"0,0207612456747405","430,5","430,5","454,5","18760,893333",,,,,
2011/02/03,"433,5","7,5","0,0176056338028169","418,5",417,435,"16413,553333",,,,,
2011/02/02,426,15,"0,0364963503649635",417,"406,5","439,5","25127,993333",,,,,
2011/02/01,411,"31,5","0,08300395256917",390,378,"412,5","17115,76",,,,,
2011/01/31,"379,5",-9,"-0,0231660231660232","391,5","373,5","400,65","21008,94",,,,,
2011/01/28,"388,5",-21,"-0,0512820512820513","421,5","385,5","421,5","16989,246667",,,,,
2011/01/27,"409,5","1,5","0,00367647058823529",417,405,417,"9874,026667",,,,,
2011/01/26,408,-6,"-0,0144927536231884",426,405,426,"11535,126667",,,,,
2011/01/25,414,0,0,423,402,438,"13134,54",,,,,
2011/01/24,414,0,0,"412,5","409,5","433,5","16327,74",,,,,
2011/01/21,414,21,"0,0534351145038168",414,"394,5",414,"15899,546667",,,,,
