"Regency Centers Corp | Price History                                          14-May-2021 01:07",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
REG.O,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2015/11/14,14-Dec-2016,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
"Deal Number",3035707020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",190540073,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"85.00 - 90.00",993794,"0,00521566925189537",2,"0,00732600732600733",,,,,,,,,,,
"80.00 - 85.00",28352360,"0,148799984977438",42,"0,153846153846154",,,,,,,,,,,
"75.00 - 80.00",44185689,"0,231897092849335",73,"0,267399267399267",,,,,,,,,,,
"70.00 - 75.00",53578310,"0,281191820473376",79,"0,289377289377289",,,,,,,,,,,
"65.00 - 70.00",62569021,"0,328377228028038",76,"0,278388278388278",,,,,,,,,,,
"60.00 - 65.00",860899,"0,00451820441991748",1,"0,00366300366300366",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"REG.O Statistics     Daily     16-Nov-2015 - 14-Dec-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"85,35",2016/07/06,Max,3682086,2016/03/18,Advancing,94081810,Up,144,Up,"0,030506329113924",2016/06/28,Max,"275361198,455",2016/03/18
Low,"64,28",2015/11/16,Min,167016,2015/12/24,Declining,96032845,Down,128,Down,"-0,04222731176639",2016/11/15,Min,"11377827,1152",2015/12/24
Avg,"74,1599267399267",,Avg,"697948,985347985",,Total,190540073,Unch,0,Period,"0,0236894390952162","16-Nov-2015 - 14-Dec-2016",Avg,"51362102,3023136",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"REG.O History     Daily     16-Nov-2015 - 14-Dec-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2016/12/14,"66,98","-1,5","-0,0219042056074766","68,45","66,87","68,58",1096828,"74281200,0183","-102181551,1009",,,,,,
2016/12/13,"68,48","-0,560000000000002","-0,00811123986095021","69,35","67,78","69,72",1140292,"77878460,1851","-27900351,0826001",,,,,,
2016/12/12,"69,04","1,35000000000001","0,0199438617225589","68,08","67,74","69,12",1369985,"94123519,0122","49978109,1024999",,,,,,
2016/12/09,"67,69","0,120000000000005","0,00177593606630168","67,48","67,32","68,28",1124575,"76203868,9712","-44145409,9097001",,,,,,
2016/12/08,"67,57","0,419999999999987","0,00625465376023809","66,87","66,24","67,6",1131113,"76170662,3034","-120349278,8809",,,,,,
2016/12/07,"67,15","1,14","0,0172701105893047","66,29","66,17","67,35",1817330,"121416038,9296","-196519941,1843",,,,,,
2016/12/06,"66,01","-0,00999999999999091","-0,000151469251741759","66,39","65,81","66,85",954055,"63164203,4779","-317935980,1139",,,,,,
2016/12/05,"66,02","0,209999999999994","0,00319100440662504","65,73","65,16","66,245",1006168,"66345989,5449","-254771776,636",,,,,,
2016/12/02,"65,81","0,299999999999997","0,00457945351854674","65,73","65,32","66,45",1104565,"72605707,5563","-321117766,1809",,,,,,
2016/12/01,"65,51","-1,33","-0,0198982645122681","66,6","65,38","66,87",838124,"55204138,1443","-393723473,7372",,,,,,
2016/11/30,"66,84","-0,0600000000000023","-0,000896860986547119","66,43","65,58","67,15",2531085,"168812358,6462","-338519335,5929",,,,,,
2016/11/29,"66,9","0,210000000000008","0,00314889788574011","66,64","66,6","67,34",1067857,"71480574,7373","-169706976,9467",,,,,,
2016/11/28,"66,69","0,019999999999996","0,000299985000749903","66,61","66,31","67,31",1044120,"69648863,3665","-241187551,684",,,,,,
