"WP Carey Inc | Price History                                          20-May-2021 00:32",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
WPC,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
" 25-Jul-2012",25-Aug-2013,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,
"Deal Number",2550014020,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",86619524,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"75.00 - 80.00",1526868,"0,0176272961278337",8,"0,0294117647058824",,,,,,,,
"70.00 - 75.00",5095668,"0,0588281690395805",16,"0,0588235294117647",,,,,,,,
"65.00 - 70.00",25106171,"0,289844250356305",79,"0,290441176470588",,,,,,,,
"60.00 - 65.00",6932735,"0,0800366323878667",19,"0,0698529411764706",,,,,,,,
"55.00 - 60.00",5163096,"0,0596066078589857",24,"0,0882352941176471",,,,,,,,
"50.00 - 55.00",27587881,"0,318494950399404",52,"0,191176470588235",,,,,,,,
"45.00 - 50.00",14775527,"0,170579637449866",68,"0,25",,,,,,,,
"40.00 - 45.00",431578,"0,00498245638015743",6,"0,0220588235294118",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"WPC Statistics     Daily     25-Jul-2012 - 23-Aug-2013",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"79,20179",2013/05/21,Max,3936594,2012/10/12,Advancing,47184586,Up,144,Up,"0,0887738915892537",2012/10/31
Low,"43,174659",2012/09/11,Min,15695,2012/08/24,Declining,38789962,Down,125,Down,"-0,0574040376331617",2012/11/01
Avg,"58,4263932352941",,Avg,"318454,132352941",,Total,86619524,Unch,2,Period,"0,480201268571703","25-Jul-2012 - 23-Aug-2013"
,,,,,,,,,,,,
,,,,,,,,,,,,
"WPC History     Daily     25-Jul-2012 - 23-Aug-2013",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2013/08/23,"67,542136","1,607195","0,0243754673261936","65,795185","65,515673","67,592049",143317,,,,,
2013/08/22,"65,934941","-0,219617","-0,00331975613834499","66,194488","65,405864","66,613756",214215,,,,,
2013/08/21,"66,154558","-0,0998250000000098","-0,00150669277231077","65,595533","65,256125","66,923216",270502,,,,,
2013/08/20,"66,254383","1,906672","0,0296307665085398","64,457519","64,457519","66,414105",232445,,,,,
2013/08/19,"64,347711","-0,50911099999999","-0,00784976790876355","64,567327","63,95839","65,206213",356447,,,,,
2013/08/16,"64,856822","-0,0099830000000054","-0,000153899980120886","64,756996","64,347711","65,23616",308755,,,,,
2013/08/15,"64,866805","-0,818571000000006","-0,0124619976294268","64,986596","63,888512","65,407861",525844,,,,,
2013/08/14,"65,685376","0,0898430000000019","0,00136965119255913","65,705342","65,142823","66,733547",192233,,,,,
2013/08/13,"65,595533","-1,357631","-0,020277324011155","66,853338","65,405864","67,332502",195023,,,,,
2013/08/12,"66,953164","-1,707021","-0,024861875918336","68,64022","66,820396","68,64022",133591,,,,,
2013/08/09,"68,660185","1,617178","0,0241215015907624","67,262624","66,904249","68,969645",219573,,,,,
2013/08/08,"67,043007","0,449216000000007","0,00674561386661419","66,7036","66,314279","67,331304",101099,,,,,
2013/08/07,"66,593791","-0,758676000000008","-0,0112642644552279","67,043007","65,994836","67,162798",119789,,,,,
2013/08/06,"67,352467","-1,10806699999999","-0,0161854857865992","67,382415","66,893269","68,789959",344176,,,,,
2013/08/05,"68,460534","-1,078118","-0,0155038668279046","69,089436","68,083691","69,728321",127665,,,,,
2013/08/02,"69,538652","0,209633999999994","0,00302375550739799","69,358966","68,550377","69,908008",135672,,,,,
2013/08/01,"69,329018","-1,16796199999999","-0,0165675465814279","70,856353","69,149332","70,976144",166343,,,,,
2013/07/31,"70,49698","-0,239582000000013","-0,00338696132842889","71,105917","69,738304","71,215726",240762,,,,,
2013/07/30,"70,736562","0,988276000000013","0,0141691797272267","69,648461","69,648461","71,065987",241000,,,,,
2013/07/29,"69,748286","-1,018224","-0,0143885010013918","71,125883","69,409877","71,38543",191789,,,,,
2013/07/26,"70,76651","3,074635","0,0454210346514999","69,129367","69,129367","72,064245",549359,,,,,
2013/07/25,"67,691875","0,0898430000000019","0,00132899851294414","67,382415","66,833373","67,71184",175769,,,,,
2013/07/24,"67,602032","-1,427509","-0,0206796826303684","69,348983","66,778469","69,348983",219001,,,,,
2013/07/23,"69,029541","-0,618920000000003","-0,00888634136510214","69,798199","68,939697","69,863086",120250,,,,,
2013/07/22,"69,648461","0,608937999999995","0,00882013625731445","68,849854","68,390656","69,788217",151704,,,,,
2013/07/19,"69,039523","-0,559024999999991","-0,00803213595777876","69,558617","68,994602","69,796203",152583,,,,,
2013/07/18,"69,598548","-0,0698780000000028","-0,00100300816326757","69,548635","69,548635","69,957921",200843,,,,,
2013/07/17,"69,668426","-0,139756000000006","-0,00200200028128516","69,578583","69,109401","69,808182",281014,,,,,
2013/07/16,"69,808182","-0,409285999999994","-0,00582883450026985","69,987868","68,899767","70,217468",178883,,,,,
2013/07/15,"70,217468","0,509112000000002","0,0073034572784933","68,580325","68,580325","71,065987",268818,,,,,
2013/07/12,"69,708356","-0,638885000000002","-0,00908187714142196","70,387172","69,578583","70,506963",173699,,,,,
2013/07/11,"70,347241","1,756934","0,0256149021172919","68,879802","68,580325","70,84637",282127,,,,,
2013/07/10,"68,590307","0,449215999999993","0,00659243920823036","68,141091","67,602032","68,750028",186833,,,,,
2013/07/09,"68,141091","2,00649800000001","0,0303396136421374","66,513931","66,334244","68,350725",218846,,,,,
2013/07/08,"66,134593","-0,329425000000001","-0,00495644124314002","66,454035","66,074697","66,803326",197451,,,,,
2013/07/05,"66,464018","-0,359373000000005","-0,0053779521604943","67,142833","64,986596","67,372432",358125,,,,,
2013/07/03,"66,823391","-0,359371999999993","-0,00534916969699495","67,05299","65,835115","67,202729",287253,,,,,
2013/07/02,"67,182763","0,698779999999999","0,0105105014541623","66,563843","66,39414","67,651945",360338,,,,,
2013/07/01,"66,483983","0,429250999999994","0,00649841407274188","67,422345","66,004819","67,422345",423802,,,,,
2013/06/28,"66,054732","-1,247822","-0,0185404851055132","66,793443","65,565585","67,292572",2970293,,,,,
2013/06/27,"67,302554","1,607195","0,0244643613257369","64,88677","64,497449","67,502206",831899,,,,,
2013/06/26,"65,695359","1,58722999999999","0,0247586386431585","64,786944","63,95839","66,244401",538396,,,,,
2013/06/25,"64,108129","0,119791000000006","0,00187207550225803","64,697101","63,898495","65,175267",397917,,,,,
2013/06/24,"63,988338","0,439233999999999","0,00691172608822304","62,890254","61,79217","65,046491",642544,,,,,
2013/06/21,"63,549104","-0,688798000000006","-0,0107226104613442","63,449278","62,610742","65,515673",842404,,,,,
2013/06/20,"64,237902","-2,20614999999999","-0,0332031225308173","66,573826","63,978355","66,583809",635485,,,,,
2013/06/19,"66,444052","-3,004757","-0,0432657815629351","69,758269","66,43407","70,317294",290796,,,,,
2013/06/18,"69,448809","0,778640999999993","0,0113388538673736","68,90975","68,530412","69,748286",218688,,,,,
2013/06/17,"68,670168","1,377596","0,0204717394365606","67,98137","67,841614","69,277608",266210,,,,,
2013/06/14,"67,292572","0,91839800000001","0,013836676897855","65,895011","65,755254","68,001335",384778,,,,,
2013/06/13,"66,374174","2,20614999999999","0,0343808311753529","63,828617","62,166916","66,773478",308744,,,,,
2013/06/12,"64,168024","-0,718745999999996","-0,0110769267756739","65,046491","63,908477","65,405864",233529,,,,,
2013/06/11,"64,88677","-1,118049","-0,0169388995673179","65,106387","64,347711","65,825133",232906,,,,,
2013/06/10,"66,004819","0,578990000000005","0,0088495630678215","65,216195","64,996578","66,004819",373544,,,,,
2013/06/07,"65,425829","-0,598955000000004","-0,00907166920833855","66,08468","64,525401","66,483983",255144,,,,,
2013/06/06,"66,024784","1,138014","0,0175384596890861","64,607258","64,397624","66,254383",328059,,,,,
2013/06/05,"64,88677","-1,147997","-0,0173847361345275","65,515673","64,447536","65,885028",387903,,,,,
2013/06/04,"66,034767","-1,207892","-0,0179631801889334","67,062972","66,034767","67,552119",261784,,,,,
2013/06/03,"67,242659","-0,37933799999999","-0,00560968348805182","67,482241","66,923216","68,0213",307952,,,,,
2013/05/31,"67,621997","0,588971999999998","0,00878629600857187","66,43407","66,144575","67,621997",515479,,,,,
2013/05/30,"67,033025","-0,708763000000005","-0,0104627146835865","67,781718","66,623739","68,121126",322966,,,,,
2013/05/29,"67,741788","-2,97480899999999","-0,0420666311191416","69,089436","66,643704","69,868077",766758,,,,,
2013/05/28,"70,716597","-1,14799600000001","-0,0159744312473878","72,523444","69,927973","72,872834",623281,,,,,
2013/05/24,"71,864593","-1,39756200000001","-0,01907617923606","73,132381","71,848122","73,601562",313352,,,,,
2013/05/23,"73,262155","-2,90492999999999","-0,0381389152545354","74,539925","70,317294","74,539925",574999,,,,,
2013/05/22,"76,167085","-1,7769","-0,0227971407928399","78,153619","75,697904","78,592852",237189,,,,,
2013/05/21,"77,943985","-0,499128999999996","-0,00636294219528302","78,403183","77,65449","79,20179",195539,,,,,
2013/05/20,"78,443114","0,159721999999988","0,00204030504963285","77,983915","77,983915","78,782521",143556,,,,,
2013/05/17,"78,283392","1,257805","0,016329703530854","76,746075","76,746075","78,283392",161910,,,,,
2013/05/16,"77,025587","-0,608937999999995","-0,0078436494587942","77,624542","76,76604","78,283392",248765,,,,,
2013/05/15,"77,634525","1,297736","0,0170001386880446","75,907538","75,707887","77,634525",183028,,,,,
2013/05/14,"76,336789","0,92837999999999","0,0123113590687212","75,628026","75,44834","76,481537",172233,,,,,
2013/05/13,"75,408409","0,898432","0,01205787514872","74,589838","74,589838","75,48827",184648,,,,,
2013/05/10,"74,509977","0,638885000000002","0,00864864702419726","73,371963","72,363722","74,779507",203422,,,,,
2013/05/09,"73,871092","-0,838537000000002","-0,0112239481205294","74,29036","73,761284","75,069002",269755,,,,,
2013/05/08,"74,709629","0,738711000000009","0,0099865057778519","74,070744","73,659461","74,709629",211267,,,,,
2013/05/07,"73,970918","1,866743","0,0258895272014415","71,894541","71,894541","73,9809",211174,,,,,
2013/05/06,"72,104175","1,32768299999999","0,0187588133076727","71,175795","71,125883","72,753043",214384,,,,,
2013/05/03,"70,776492","0,0798600000000107","0,0011296153400916","71,175795","70,057746","71,175795",269557,,,,,
2013/05/02,"70,696632","0,698780999999997","0,00998289218907587","70,277363","69,87806","71,175795",359845,,,,,
2013/05/01,"69,997851","-0,399303000000003","-0,00567214691662114","70,347241","69,758269","70,467032",190486,,,,,
2013/04/30,"70,397154","1,10806599999999","0,015991926463226","69,099419","69,099419","70,397154",262566,,,,,
2013/04/29,"69,289088","-0,0299479999999903","-0,000432031397551321","69,329018","68,979628","69,688391",111246,,,,,
2013/04/26,"69,319036","0,179687000000001","0,00259891078812445","68,809924","68,779976","69,628496",129284,,,,,
2013/04/25,"69,139349","0,0698780000000028","0,00101170602566223","69,009576","68,560359","69,778234",370039,,,,,
2013/04/24,"69,069471","0,449215999999993","0,00654640528514493","68,620255","68,510447","69,129367",147255,,,,,
2013/04/23,"68,620255","-0,379338000000004","-0,0054976846022846","68,879802","68,121126","69,139349",144428,,,,,
2013/04/22,"68,999593","1,447474","0,0214275143611705","67,691875","67,392398","69,079454",185391,,,,,
2013/04/19,"67,552119","0,668833000000006","0,0100000020931987","67,172781","66,753512","67,781718",132762,,,,,
2013/04/18,"66,883286","0,389320999999995","0,00585498247848501","66,763495","66,299305","66,963147",128725,,,,,
2013/04/17,"66,493965","-1,557283","-0,0228839741484241","68,011318","66,304296","68,011318",190506,,,,,
2013/04/16,"68,051248","0,808588999999998","0,0120249408935479","67,532154","67,243657","68,171039",179178,,,,,
2013/04/15,"67,242659","-0,978292999999994","-0,0143400666704269","68,250899","67,212711","68,470516",198393,,,,,
2013/04/12,"68,220952","0,0399309999999957","0,000585661514221028","67,991352","67,651945","68,260882",335844,,,,,
2013/04/11,"68,181021","0,389319999999998","0,00574288584379964","67,582067","67,582067","68,380673",220207,,,,,
2013/04/10,"67,791701","0,439233999999999","0,00652142407790347","67,302554","67,302554","68,0213",284122,,,,,
2013/04/09,"67,352467","-0,57898999999999","-0,00852315003342252","67,831631","67,302554","68,126117",180889,,,,,
2013/04/08,"67,931457","0,139755999999991","0,00206155027737084","67,651945","67,462276","67,941439",180889,,,,,
2013/04/05,"67,791701","0,229600000000005","0,00339835494458654","66,993094","66,853338","67,791701",151427,,,,,
2013/04/04,"67,562101","0,948345000000003","0,0142364739198913","66,404122","66,324262","67,582067",176351,,,,,
