"Zais Group Holdings Ord Shs Class A | Price History                                          17-May-2021 22:36",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ZAIS.O^E18,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
" 07-Apr-2015 ",07-May-2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Deal Number",2945427020,,,,,,,,,,,,,,
"VAP: Total",1774985,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"12.00 - 13.00",89219,"0,0502646501238039",4,"0,0145985401459854",,,,,,,,,,,
"11.00 - 12.00",426236,"0,240134987056229",6,"0,0218978102189781",,,,,,,,,,,
"10.00 - 11.00",436142,"0,245715879289121",91,"0,332116788321168",,,,,,,,,,,
"9.00 - 10.00",262368,"0,147814206880622",62,"0,226277372262774",,,,,,,,,,,
"8.00 - 9.00",49715,"0,0280086873973583",8,"0,0291970802919708",,,,,,,,,,,
"7.00 - 8.00",97575,"0,0549722955405257",8,"0,0291970802919708",,,,,,,,,,,
"6.00 - 7.00",74336,"0,0418797905334411",24,"0,0875912408759124",,,,,,,,,,,
"5.00 - 6.00",163500,"0,092113454479897",36,"0,131386861313869",,,,,,,,,,,
"4.00 - 5.00",29256,"0,0164823928089533",9,"0,0328467153284672",,,,,,,,,,,
"3.00 - 4.00",95136,"0,0535981994214036",18,"0,0656934306569343",,,,,,,,,,,
"2.00 - 3.00",51502,"0,0290154564686462",8,"0,0291970802919708",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"ZAIS.O^E18 Statistics     Daily     07-Apr-2015 - 06-May-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"12,73",2015/11/02,Max,391908,2015/06/26,Advancing,1065622,Up,117,Up,"0,362376237623762",2016/03/01,Max,"4503825,506",2015/06/26
Low,"2,67",2016/05/02,Min,100,2015/04/09,Declining,662312,Down,144,Down,"-0,310211946050096",2016/02/08,Min,992,2015/04/09
Avg,"8,29828467153284",,Avg,"6478,04744525547",,Total,1774985,Unch,12,Period,"-0,715577889447236","07-Apr-2015 - 06-May-2016",Avg,"59056,0981762774",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"ZAIS.O^E18 History     Daily     07-Apr-2015 - 06-May-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2016/05/06,"2,83","-0,0499999999999998","-0,017361111111111","2,98","2,83","2,98",1438,"4117,87","4941231,7391",,,,,,
2016/05/05,"2,88","-0,02","-0,00689655172413794","2,75","2,75",3,717,"2075,62","4945349,6091",,,,,,
2016/05/04,"2,9","0,2","0,074074074074074","2,83","2,83",3,30970,"89901,8379","4947425,2291",,,,,,
2016/05/03,"2,7","-0,0899999999999999","-0,032258064516129","3,0399","2,68","3,0399",7145,"19842,773","4857523,3912",,,,,,
2016/05/02,"2,79","0,0499999999999998","0,0182481751824817","2,67","2,67","2,79",901,"2466,4438","4877366,1642",,,,,,
2016/04/29,"2,74","-0,17","-0,0584192439862543","2,74","2,74","2,74",529,"1499,7364","4874899,7204",,,,,,
2016/04/28,"2,91",0,0,"2,9201","2,91","3,03",2459,"7279,162","4876399,4568",,,,,,
2016/04/27,"2,91","-0,19","-0,0612903225806451","3,1","2,87","3,1",7343,"21960,6901","4883678,6188",,,,,,
2016/04/26,"3,1","0,02","0,0064935064935065","3,11","3,05","3,1381",7713,"23863,7563","4905639,3089",,,,,,
2016/04/25,"3,08","-0,04","-0,0128205128205128","3,45","3,08","3,45",17264,"54670,5696","4881775,5526",,,,,,
2016/04/22,"3,12","-0,1","-0,031055900621118","3,3","3,11","3,3",3325,"10684,525","4936446,1222",,,,,,
2016/04/21,"3,22","-0,0499999999999998","-0,0152905198776758","3,29","3,2","3,29",5061,"16357,28","4947130,6472",,,,,,
2016/04/20,"3,27","-0,15","-0,043859649122807","3,3701","3,18","3,39",4338,"14407,3192","4963487,9272",,,,,,
2016/04/19,"3,42","-0,0100000000000002","-0,0029154518950438","3,42","3,42","3,43",3063,"10491,245","4977895,2464",,,,,,
2016/04/18,"3,43","-0,17","-0,0472222222222222","3,78","3,43","3,78",1402,"4910,684","4988386,4914",,,,,,
2016/04/15,"3,6","-0,12","-0,0322580645161291","3,7","3,6","3,83",3876,"14068,8806","4993297,1754",,,,,,
2016/04/14,"3,72","0,13","0,0362116991643455","3,6","3,6","3,75",7090,"25985,818","5007366,056",,,,,,
2016/04/13,"3,59","0,0299999999999998","0,00842696629213478","3,52","3,38","3,67",4462,"15797,022","4981380,238",,,,,,
2016/04/12,"3,56","-0,15","-0,0404312668463612","3,55","3,52","3,7",6834,"24508,5899","4965583,216",,,,,,
2016/04/11,"3,71","-0,2","-0,051150895140665","3,76","3,64",4,16677,"63597,4461","4990091,8059",,,,,,
2016/04/08,"3,91","0,0100000000000002","0,00256410256410262","3,98","3,91","4,17",1253,"4989,93","5053689,252",,,,,,
2016/04/07,"3,9","-0,4","-0,0930232558139535","4,11","3,9","4,1499",3387,"13732,9999","5048699,322",,,,,,
2016/04/06,"4,3","-0,100000000000001","-0,0227272727272728","4,39","4,2","4,39",6294,"27308,311","5062432,3219",,,,,,
2016/04/05,"4,4","-0,14","-0,0308370044052863","4,73","4,16","4,86",7499,"33850,2298","5089740,6329",,,,,,
2016/04/04,"4,54","0,37","0,0887290167865708","4,95","4,5001","4,9999",4046,"19155,4115","5123590,8627",,,,,,
