"FTSE EPRA Nareit United States USD Price Return Index | Price History                                          04-May-2021 23:39",,,,,,,
,,,,,,,
,,,,,,,
.FTUNUS,,,,,,,
"Interval: Daily",,,,,,,
"History Period: 04-May-2001 - 03-May-2021",,,,,,,
"Currency Conversion: USD",,,,,,,
,,,,,,,
,,,,,,,
".FTUNUS Statistics     Daily     04-May-2001 - 03-May-2021",,,,,,,
Price,,,Up/Down,,"Price Change (Close-Close)",,
High,"3431,19",2020/02/21,Up,2688,Up,"0,183511498032571",2008/11/24
Low,"688,96",2009/03/06,Down,2331,Down,"-0,194984218903146",2008/12/01
Avg,"2241,01562143895",,Unch,172,Period,"1,68930494101673","04-May-2001 - 03-May-2021"
,,,,,,,
,,,,,,,
".FTUNUS History     Daily     04-May-2001 - 03-May-2021",,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,
2021/05/03,"3294,05","-9,48999999999978","-0,00287267597789032","3303,54","3290,65","3320,4",
2021/04/30,"3303,54","9,28999999999996","0,00282006526523487","3294,25","3275,96","3309,93",
2021/04/29,"3294,25","30,9400000000001","0,00948117095832148","3263,31","3263,31","3315,56",
2021/04/28,"3263,31","-8,57999999999993","-0,00262233754802268","3271,89","3262,07","3283,35",
2021/04/27,"3271,89","3,23999999999978","0,000991234913496331","3268,65","3256,72","3279,61",
2021/04/26,"3268,65","13,9200000000001","0,00427685245780758","3254,73","3254,73","3290,23",
2021/04/23,"3254,73","12,1900000000001","0,00375939849624062","3242,54","3235,44","3260,05",
2021/04/22,"3242,54","-19,8699999999999","-0,00609058947219997","3262,41","3238,32","3278,5",
2021/04/21,"3262,41","25,48","0,00787165616803577","3236,93","3228,68","3271,02",
2021/04/20,"3236,93","29,1900000000001","0,00909986470225145","3207,74","3203,01","3241,42",
2021/04/19,"3207,74","9,14999999999964","0,00286063546750275","3198,59","3180,71","3208,27",
2021/04/16,"3198,59","8,19000000000005","0,00256707622868608","3190,4","3190,4","3209,09",
2021/04/15,"3190,4","51,1900000000001","0,0163066503993043","3139,21","3139,21","3190,73",
2021/04/14,"3139,21","-25,6999999999998","-0,00812029409999015","3164,91","3138,1","3177,83",
2021/04/13,"3164,91","21,5499999999997","0,00685572126641547","3143,36","3133,74","3165,58",
2021/04/12,"3143,36","13,7400000000002","0,00439030936663245","3129,62","3106,35","3144,23",
2021/04/09,"3129,62","-2,28999999999996","-0,000731183207691142","3131,91","3122,51","3137,8",
2021/04/08,"3131,91","-13,5","-0,00429196829666085","3145,41","3131,05","3150,49",
2021/04/07,"3145,41","6,26999999999998","0,00199736233490701","3139,14","3119,63","3155,49",
2021/04/06,"3139,14","16,2199999999998","0,00519385703123993","3122,92","3115,1","3139,49",
2021/04/05,"3122,92","-1,84000000000015","-0,000588845223313197","3124,76","3091,98","3140,36",
2021/04/02,"3124,76",0,0,"3057,28","3057,28","3125,43",
2021/04/01,"3124,76","67,48","0,0220719070546368","3057,28","3057,28","3125,43",
2021/03/31,"3057,28","-35,9399999999996","-0,0116189601774202","3093,22","3054,88","3098,78",
2021/03/30,"3093,22","7,54999999999973","0,00244679437528956","3085,67","3078,8","3101,85",
2021/03/29,"3085,67","-23,5099999999998","-0,00756147923246636","3109,18","3058,36","3110,12",
2021/03/26,"3109,18","51,25","0,0167597034595298","3057,93","3057,93","3109,5",
2021/03/25,"3057,93","29,3299999999999","0,00968434260054148","3028,6","2983,49","3065,46",
2021/03/24,"3028,6","-8,05000000000018","-0,00265094759027223","3036,65","3028,57","3077,74",
2021/03/23,"3036,65","-7,51999999999998","-0,00247029567993903","3044,17","3018,36","3061,49",
2021/03/22,"3044,17","13,79","0,00455058441515584","3030,38","3018,82","3050,91",
2021/03/19,"3030,38","-58,2199999999998","-0,0188499643851583","3088,6","3030,26","3089,01",
2021/03/18,"3088,6","-27,6100000000001","-0,00886012175045973","3116,21","3076,85","3116,21",
2021/03/17,"3116,21","5,51999999999998","0,00177452590904268","3110,69","3079,58","3117,43",
2021/03/16,"3110,69","-25,5599999999999","-0,00814986050219209","3136,25","3094,67","3137,7",
2021/03/15,"3136,25","44,4299999999998","0,0143701767890756","3091,82","3078,51","3148,99",
2021/03/12,"3091,82","56,1300000000001","0,0184900302731834","3035,69","3035,69","3091,84",
2021/03/11,"3035,69","13,5500000000002","0,00448357786204484","3022,14","3015,73","3058,94",
2021/03/10,"3022,14","26,0499999999997","0,00869466538054589","2996,09","2989,36","3041,36",
2021/03/09,"2996,09","2,68000000000029","0,000895300009019911","2993,41","2993,24","3025,69",
