"BRE Properties Ord Shs | Price History                                          14-May-2021 03:54",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BRE^D14,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
" 09-Dec-2012",2014/01/09,,,,,,,,,,,
,,,,,,,,,,,,
"Deal Number",2590117020,,,,,,,,,,,
"VAP: Total",194539946,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"58.00 - 60.00",13567386,"0,0697408747096085",3,"0,010989010989011",,,,,,,,
"56.00 - 58.00",8788266,"0,0451746090234856",8,"0,0293040293040293",,,,,,,,
"54.00 - 56.00",21502487,"0,110529931986308",23,"0,0842490842490843",,,,,,,,
"52.00 - 54.00",25858695,"0,132922289389347",38,"0,139194139194139",,,,,,,,
"50.00 - 52.00",59620185,"0,306467572474807",107,"0,391941391941392",,,,,,,,
"48.00 - 50.00",52231839,"0,26848901767455",80,"0,293040293040293",,,,,,,,
"46.00 - 48.00",12971088,"0,066675704741894",14,"0,0512820512820513",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"BRE^D14 Statistics     Daily     10-Dec-2012 - 09-Jan-2014",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"61,5",2013/12/04,Max,7647389,2013/12/04,Advancing,97892461,Up,129,Up,"0,10755105864718",2013/12/04
Low,"45,76",2013/06/24,Min,199002,2013/09/13,Declining,96235898,Down,143,Down,"-0,0480498592681946",2013/02/05
Avg,"51,0995238095238",,Avg,"712600,534798535",,Total,194539946,Unch,0,Period,"0,159458905513425","10-Dec-2012 - 09-Jan-2014"
,,,,,,,,,,,,
,,,,,,,,,,,,
"BRE^D14 History     Daily     10-Dec-2012 - 09-Jan-2014",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2014/01/09,"56,57","-0,0899999999999963","-0,00158842216731374","56,71","55,94","56,77",251038,,,,,
2014/01/08,"56,66","-0,310000000000002","-0,00544146041776378","56,81","56,53","57,14",318839,,,,,
2014/01/07,"56,97","0,509999999999998","0,00903294367693939","56,59","56,27","56,99",480940,,,,,
2014/01/06,"56,46","0,300000000000004","0,00534188034188042","56,21","55,82","56,6",517674,,,,,
2014/01/03,"56,16","0,559999999999995","0,0100719424460431","55,78","55,62","56,22",757590,,,,,
2014/01/02,"55,6","0,890000000000001","0,0162675927618351","54,68","54,44","56,02",896876,,,,,
2013/12/31,"54,71","-0,32","-0,00581500999454843","54,97","54,64","55,29",1054215,,,,,
2013/12/30,"55,03","-0,240000000000002","-0,00434231952234489","55,26","54,73","55,26",353665,,,,,
2013/12/27,"55,27","-0,0899999999999963","-0,00162572254335253","55,27","54,91","55,41",329087,,,,,
2013/12/26,"55,36","0,359999999999999","0,00654545454545453","55,74","55,15","55,74",467700,,,,,
2013/12/24,55,"-0,0900000000000034","-0,00163369032492292","55,05","54,71","55,24",429783,,,,,
2013/12/23,"55,09","0,900000000000006","0,0166082303007936","54,32","54,32","55,59",1668200,,,,,
2013/12/20,"54,19","0,0799999999999983","0,00147846978377376","54,06","53,43","54,21",1805975,,,,,
2013/12/19,"54,11","-1,8","-0,0321945984618136","56,24","54,07","56,24",2601832,,,,,
2013/12/18,"55,91","0,129999999999995","0,0023305844388669","55,75","54,68","56,23",1479695,,,,,
2013/12/17,"55,78","0,340000000000003","0,00613275613275619","55,68","55,215","55,87",1289225,,,,,
2013/12/16,"55,44","-0,0399999999999991","-0,000720980533525579","55,51","55,2","56,05",805234,,,,,
2013/12/13,"55,48","-0,330000000000005","-0,00591291883175068","56,11","55,33","56,635",1251587,,,,,
2013/12/12,"55,81","-0,239999999999995","-0,00428189116859937","56,04","55,67","56,7297",1440464,,,,,
2013/12/11,"56,05","-1,55","-0,0269097222222223","57,35","55,72","57,35",3003711,,,,,
2013/12/10,"57,6","-0,390000000000001","-0,0067252974650802","57,65","57,45","58,69",1547938,,,,,
2013/12/09,"57,99","-1,35","-0,0227502527805865","58,5","57,9","59,39",1910536,,,,,
2013/12/06,"59,34","0,0400000000000063","0,000674536256323883","59,64","59,1","59,925",2192776,,,,,
2013/12/05,"59,3","0,189999999999998","0,00321434613432579","59,18","58,95",60,3727221,,,,,
2013/12/04,"59,11","5,74","0,10755105864718",53,"52,88","61,5",7647389,,,,,
2013/12/03,"53,37","2,01","0,0391355140186916","51,28","51,25","53,61",1796985,,,,,
2013/12/02,"51,36","0,130000000000003","0,00253757563927391","50,61","50,23","51,89",518610,,,,,
2013/11/29,"51,23","-0,740000000000002","-0,0142389840292477","51,99","51,08","51,99",284702,,,,,
2013/11/27,"51,97","0,390000000000001","0,00756107018224119","51,7","51,485","52,04",445488,,,,,
2013/11/26,"51,58","-0,280000000000001","-0,00539915156189744","51,91","51,39","51,99",487834,,,,,
2013/11/25,"51,86","-0,0399999999999991","-0,000770712909441217","52,05","51,39","52,05",520191,,,,,
2013/11/22,"51,9","-0,100000000000001","-0,00192307692307695",52,"51,37",52,505865,,,,,
2013/11/21,52,"0,490000000000002","0,00951271597748014","51,88","51,31","52,23",556669,,,,,
2013/11/20,"51,51","-0,580000000000005","-0,011134574774429","52,13","51,22","52,45",795445,,,,,
2013/11/19,"52,09","-0,579999999999998","-0,0110119612682741","52,61","51,86","52,63",876741,,,,,
