"DuPont Fabros Technology REIT Ord Shs | Price History                                          14-May-2021 00:48",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DFT^I17,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
" 09-Jun-2016",2017/07/09,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Deal Number",3112909020,,,,,,,,,,,,,,
"VAP: Total",242100048,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"65.00 - 70.00",9705208,"0,0400875922172473",3,"0,0110294117647059",,,,,,,,,,,
"60.00 - 65.00",33098684,"0,136714900610016",15,"0,0551470588235294",,,,,,,,,,,
"55.00 - 60.00",4800179,"0,0198272534006272",7,"0,0257352941176471",,,,,,,,,,,
"50.00 - 55.00",32788305,"0,13543287277663",47,"0,172794117647059",,,,,,,,,,,
"45.00 - 50.00",85761060,"0,354238095814008",107,"0,393382352941176",,,,,,,,,,,
"40.00 - 45.00",59614158,"0,24623769591322",73,"0,268382352941176",,,,,,,,,,,
"35.00 - 40.00",16332454,"0,0674615892682516",20,"0,0735294117647059",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"DFT^I17 Statistics     Daily     09-Jun-2016 - 07-Jul-2017",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"66,18",2017/06/23,Max,12707562,2017/06/09,Advancing,132306811,Up,148,Up,"0,0982658959537572",2017/06/09,Max,"783760298,4018",2017/06/09
Low,"37,54",2016/10/06,Min,125372,2016/11/25,Declining,106994984,Down,120,Down,"-0,0466493014444707",2016/10/27,Min,"5189175,5685",2016/11/25
Avg,"47,510294117647",,Avg,"890073,705882353",,Total,242100048,Unch,3,Period,"0,280283505154639","09-Jun-2016 - 07-Jul-2017",Avg,"43660401,3197471",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"DFT^I17 History     Daily     09-Jun-2016 - 07-Jul-2017",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2017/07/07,"59,61","0,339999999999996","0,00573646026657662","59,39","59,21","60,05",495346,"29592825,6011","1501716477,0639",,,,,,
2017/07/06,"59,27","-1,12","-0,0185461169067726","59,72","58,87","59,97",1036811,"61450795,35","1472123651,4628",,,,,,
2017/07/05,"60,39","-0,850000000000001","-0,0138798171129981","60,81","59,69","61,38",992784,"59841924,2307","1533574446,8128",,,,,,
2017/07/03,"61,24","0,0800000000000054","0,00130804447351219","61,35","60,37","61,53",642637,"39084523,6372","1593416371,0435",,,,,,
2017/06/30,"61,16","0,0799999999999983","0,00130975769482643",61,"60,76","61,27",1431355,"87383384,743","1554331847,4063",,,,,,
2017/06/29,"61,08","-1,63","-0,0259926646467868","62,25","60,56","62,25",1050295,"64129321,8841","1466948462,6633",,,,,,
2017/06/28,"62,71","-0,859999999999999","-0,013528393896492","63,65","62,34","63,69",1502921,"94324693,5807","1531077784,5474",,,,,,
2017/06/27,"63,57","-1,54","-0,0236522807556443","65,04","63,57","65,11",947785,"60881025,1558","1625402478,1281",,,,,,
2017/06/26,"65,11","-0,0999999999999943","-0,00153350713080807","65,41","64,98","65,79",1316883,"85858263,7369","1686283503,2839",,,,,,
2017/06/23,"65,21","-0,480000000000004","-0,00730704825696459","65,58","65,11","66,18",6839404,"446421537,751","1772141767,0208",,,,,,
2017/06/22,"65,69","1,03999999999999","0,0160866202629542","64,33","64,14","65,8",1548921,"100962350,3741","2218563304,7718",,,,,,
2017/06/21,"64,65","0,840000000000003","0,0131640808650682","63,92","63,85","64,76",914288,"58827876,2789","2117600954,3977",,,,,,
2017/06/20,"63,81","0,580000000000005","0,00917286098371035","63,2","63,07","63,91",820993,"52197887,5234","2058773078,1188",,,,,,
2017/06/19,"63,23","-0,0600000000000023","-0,000948017064307193","63,45","62,62","63,46",977526,"61578406,1415","2006575190,5954",,,,,,
2017/06/16,"63,29","-0,660000000000004","-0,0103205629397968","63,52","62,95","64,06",1435577,"90890821,1096","2068153596,7369",,,,,,
2017/06/15,"63,95","0,140000000000001","0,00219401347751137","63,31","63,27","64,36",1187036,"76000805,4476","2159044417,8465",,,,,,
2017/06/14,"63,81","1,23","0,0196548418024929","62,98","62,88","64,4",1662229,"106317981,8932","2083043612,3989",,,,,,
2017/06/13,"62,58","0,869999999999997","0,0140982012639766","61,7","61,33","62,58",1874450,"116165995,3212","1976725630,5057",,,,,,
2017/06/12,"61,71","0,910000000000004","0,014967105263158","60,16","59,59","61,76",4951246,"300863163,8051","1860559635,1845",,,,,,
2017/06/09,"60,8","5,44","0,0982658959537572","61,35","60,05","63,46",12707562,"783760298,4018","1559696471,3794",,,,,,
2017/06/08,"55,36","-0,18","-0,00324090745408714","55,75","54,4","55,75",497709,"27438525,1654","775936172,977601",,,,,,
2017/06/07,"55,54","0,740000000000002","0,0135036496350365","54,8","54,64","55,56",691887,"38201271,9181","803374698,143001",,,,,,
2017/06/06,"54,8","-0,350000000000001","-0,00634632819582958","55,2","54,67","55,43",479068,"26321533,063","765173426,224901",,,,,,
2017/06/05,"55,15","-1,01","-0,0179843304843305","55,96","54,96","56,15",394282,"21804756,2045","791494959,287901",,,,,,
2017/06/02,"56,16","1,81999999999999","0,033492822966507","54,83","54,6601","56,5",721845,"40399468,6983","813299715,492401",,,,,,
2017/06/01,"54,34","-0,289999999999999","-0,00530843858685702","54,53","54,06","54,76",611539,"33214283,2242","772900246,794101",,,,,,
2017/05/31,"54,63","0,160000000000004","0,0029373967321462","54,58","54,3","55,23",673418,"36868346,6411","806114530,018301",,,,,,
2017/05/30,"54,47","0,129999999999995","0,00239234449760757","54,34","54,2342","54,66",360755,"19646306,4214","769246183,3772",,,,,,
2017/05/26,"54,34","-0,669999999999995","-0,0121796037084166","55,17","53,8","55,24",554206,"30133018,8532","749599876,955801",,,,,,
2017/05/25,"55,01","1,3","0,0242040588344814","53,96","53,8121","55,58",962299,"53022237,8064","779732895,809",,,,,,
2017/05/24,"53,71","1,02","0,0193585120516228","52,69","52,69","53,965",446663,"23953777,2208","726710658,0026",,,,,,
2017/05/23,"52,69","0,289999999999999","0,00553435114503815","52,69","52,29","52,78",434635,"22855391,7383","702756880,7818",,,,,,
2017/05/22,"52,4","0,530000000000001","0,0102178523231155","51,82","51,82","52,54",315863,"16543242,8317","679901489,0435",,,,,,
2017/05/19,"51,87","0,239999999999995","0,00464846019755946","51,49","51,348","52,3353",525020,"27218177,7814","663358246,2118",,,,,,
2017/05/18,"51,63","-0,469999999999999","-0,00902111324376197","52,19","51,09","52,19",956001,"49184760,4844","636140068,4304",,,,,,
2017/05/17,"52,1","-0,789999999999999","-0,0149366609945169","52,72","52,07","53,1",611519,"32020835,55","685324828,914801",,,,,,
2017/05/16,"52,89","0,0600000000000023","0,00113571834185126","52,83","52,13","52,9599",449733,"23686864,4211","717345664,4648",,,,,,
2017/05/15,"52,83","0,309999999999995","0,00590251332825581","52,61","52,23","53,23",478446,"25296679,2014","693658800,0437",,,,,,
2017/05/12,"52,52","0,470000000000006","0,00902977905859762","52,32","51,97","52,53",676159,"35367393,2049","668362120,8423",,,,,,
2017/05/11,"52,05","0,469999999999999","0,00911205893757268","51,61","51,25","52,11",741480,"38438423,7422","632994727,6374",,,,,,
2017/05/10,"51,58","0,0700000000000003","0,00135895942535431","51,63","51,37","51,89",451935,"23357374,0588","594556303,8952",,,,,,
2017/05/09,"51,51","-0,18","-0,00348229831688914","51,76","51,34","51,92",548985,"28301441,1134","571198929,8364",,,,,,
2017/05/08,"51,69","0,539999999999999","0,0105571847507331","51,34","50,82","51,71",557960,"28665076,6788","599500370,9498",,,,,,
2017/05/05,"51,15","0,799999999999997","0,0158887785501489","50,46","50,17","51,17",414867,"21077627,3088","570835294,271",,,,,,
2017/05/04,"50,35","0,440000000000005","0,00881586856341424","49,76","49,29","50,41",687779,"34341862,3127","549757666,9622",,,,,,
2017/05/03,"49,91","-1,43000000000001","-0,0278535255161669","51,33","49,8854","51,33",691958,"34719596,0781","515415804,6495",,,,,,
