"First Potomac Realty Trust REIT Ord Shs | Price History                                          14-May-2021 00:44",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FPO^J17,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2016/06/28,2017/07/28,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Deal  Number",3120594020,,,,,,,,,,,,,,
"VAP: Total",76751355,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"11.00 - 11.50",32178376,"0,419254826185153",46,"0,167883211678832",,,,,,,,,,,
"10.50 - 11.00",9600697,"0,125088306258567",65,"0,237226277372263",,,,,,,,,,,
"10.00 - 10.50",11338110,"0,147725209541903",55,"0,200729927007299",,,,,,,,,,,
"9.50 - 10.00",8021317,"0,104510428512956",46,"0,167883211678832",,,,,,,,,,,
"9.00 - 9.50",10686058,"0,139229567999158",35,"0,127737226277372",,,,,,,,,,,
"8.50 - 9.00",3268152,"0,042581033259934",19,"0,0693430656934307",,,,,,,,,,,
"8.00 - 8.50",1658645,"0,0216106282423288",8,"0,0291970802919708",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"FPO^J17 Statistics     Daily     28-Jun-2016 - 28-Jul-2017",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"11,46",2017/06/09,Max,11655185,2017/06/28,Advancing,33017992,Up,133,Up,"0,0846245530393324",2016/11/11,Max,"129410280,1908",2017/06/28
Low,"8,01",2016/11/09,Min,53960,2016/11/25,Declining,40522021,Down,130,Down,"-0,066271018793274",2016/09/09,Min,"525654,3006",2016/11/25
Avg,"10,1383941605839",,Avg,"280114,434306569",,Total,76751355,Unch,10,Period,"0,217343578485181","28-Jun-2016 - 28-Jul-2017",Avg,"2903486,00271679",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"FPO^J17 History     Daily     28-Jun-2016 - 28-Jul-2017",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2017/07/28,"11,09",0,0,"11,1","11,09","11,17",300437,"3337347,5036","-81751808,763",,,,,,
2017/07/27,"11,09","-0,00999999999999979","-0,000900900900900882","11,1","11,09","11,13",524174,"5821860,532","-78414461,2594",,,,,,
2017/07/26,"11,1","-0,0199999999999996","-0,0017985611510791","11,12","11,1","11,155",449941,"5002288,4505","-72592600,7274",,,,,,
2017/07/25,"11,12","-0,0100000000000016","-0,000898472596585944","11,14","11,095","11,15",816380,"9082672,3537","-67590312,2769",,,,,,
2017/07/24,"11,13","0,0300000000000011","0,00270270270270281","11,11","11,09","11,135",484365,"5384932,6733","-58507639,9232",,,,,,
2017/07/21,"11,1","-0,0500000000000007","-0,00448430493273549","11,19","11,1","11,2",783715,"8723282,6122","-63892572,5965",,,,,,
2017/07/20,"11,15","-0,00999999999999979","-0,000896057347670232","11,18","11,11","11,18",1780407,"19795902,3427","-55169289,9843",,,,,,
2017/07/19,"11,16",0,0,"11,15","11,13","11,17",279608,"3119175,4287","-35373387,6416",,,,,,
2017/07/18,"11,16","-0,00999999999999979","-0,00089525514771708","11,19","11,11","11,22",440087,"4903766,7665","-32254212,2129",,,,,,
2017/07/17,"11,17","-0,00999999999999979","-0,000894454382826457","11,21","11,14","11,22",547607,"6114668,0501","-27350445,4464",,,,,,
2017/07/14,"11,18","-0,0400000000000009","-0,00356506238859188","11,18","11,16","11,24",571355,"6388555,1155","-21235777,3963",,,,,,
2017/07/13,"11,22","0,0600000000000005","0,00537634408602155","11,18","11,155","11,28",729921,"8186314,4945","-14847222,2808",,,,,,
2017/07/12,"11,16","-0,0299999999999994","-0,00268096514745303","11,19","11,1","11,25",725541,"8117204,0757","-23033536,7753",,,,,,
