"Gramercy Property Trust REIT Ord Shs | Price History                                          14-May-2021 02:35",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GPT^L15,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2014/07/01," 01-Aug-2015",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Deal Number",2770952020,,,,,,,,,,,,,,
"VAP: Total",145849371,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"29.00 - 30.00",2824032,"0,0193626614954685",5,"0,0182481751824818",,,,,,,,,,,
"28.00 - 29.00","25382652,75","0,174033337106404",43,"0,156934306569343",,,,,,,,,,,
"27.00 - 28.00","25558313,25","0,17523773379866",51,"0,186131386861314",,,,,,,,,,,
"26.00 - 27.00",12602258,"0,0864059811406386",18,"0,0656934306569343",,,,,,,,,,,
"25.00 - 26.00",19853522,"0,136123466723761",23,"0,0839416058394161",,,,,,,,,,,
"24.00 - 25.00","20946079,25","0,143614464062378",62,"0,226277372262774",,,,,,,,,,,
"23.00 - 24.00","28188312,25","0,193270029597865",67,"0,244525547445255",,,,,,,,,,,
"22.00 - 23.00","10494201,5","0,0719523260748241",5,"0,0182481751824818",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"GPT^L15 Statistics     Daily     01-Jul-2014 - 31-Jul-2015",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"30,065",2015/03/23,Max,"6719323,25",2014/12/11,Advancing,"74079657,5",Up,134,Up,"0,0840336134453781",2014/12/11,Max,"180448275,8335",2015/04/09
Low,"22,21",2015/07/06,Min,"70458,75",2014/08/25,Declining,"69703347,25",Down,129,Down,"-0,0441988950276243",2015/03/06,Min,"2138361,29",2014/11/28
Avg,"25,7010583941606",,Avg,"532296,974452555",,Total,145849371,Unch,10,Period,"-0,00244698205546487","01-Jul-2014 - 31-Jul-2015",Avg,"15188911,5578",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"GPT^L15 History     Daily     01-Jul-2014 - 31-Jul-2015",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2015/07/31,"24,46","-0,149999999999999","-0,0060950832994717","24,87","24,16","24,87",1198388,"29299042,0768","54293939,9086",,,,,,
2015/07/30,"24,61","0,0199999999999996","0,000813338755591687","24,57","24,49","24,78",560757,"13797185,7156","83592981,9854",,,,,,
2015/07/29,"24,59","0,52","0,0216036560033236","24,11","23,85","24,87",837107,"20420521,9969","69795796,2698",,,,,,
2015/07/28,"24,07","0,0199999999999996","0,000831600831600814","24,19","23,88","24,19",277290,"6676546,8177","49375274,2729",,,,,,
2015/07/27,"24,05","0,109999999999999","0,00459482038429404","23,95","23,93","24,3",482767,"11651533,3971","42698727,4552",,,,,,
2015/07/24,"23,94","-0,239999999999998","-0,00992555831265502","24,09","23,895","24,2",541574,"13011985,1503","31047194,0581",,,,,,
2015/07/23,"24,18","-0,32","-0,0130612244897959","24,54","24,12","24,61",521316,"12693527,557","44059179,2084",,,,,,
2015/07/22,"24,5","0,120000000000001","0,00492206726825271","24,32","24,224","24,67",826822,"20265194,1747","56752706,7654",,,,,,
2015/07/21,"24,38","-0,0199999999999996","-0,000819672131147524","24,34","24,18","24,42",719064,"17505630,2517","36487512,5907",,,,,,
2015/07/20,"24,4","-0,0200000000000031","-0,000819000819000947","24,36","24,2299","24,44",836912,"20431674,9466","53993142,8424",,,,,,
2015/07/17,"24,42","0,0500000000000007","0,00205170291341817","24,33","24,13","24,47",663148,"16162248,1955","74424817,789",,,,,,
2015/07/16,"24,37","0,440000000000001","0,0183869619724196","24,06","23,822","24,6",873204,"21360391,6134","58262569,5935",,,,,,
2015/07/15,"23,93","0,440000000000001","0,0187313750532142","23,47","23,41","23,95",653273,"15454520,5826","36902177,9801",,,,,,
2015/07/14,"23,49","0,189999999999998","0,00815450643776814","23,25","23,22","23,59",997157,"23383012,7911","21447657,3975",,,,,,
2015/07/13,"23,3","0,23","0,00996965756393587","23,19","23,03","23,57",1209328,"28283878,1359","-1935355,39360002",,,,,,
2015/07/10,"23,07","0,0700000000000003","0,00304347826086958","22,95","22,685","23,12",1440791,"33053685,6092","-30219233,5295",,,,,,
2015/07/09,23,"0,219999999999999","0,00965759438103595","22,89","22,78","23,02",1782165,"40937193,6983","-63272919,1387",,,,,,
2015/07/08,"22,78","-0,34","-0,0147058823529412","23,22","22,69","23,45",1478684,"33806621,4269","-104210112,837",,,,,,
2015/07/07,"23,12","0,310000000000002","0,0135905304690926","22,94","22,81","23,285",1709782,"39445186,1148","-70403491,4101",,,,,,
2015/07/06,"22,81","0,259999999999998","0,0115299334811529","22,33","22,21","22,93",1573552,"35824099,5465","-109848677,5249",,,,,,
2015/07/02,"22,55","0,0899999999999999","0,00400712377560106","22,66","22,335","22,94",2709806,"61263286,155","-145672777,0714",,,,,,
2015/07/01,"22,46","-0,91","-0,038938810440736","23,55","22,36","23,55",4185544,"95005531,8791","-206936063,2264",,,,,,
2015/06/30,"23,37","0,16","0,006893580353296","23,32","23,18","23,47",516225,"12042136,9941","-111930531,3473",,,,,,
2015/06/29,"23,21","-0,529999999999998","-0,0223251895534961","23,67","23,2","23,9",649177,"15212048,8842","-123972668,3414",,,,,,
2015/06/26,"23,74","-0,180000000000003","-0,00752508361204027","23,7","23,59","23,94",844481,"20056794,7957","-108760619,4572",,,,,,
2015/06/25,"23,92","-0,699999999999999","-0,0284321689683184","24,54","23,9","24,63",792085,"19107900,5892","-88703824,6615",,,,,,
2015/06/24,"24,62","-0,199999999999999","-0,00805801772763897","24,81","24,6","24,9",699371,"17297967,6427","-69595924,0723",,,,,,
2015/06/23,"24,82","-0,18","-0,00719999999999999",25,"24,76","25,125",980499,"24427047,841","-52297956,4296",,,,,,
2015/06/22,25,"-0,510000000000002","-0,0199921599372796","25,51","24,93","25,51",1270814,"31908139,5433","-27870908,5886",,,,,,
2015/06/19,"25,51","-0,359999999999999","-0,0139157325086973","25,98","25,49","25,98",2375125,"60832255,0198","4037230,95469999",,,,,,
2015/06/18,"25,87","0,240000000000002","0,00936402653140858","25,68","25,59","25,91",912567,"23562162,5059","64869485,9745",,,,,,
2015/06/17,"25,63","0,129999999999999","0,00509803921568624","25,65","25,4","25,67",845081,"21565901,3607","41307323,4686",,,,,,
2015/06/16,"25,5","0,0899999999999999","0,00354191263282172","25,4","25,36","25,67",537169,"13700818,9519","19741422,1079",,,,,,
2015/06/15,"25,41","-0,27","-0,0105140186915888","25,43","25,24","25,54",640450,"16281853,7874","6040603,156",,,,,,
2015/06/12,"25,68","-0,260000000000002","-0,010023130300694","25,94","25,66","26,04",366995,"9441660,4798","22322456,9434",,,,,,
2015/06/11,"25,94","0,200000000000003","0,00777000777000788","26,11","25,73","26,11",539177,"13965632,429","31764117,4232",,,,,,
2015/06/10,"25,74","0,34","0,0133858267716535","25,56","25,36","25,87",333296,"8563006,5656","17798484,9942",,,,,,
2015/06/09,"25,4","-0,240000000000002","-0,00936037441497668","25,55","25,35","25,71",708403,"18042236,7349","9235478,4286",,,,,,
2015/06/08,"25,64","-0,16","-0,0062015503875969","25,8","25,49",26,962088,"24757992,5544","27277715,1635",,,,,,
2015/06/05,"25,8","-0,300000000000001","-0,0114942528735632","25,93","25,78","26,12",738633,"19156803,5286","52035707,7179",,,,,,
2015/06/04,"26,1","-0,259999999999998","-0,00986342943854317","26,25","26,05","26,62",575278,"15055461,1549","71192511,2465",,,,,,
2015/06/03,"26,36","-0,18","-0,00678221552373774","26,51","26,23","26,71",209014,"5511401,4691","86247972,4014",,,,,,
2015/06/02,"26,54","-0,52","-0,0192165558019216","26,9","26,5","26,9",527013,"14021382,6088","91759373,8705",,,,,,
2015/06/01,"27,06","0,449999999999999","0,0169109357384442","26,68","26,45","27,23",320277,"8641355,3427","105780756,4793",,,,,,
2015/05/29,"26,61","-0,32","-0,0118826587448942","26,87","26,53","26,92",520810,"13883119,5578","97139401,1366",,,,,,
2015/05/28,"26,93","-0,0500000000000007","-0,00185322461082286","26,99","26,59",27,263270,"7061716,042","111022520,6944",,,,,,
2015/05/27,"26,98","-0,0399999999999991","-0,00148038490007399","26,98","26,85","27,17",355384,"9593494,2331","118084236,7364",,,,,,
2015/05/26,"27,02","0,00999999999999801","0,000370233246945502","26,95","26,75","27,12",870306,"23462074,992","127677730,9695",,,,,,
2015/05/22,"27,01","-0,189999999999998","-0,00698529411764698","27,02","26,86","27,26",391975,"10607847,0419","104215655,9775",,,,,,
2015/05/21,"27,2","0,34","0,0126582278481013","26,87","26,82","27,5",954222,"25910751,9851","114823503,0194",,,,,,
2015/05/20,"26,86","-0,0399999999999991","-0,00148698884758361","26,96","26,83","27,08",419238,"11285699,1831","88912751,0343",,,,,,
2015/05/19,"26,9","-0,690000000000001","-0,0250090612540776","27,45","26,87","27,6",937558,"25565158,1664","100198450,2174",,,,,,
2015/05/18,"27,59","0,120000000000001","0,00436840189297419","27,34","27,22","27,83",1328521,"36646487,8765","125763608,3838",,,,,,
2015/05/15,"27,47","0,27","0,00992647058823528","27,23","27,03","27,49",404133,"11052011,9502","89117120,5073",,,,,,
2015/05/14,"27,2","0,649999999999999","0,0244821092278719","26,66","26,52","27,22",823840,"22146090,1817","78065108,5571",,,,,,
2015/05/13,"26,55","-0,199999999999999","-0,00747663551401867","26,92","26,47","27,29",390424,"10448103,6884","55919018,3754",,,,,,
2015/05/12,"26,75","0,219999999999999","0,00829249905767052","26,54","25,84","26,89",1086784,"28769665,0456","66367122,0638",,,,,,
2015/05/11,"26,53","-0,419999999999998","-0,0155844155844155","26,92","26,45","27,32",1062516,"28406817,6184","37597457,0182",,,,,,
2015/05/08,"26,95","0,390000000000001","0,0146837349397591","26,95","26,91","27,54",537120,"14556520,5933","66004274,6366",,,,,,
2015/05/07,"26,56","0,189999999999998","0,00720515737580575","26,45","26,2501","26,735",562794,"14960120,6158","51447754,0433",,,,,,
2015/05/06,"26,37","-0,25","-0,00939143501126972","26,59","26,02","26,85",536096,"14120317,513","36487633,4275",,,,,,
2015/05/05,"26,62","-0,77","-0,0281124497991968","27,28","26,44","27,42",772482,"20599986,5034","50607950,9405",,,,,,
2015/05/04,"27,39","0,370000000000001","0,0136935603256847","27,13","27,0898","27,66",493177,"13490226,4704","71207937,4439",,,,,,
2015/05/01,"27,02","-0,32","-0,0117044623262619","27,31","26,96","27,47",590665,"16011437,3359","57717710,9735",,,,,,
2015/04/30,"27,34","-0,199999999999999","-0,0072621641249092","27,41","27,04","27,63",1527867,"41699002,6784","73729148,3094",,,,,,
2015/04/29,"27,54","-0,460000000000001","-0,0164285714285715","27,83","27,3801","27,99",425883,"11744722,1551","115428150,9878",,,,,,
2015/04/28,28,"0,149999999999999","0,00538599640933568","27,85","27,66","28,12",394605,"11021565,0447","127172873,1429",,,,,,
2015/04/27,"27,85","-0,289999999999999","-0,0103056147832267","28,2","27,71","28,43",460143,"12861376,6319","116151308,0982",,,,,,
2015/04/24,"28,14","0,280000000000001","0,0100502512562814","27,89","27,81","28,2",388144,"10898061,5185","129012684,7301",,,,,,
2015/04/23,"27,86","-0,260000000000002","-0,00924608819345667","28,05","27,68","28,18",404016,"11255649,2402","118114623,2116",,,,,,
2015/04/22,"28,12","0,0300000000000011","0,00106799572801713","28,02","27,78","28,14",425384,"11900329,9425","129370272,4518",,,,,,
2015/04/21,"28,09","-0,120000000000001","-0,00425381070542364","28,24","28,035","28,41",361260,"10184368,1392","117469942,5093",,,,,,
2015/04/20,"28,21","0,150000000000002","0,00534568781183187","28,13","28,04","28,4",548247,"15457395,0128","127654310,6485",,,,,,
2015/04/17,"28,06","-0,18","-0,00637393767705381","28,06","27,85","28,24",953027,"26746462,4803","112196915,6357",,,,,,
2015/04/16,"28,24","0,119999999999997","0,00426742532005681","28,15","28,0338","28,295",700046,"19728294,1207","138943378,116",,,,,,
2015/04/15,"28,12","0,18","0,00644237652111667","27,99","27,86","28,275",949118,"26649460,012","119215083,9953",,,,,,
2015/04/14,"27,94","-0,189999999999998","-0,00675435478137212","28,26","27,91","28,31",556331,"15641707,4943","92565623,9833",,,,,,
2015/04/13,"28,13","-0,0100000000000016","-0,000355366027007874","28,13","28,01","28,46",524458,"14798564,7587","108207331,4776",,,,,,
2015/04/10,"28,14","-0,140000000000001","-0,00495049504950497","28,42","28,13","28,6175",849005,"24078281,9282","123005896,2363",,,,,,
2015/04/09,"28,28","-0,32","-0,0111888111888112","28,41",28,"28,62",6378155,"180448275,8335","147084178,1645",,,,,,
2015/04/08,"28,6","0,0500000000000007","0,00175131348511386","28,61","28,41","28,78",264266,"7529348,2113","327532453,998",,,,,,
2015/04/07,"28,55","-0,0700000000000003","-0,00244584206848359","28,63","28,23","28,64",448273,"12761275,5076","320003105,7867",,,,,,
2015/04/06,"28,62","0,170000000000002","0,00597539543058003","28,44","28,43","29,12",351045,"10098487,5155","332764381,2943",,,,,,
2015/04/02,"28,45","-0,0399999999999991","-0,00140400140400137","28,51","28,22","28,8",456264,"12981249,0087","322665893,7788",,,,,,
2015/04/01,"28,49","0,419999999999998","0,0149625935162094","28,08","27,91","28,6",501229,"14222885,7128","335647142,7875",,,,,,
2015/03/31,"28,07","-0,390000000000001","-0,0137034434293746","28,36","28,03","28,58",466407,"13134130,1283","321424257,0747",,,,,,
2015/03/30,"28,46","-0,0899999999999999","-0,0031523642732049","28,62","28,38","28,83",494086,"14092066,3288","334558387,203",,,,,,
2015/03/27,"28,55","-0,0299999999999976","-0,00104968509447157","28,37","28,198","28,78",354769,"10123368,6042","348650453,5318",,,,,,
2015/03/26,"28,58","0,309999999999999","0,0109656880084895","28,23","28,21","29,01",506516,"14523358,878","358773822,136",,,,,,
2015/03/25,"28,27","-0,98","-0,0335042735042735","29,3","28,21","29,394",363405,"10375468,6786","344250463,258",,,,,,
