"Hatteras Financial REIT Ord Shs | Price History                                          14-May-2021 02:12",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
HTS^G16,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
11-Apr-2015," 11-May-2016",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Deal  Number",2944674020,,,,,,,,,,,,,,
"VAP: Total",295224452,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"18.00 - 19.00",14953739,"0,0506521018116751",23,"0,0839416058394161",,,,,,,,,,,
"17.00 - 18.00",27097206,"0,091785100510577",37,"0,135036496350365",,,,,,,,,,,
"16.00 - 17.00",47894307,"0,162230149554143",51,"0,186131386861314",,,,,,,,,,,
"15.00 - 16.00",76796966,"0,260130776701382",51,"0,186131386861314",,,,,,,,,,,
"14.00 - 15.00",39914983,"0,135202157983852",46,"0,167883211678832",,,,,,,,,,,
"13.00 - 14.00",43042143,"0,145794641021131",41,"0,14963503649635",,,,,,,,,,,
"12.00 - 13.00",24571720,"0,0832306397167942",15,"0,0547445255474453",,,,,,,,,,,
"11.00 - 12.00",20953388,"0,0709744327004458",10,"0,0364963503649635",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"HTS^G16 Statistics     Daily     13-Apr-2015 - 11-May-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"18,82",2015/04/17,Max,28543370,2016/04/11,Advancing,151625738,Up,127,Up,"0,107994389901823",2016/04/11,Max,"448363381,73",2016/04/11
Low,"10,54",2016/01/20,Min,296610,2015/11/27,Declining,134174237,Down,136,Down,"-0,0478223740392827",2016/01/19,Min,"4173834,9522",2015/11/27
Avg,"15,4171532846715",,Avg,"1077461,50364964",,Total,295224452,Unch,10,Period,"-0,104437229437229","13-Apr-2015 - 11-May-2016",Avg,"16193534,1729321",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"HTS^G16 History     Daily     13-Apr-2015 - 11-May-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2016/05/11,"16,55","0,0800000000000018","0,00485731633272628","16,4","16,37","16,58",705953,"11669343,0605","335926909,4704",,,,,,
2016/05/10,"16,47","0,0999999999999979","0,00610873549175308","16,4","16,35","16,505",461208,"7584075,0454","324257566,4099",,,,,,
2016/05/09,"16,37","0,0400000000000027","0,00244947948560947","16,34","16,23","16,455",799785,"13100644,8282","316673491,3645",,,,,,
2016/05/06,"16,33","0,25","0,015547263681592","16,05","16,03","16,355",744212,"12121142,0286","303572846,5363",,,,,,
2016/05/05,"16,08","0,129999999999999","0,00815047021943567","15,93","15,9","16,14",957404,"15387525,7359","291451704,5077",,,,,,
2016/05/04,"15,95","0,16","0,0101329955668144","15,74","15,72","15,95",1249517,"19792758,1425","276064178,7718",,,,,,
2016/05/03,"15,79","-0,130000000000001","-0,00816582914572869","15,88","15,76","15,9",453564,"7168295,893","256271420,6293",,,,,,
2016/05/02,"15,92","0,0299999999999994","0,0018879798615481","15,9","15,83","15,95",562752,"8945128,1684","263439716,5223",,,,,,
2016/04/29,"15,89","0,0400000000000009","0,00252365930599375","15,83","15,75","15,98",816302,"12935824,5571","254494588,3539",,,,,,
2016/04/28,"15,85","0,0199999999999996","0,00126342387871128","15,77","15,77","15,905",626903,"9929902,4071","241558763,7968",,,,,,
2016/04/27,"15,83","0,0400000000000009","0,00253324889170367","15,77","15,74","15,84",642137,"10148562,4099","231628861,3897",,,,,,
2016/04/26,"15,79","-0,140000000000001","-0,0087884494664156","15,93","15,72","15,95",907086,"14321667,5103","221480298,9798",,,,,,
2016/04/25,"15,93","0,18","0,0114285714285714","15,73","15,7","15,93",863764,"13692477,281","235801966,4901",,,,,,
2016/04/22,"15,75","-0,0399999999999991","-0,00253324889170356","15,83","15,7","15,83",1374467,"21646038,9035","222109489,2091",,,,,,
2016/04/21,"15,79","-0,170000000000002","-0,0106516290726818","15,98","15,73","15,98",1003525,"15860307,6813","243755528,1126",,,,,,
2016/04/20,"15,96","0,0200000000000014","0,00125470514429118","15,93","15,93","16,03",694619,"11098565,7912","259615835,7939",,,,,,
2016/04/19,"15,94","0,0399999999999991","0,0025157232704402","15,88","15,88","16,02",1299133,"20703972,6584","248517270,0027",,,,,,
2016/04/18,"15,9","-0,0399999999999991","-0,00250941028858213","15,92","15,84","15,94",1560598,"24814236,3765","227813297,3443",,,,,,
2016/04/15,"15,94","0,0599999999999987","0,00377833753148607","15,85","15,8438","15,96",1334920,"21234523,7499","252627533,7208",,,,,,
2016/04/14,"15,88","0,0400000000000009","0,00252525252525258","15,82","15,77","15,94",2568720,"40691455,1516","231393009,9709",,,,,,
2016/04/13,"15,84","0,0399999999999991","0,0025316455696202","15,81","15,75","15,86",5176545,"81829161,2349","190701554,8193",,,,,,
