"HealthLease Properties Real Estate Investment Units | Price History                                          14-May-2021 03:33",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HLP_u.TO^K14,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"13-Aug-2013 ",2014/09/13,,,,,,,,,,,
,,,,,,,,,,,,
"Deal Number",2664137040,,,,,,,,,,,
"VAP: Total",33385716,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"14.00 - 14.50",14504660,"0,434457059420262",22,"0,0805860805860806",,,,,,,,
"13.50 - 14.00",,0,0,0,,,,,,,,
"13.00 - 13.50",,0,0,0,,,,,,,,
"12.50 - 13.00",,0,0,0,,,,,,,,
"12.00 - 12.50",,0,0,0,,,,,,,,
"11.50 - 12.00",,0,0,0,,,,,,,,
"11.00 - 11.50",108654,"0,00325450560952474",1,"0,00366300366300366",,,,,,,,
"10.50 - 11.00",5294911,"0,158598096263684",66,"0,241758241758242",,,,,,,,
"10.00 - 10.50",9107585,"0,272798852059965",98,"0,358974358974359",,,,,,,,
"9.50 - 10.00",3770172,"0,112927696383687",78,"0,285714285714286",,,,,,,,
"9.00 - 9.50",599734,"0,0179637902628777",8,"0,0293040293040293",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"HLP_u.TO^K14 Statistics     Daily     13-Aug-2013 - 12-Sep-2014",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"14,3",2014/08/13,Max,4666778,2014/08/13,Advancing,15567135,Up,118,Up,"0,312096029547553",2014/08/13
Low,"9,27",2013/12/18,Min,17068,2013/09/03,Declining,15878194,Down,134,Down,"-0,0298651252408478",2014/02/03
Avg,"10,5185164835165",,Avg,122292,,Total,33385716,Unch,20,Period,"0,430020283975659","13-Aug-2013 - 12-Sep-2014"
,,,,,,,,,,,,
,,,,,,,,,,,,
"HLP_u.TO^K14 History     Daily     13-Aug-2013 - 12-Sep-2014",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2014/09/12,"14,1","-0,00999999999999979","-0,000708717221828475","14,09","14,08","14,1",659860,,,,,
2014/09/11,"14,11","-0,0300000000000011","-0,0021216407355022","14,14","14,09","14,15",803713,,,,,
2014/09/10,"14,14","-0,0199999999999996","-0,00141242937853104","14,13","14,1","14,16",115685,,,,,
2014/09/09,"14,16","0,0400000000000009","0,00283286118980177","14,1","14,1","14,18",361741,,,,,
2014/09/08,"14,12","0,0199999999999996","0,00141843971631203","14,09","14,09","14,12",104056,,,,,
2014/09/05,"14,1","0,0199999999999996","0,00142045454545452","14,08","14,06","14,11",80950,,,,,
2014/09/04,"14,08","-0,0299999999999994","-0,00212615166548543","14,11","14,04","14,11",177839,,,,,
2014/09/03,"14,11",0,0,"14,1","14,07","14,11",125294,,,,,
2014/09/02,"14,11","0,0199999999999996","0,00141944641589777","14,02","14,02","14,14",230322,,,,,
2014/08/29,"14,09","-0,0500000000000007","-0,00353606789250359","14,14","14,03","14,14",1145366,,,,,
2014/08/28,"14,14","-0,00999999999999979","-0,000706713780918713","14,14","14,13","14,14",75667,,,,,
2014/08/27,"14,15","-0,0700000000000003","-0,00492264416315051","14,19","14,12","14,19",293915,,,,,
2014/08/26,"14,22","0,0200000000000014","0,00140845070422545","14,21","14,2","14,23",657265,,,,,
2014/08/25,"14,2","-0,0100000000000016","-0,000703729767769287","14,2","14,2","14,21",418042,,,,,
2014/08/22,"14,21","-0,0199999999999996","-0,00140548137737172","14,21","14,2","14,22",794188,,,,,
2014/08/21,"14,23",0,0,"14,22","14,22","14,23",150345,,,,,
2014/08/20,"14,23",0,0,"14,21","14,21","14,23",125983,,,,,
2014/08/19,"14,23","0,00999999999999979","0,000703234880450055","14,21","14,2","14,23",495893,,,,,
