"Merry Land Prop Common Stock | Price History                                          09-May-2021 23:07",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MRYP.OQ^E03,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"19-Feb-2002 ",2003/03/19,,,,,,,,,,,
,,,,,,,,,,,,
"Deal Number",1371957020,,,,,,,,,,,
"VAP: Total",671500,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"13.00 - 14.00",27900,"0,0415487714072971",1,"0,00483091787439614",,,,,,,,
"12.00 - 13.00",339400,"0,505435591958302",24,"0,115942028985507",,,,,,,,
"11.00 - 12.00",49100,"0,0731198808637379",13,"0,0628019323671498",,,,,,,,
"10.00 - 11.00",29000,"0,043186895011169",11,"0,0531400966183575",,,,,,,,
"9.00 - 10.00",114600,"0,17066269545793",76,"0,367149758454106",,,,,,,,
"8.00 - 9.00",86100,"0,128220402084885",62,"0,29951690821256",,,,,,,,
"7.00 - 8.00",8700,"0,0129560685033507",14,"0,0676328502415459",,,,,,,,
"6.00 - 7.00",16700,"0,0248696947133284",6,"0,0289855072463768",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MRYP.OQ^E03 Statistics     Daily     19-Feb-2002 - 19-Mar-2003",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"13,99",2002/05/31,Max,61300,2003/02/20,Advancing,361900,Up,88,Up,"0,316508937960042",2003/02/20
Low,"6,55",2002/02/28,Min,100,2003/02/19,Declining,279800,Down,89,Down,"-0,172310007524454",2002/06/03
Avg,"9,49827053140097",,Avg,"3243,961352657",,Total,671500,Unch,29,Period,"0,946969696969697","19-Feb-2002 - 19-Mar-2003"
,,,,,,,,,,,,
,,,,,,,,,,,,
"MRYP.OQ^E03 History     Daily     19-Feb-2002 - 19-Mar-2003",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2003/03/19,"12,85","0,139999999999999","0,0110149488591659","12,9","12,82","12,9",4400,,,,,
2003/03/18,"12,71","0,0100000000000016","0,000787401574803273","12,8","12,71","12,89",9200,,,,,
2003/03/17,"12,7","-0,0600000000000005","-0,00470219435736681","12,75","12,7","12,8",1900,,,,,
2003/03/14,"12,76","0,16","0,0126984126984127","12,6","12,6","12,78",1400,,,,,
2003/03/13,"12,6",0,0,"12,6","12,6","12,65",1500,,,,,
2003/03/12,"12,6","0,0800000000000001","0,00638977635782748","12,6","12,52","12,6",3400,,,,,
2003/03/11,"12,52","-0,0600000000000005","-0,00476947535771069","12,52","12,52","12,521",1900,,,,,
2003/03/10,"12,58","-0,119999999999999","-0,00944881889763773","12,58","12,58","12,58",200,,,,,
2003/03/07,"12,7","0,199999999999999","0,0159999999999999","12,58","12,58","12,7",2200,,,,,
2003/03/06,"12,5","-0,0700000000000003","-0,00556881463802707","12,58","12,5","12,7",16400,,,,,
2003/03/05,"12,57","-0,119999999999999","-0,00945626477541365","12,6","12,5","12,6",2500,,,,,
2003/03/04,"12,69","0,0299999999999994","0,00236966824644545","12,44","12,44","12,69",3500,,,,,
2003/03/03,"12,66","-0,0500000000000007","-0,00393391030684506","12,85","12,65","12,89",29600,,,,,
2003/02/28,"12,71","0,0100000000000016","0,000787401574803273","12,64","12,6","12,75",12000,,,,,
2003/02/27,"12,7","0,299999999999999","0,0241935483870967","12,52","12,52","12,95",11400,,,,,
2003/02/26,"12,4","-0,0499999999999989","-0,00401606425702803","12,28","12,28","12,55",7500,,,,,
2003/02/25,"12,45","-0,25","-0,0196850393700787","12,4","12,25","12,55",20800,,,,,
2003/02/24,"12,7","0,209999999999999","0,0168134507606084","12,4","11,9","12,7",18200,,,,,
2003/02/21,"12,49","-0,0299999999999994","-0,00239616613418525","12,2","11,95","12,49",46900,,,,,
2003/02/20,"12,52","3,01","0,316508937960042","12,26","12,08","13,28",61300,,,,,
2003/02/19,"9,51","-0,290000000000001","-0,029591836734694","9,51","9,51","9,51",100,,,,,
2003/02/18,"9,8","0,0500000000000007","0,0051282051282052","9,7","9,58","9,8",3200,,,,,
2003/02/14,"9,75","0,25","0,0263157894736842","9,75","9,75","9,75",1000,,,,,
2003/02/13,"9,5",0,0,"9,5","9,5","9,5",400,,,,,
2003/02/12,"9,5","-0,25","-0,0256410256410256","9,4","9,4","9,5",3000,,,,,
2003/02/11,"9,75","0,310000000000001","0,0328389830508475","9,74","9,74","9,93",2000,,,,,
2003/02/10,"9,44","-0,18","-0,0187110187110187","9,75",8,"9,75",1000,,,,,
2003/02/07,"9,62","-0,120000000000001","-0,0123203285420946","9,75","9,62","9,75",800,,,,,
2003/02/06,"9,74",0,0,"9,74","9,74","9,74",100,,,,,
2003/02/05,,,,,,,,,,,,
2003/02/04,"9,74","1,32","0,156769596199525","8,43","8,43","9,74",2000,,,,,
2003/02/03,"8,42",0,0,"8,42","8,42","8,42",200,,,,,
2003/01/31,"8,42","-0,00999999999999979","-0,0011862396204033","8,25","8,02","8,42",1400,,,,,
2003/01/30,"8,43","0,33","0,0407407407407408","8,5","8,24","8,5",1200,,,,,
2003/01/29,"8,1","-0,26","-0,0311004784688995",8,8,"8,25",2900,,,,,
2003/01/28,"8,36","-0,350000000000001","-0,040183696900115","8,38","8,1","8,38",1000,,,,,
2003/01/27,"8,71","-0,341999999999999","-0,0377817057003976","8,76","8,4","8,76",300,,,,,
2003/01/24,"9,052","-0,508000000000001","-0,0531380753138076","9,13","8,96","9,13",500,,,,,
2003/01/23,,,,,,,,,,,,
2003/01/22,"9,56","-0,19","-0,0194871794871794","9,46","9,11","9,56",3000,,,,,
2003/01/21,"9,75",0,0,"9,75","9,51","9,75",2400,,,,,
2003/01/17,"9,75","0,26","0,0273972602739726","9,75","9,46","9,75",400,,,,,
2003/01/16,,,,,,,,,,,,
2003/01/15,"9,49","-0,26","-0,0266666666666666","9,49","9,49","9,49",100,,,,,
2003/01/14,"9,75","0,0199999999999996","0,00205549845837611","9,75","9,75","9,75",1000,,,,,
2003/01/13,"9,73","0,440000000000001","0,047362755651238","9,44","9,44","9,73",3600,,,,,
2003/01/10,"9,29","-0,0600000000000005","-0,00641711229946529","9,33","9,29","9,5",6500,,,,,
2003/01/09,"9,35","0,0999999999999996","0,0108108108108108",9,9,"9,35",1200,,,,,
2003/01/08,"9,25","-0,25","-0,0263157894736842","9,5","9,25","9,5",400,,,,,
2003/01/07,"9,5","-0,33","-0,0335707019328586","9,37","9,35","9,5",2400,,,,,
2003/01/06,"9,83","1,03","0,117045454545454","8,82","8,82","9,83",1000,,,,,
2003/01/03,"8,8",0,0,"8,8","8,8","8,8",300,,,,,
2003/01/02,"8,8","0,100000000000001","0,0114942528735634","8,45","8,45","8,8",200,,,,,
2002/12/31,"8,7",0,0,9,"8,7",9,1100,,,,,
2002/12/30,"8,7","-0,180000000000001","-0,0202702702702704","8,06","8,06","8,75",7100,,,,,
2002/12/27,"8,88","0,48","0,0571428571428572","8,15",8,"8,88",3100,,,,,
2002/12/26,"8,4","-0,609999999999999","-0,0677025527192008","8,67","7,92","8,67",4600,,,,,
2002/12/24,"9,01","-0,140000000000001","-0,0153005464480875","9,03","9,01","9,03",300,,,,,
2002/12/23,"9,15","0,15","0,0166666666666667","9,28","9,15","9,39",500,,,,,
2002/12/20,9,"-0,27","-0,029126213592233","9,27",9,"9,27",900,,,,,
2002/12/19,"9,27","0,67","0,077906976744186","8,74","8,74","9,5",3500,,,,,
2002/12/18,"8,6","0,0999999999999996","0,0117647058823529","8,6","8,6","8,6",200,,,,,
2002/12/17,"8,5","-0,0999999999999996","-0,0116279069767441","8,6","8,5","8,6",800,,,,,
2002/12/16,"8,6","-0,300000000000001","-0,0337078651685394","8,68","8,6","8,68",1800,,,,,
2002/12/13,"8,9","-0,0999999999999996","-0,0111111111111111",9,"8,9","9,25",600,,,,,
2002/12/12,9,"0,369999999999999","0,0428736964078794",9,9,9,200,,,,,
2002/12/11,"8,63","-0,17","-0,0193181818181818","7,97","7,97","8,63",1400,,,,,
2002/12/10,"8,8",0,0,"8,89","8,8","8,89",400,,,,,
2002/12/09,"8,8","0,0660000000000007","0,00755667506297238","8,76","8,76","8,8",400,,,,,
2002/12/06,"8,734","0,0739999999999998","0,00854503464203231","8,52","8,52","8,734",200,,,,,
2002/12/05,,,,,,,,,,,,
2002/12/04,,,,,,,,,,,,
2002/12/03,,,,,,,,,,,,
2002/12/02,"8,66",0,0,"8,66","8,66","8,66",100,,,,,
2002/11/29,,,,,,,,,,,,
2002/11/27,"8,66","-0,33","-0,0367074527252503","8,6","8,05","8,66",600,,,,,
2002/11/26,"8,99","-0,00999999999999979","-0,00111111111111109","8,8","8,61","8,99",1600,,,,,
