"Parkway Properties REIT Ord Shs | Price History                                          14-May-2021 01:44",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PKY^J16,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
" 29-Apr-2015 ",29-May-2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Deal Number",2952899020,,,,,,,,,,,,,,
"VAP: Total",198482711,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"18.00 - 19.00",8853953,"0,0446081825232627",13,"0,0474452554744526",,,,,,,,,,,
"17.00 - 18.00",67241785,"0,338779053657726",86,"0,313868613138686",,,,,,,,,,,
"16.00 - 17.00",41777298,"0,210483310055151",49,"0,178832116788321",,,,,,,,,,,
"15.00 - 16.00",50669844,"0,255285932687608",75,"0,273722627737226",,,,,,,,,,,
"14.00 - 15.00",9458929,"0,0476561860342587",16,"0,0583941605839416",,,,,,,,,,,
"13.00 - 14.00",12195805,"0,0614451754440214",24,"0,0875912408759124",,,,,,,,,,,
"12.00 - 13.00",7119602,"0,0358701368201284",10,"0,0364963503649635",,,,,,,,,,,
"11.00 - 12.00",1165495,"0,00587202277784285",1,"0,00364963503649635",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"PKY^J16 Statistics     Daily     29-Apr-2015 - 27-May-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"18,68",2015/07/08,Max,8975599,2016/04/29,Advancing,107492498,Up,135,Up,"0,0647249190938511",2016/04/29,Max,"149142363,4104",2016/04/29
Low,"11,54",2016/02/11,Min,134171,2015/12/24,Declining,85770742,Down,129,Down,"-0,0575194727381666",2015/08/24,Min,"2123697,7272",2015/12/24
