"Post Properties REIT Ord Shs | Price History                                          14-May-2021 01:14",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PPS^L16,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
" 15-Aug-2015",2016/09/15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Deal Number",2994591020,,,,,,,,,,,,,,
"VAP: Total",140593350,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"68.00 - 70.00",4045881,"0,0287771861186891",1,"0,00364963503649635",,,,,,,,,,,
"66.00 - 68.00",12625562,"0,0898019856557938",15,"0,0547445255474453",,,,,,,,,,,
"64.00 - 66.00",6662297,"0,0473869994562332",7,"0,0255474452554745",,,,,,,,,,,
"62.00 - 64.00",8691717,"0,0618216793326285",24,"0,0875912408759124",,,,,,,,,,,
"60.00 - 62.00",23359934,"0,166152481607416",41,"0,14963503649635",,,,,,,,,,,
"58.00 - 60.00",46005770,"0,327225789839989",105,"0,383211678832117",,,,,,,,,,,
"56.00 - 58.00",23159486,"0,164726752723369",46,"0,167883211678832",,,,,,,,,,,
"54.00 - 56.00",13559205,"0,0964427193747073",31,"0,113138686131387",,,,,,,,,,,
"52.00 - 54.00",2483498,"0,0176644058911748",4,"0,0145985401459854",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"PPS^L16 Statistics     Daily     17-Aug-2015 - 15-Sep-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"69,39",2016/08/15,Max,6619140,2015/10/27,Advancing,66892285,Up,139,Up,"0,0941819350691096",2016/08/15,Max,"406056524,0338",2015/10/27
Low,"52,0801",2016/02/12,Min,124860,2015/12/24,Declining,72737795,Down,133,Down,"-0,0445960125918153",2016/02/05,Min,"7381420,511",2015/12/24
Avg,"59,4006204379562",,Avg,"513114,416058394",,Total,140593350,Unch,1,Period,"0,0814532183145321","17-Aug-2015 - 15-Sep-2016",Avg,"30801278,8396453",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"PPS^L16 History     Daily     17-Aug-2015 - 15-Sep-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2016/09/15,"65,19","-0,0499999999999972","-0,000766400980993212","65,15","64,88","65,52",401487,"26135003,0481","-287817138,8333",,,,,,
2016/09/14,"65,24","0,670000000000002","0,0103763357596407","64,87","64,4401","65,357",290273,"18892495,4919","-261682135,7852",,,,,,
2016/09/13,"64,57","-1,87","-0,0281456953642385","65,98","64,51","65,98",389282,"25319860,1784","-280574631,2771",,,,,,
2016/09/12,"66,44","1,28","0,0196439533456108","64,85","64,85","66,789",579046,"38196421,376","-255254771,0987",,,,,,
2016/09/09,"65,16","-1,52000000000001","-0,0227954409118178","66,02","64,9","66,02",415396,"27114195,1801","-293451192,4747",,,,,,
2016/09/08,"66,68","-0,459999999999994","-0,00685135537682445",67,"66,33","67,125",374500,"24988296,768","-266336997,2946",,,,,,
2016/09/07,"67,14","-0,450000000000003","-0,00665778961384824","67,45","66,72","67,5",669053,"44842873,5091","-241348700,5266",,,,,,
2016/09/06,"67,59",0,0,"67,67","67,1","68,36",694761,"46881556,3209","-196505827,0175",,,,,,
2016/09/02,"67,59","0,469999999999999","0,00700238379022644","67,32","67,15","68,4",423622,"28602578,0708","-243387383,3384",,,,,,
2016/09/01,"67,12","0,840000000000003","0,0126735063367532","66,35","65,95","67,24",440168,"29422768,3674","-271989961,4092",,,,,,
2016/08/31,"66,28","0,0400000000000063","0,000603864734299611","66,16","65,96","66,53",693865,"45975794,5416","-301412729,7766",,,,,,
2016/08/30,"66,24","-0,440000000000012","-0,00659868026394739","66,71","65,69","66,78",412784,"27284906,5432","-347388524,3182",,,,,,
2016/08/29,"66,68","0,840000000000003","0,0127582017010936","66,47","66,03","67,08",746385,"49765731,4135","-320103617,775",,,,,,
2016/08/26,"65,84","-0,47999999999999","-0,00723763570566933","66,49","65,36","66,97",1028811,"67846120,2621","-369869349,1885",,,,,,
2016/08/25,"66,32","0,699999999999989","0,0106674794270038","65,46","65,3673","66,98",1221209,"81214572,1218","-302023228,9264",,,,,,
2016/08/24,"65,62","-0,679999999999993","-0,0102564102564101","66,32","65,15","66,38",1077870,"70708852,1426","-383237801,0482",,,,,,
2016/08/23,"66,3","-0,25","-0,00375657400450789","66,68","66,3","67,11",600841,"39938220,2605","-312528948,9056",,,,,,
2016/08/22,"66,55","-0,0799999999999983","-0,00120066036319973","66,71","65,96","67,13",790483,"52561030,2161","-272590728,6451",,,,,,
2016/08/19,"66,63","0,449999999999989","0,00679963735267435","66,51","65,8","66,65",981311,"65021789,4808","-220029698,429",,,,,,
2016/08/18,"66,18","-0,699999999999989","-0,0104665071770333","66,72","65,8841","67,31",1619241,"107660580,6551","-285051487,9098",,,,,,
2016/08/17,"66,88","0,939999999999998","0,0142553836821352","66,07","65,42",67,2378293,"157684772,7046","-177390907,2547",,,,,,
2016/08/16,"65,94","-2,14","-0,0314336075205641","68,07","65,91","68,18",3059178,"203868029,3108","-335075679,9593",,,,,,
2016/08/15,"68,08","5,86","0,0941819350691096","69,33","66,82","69,39",4045881,"273773539,7098","-131207650,6485",,,,,,
2016/08/12,"62,22","0,359999999999999","0,00581959262851599","61,9","61,9","62,84",189510,"11812878,7175","-404981190,3583",,,,,,
2016/08/11,"61,86","-0,82","-0,0130823229100191","62,71","61,44","62,71",338416,"20936884,748","-416794069,0758",,,,,,
2016/08/10,"62,68","-0,32","-0,00507936507936508","63,03","62,54","63,27",257587,"16176053,2602","-395857184,3278",,,,,,
2016/08/09,63,"0,229999999999997","0,00366417078222076","62,81","62,305","63,015",350641,"22050481,2796","-379681131,0676",,,,,,
2016/08/08,"62,77","0,490000000000002","0,00786769428387929","62,39","62,105",63,245511,"15398444,026","-401731612,3472",,,,,,
2016/08/05,"62,28","-0,100000000000001","-0,00160307790958643","62,49","62,15","62,7",315769,"19679415,8175","-417130056,3732",,,,,,
2016/08/04,"62,38","-0,369999999999997","-0,00589641434262944","62,94","62,38","62,94",180991,"11315348,6215","-397450640,5557",,,,,,
2016/08/03,"62,75","-0,659999999999997","-0,010408452925406","63,51","62,5","63,56",301363,"18917575,4614","-386135291,9342",,,,,,
2016/08/02,"63,41","-0,490000000000002","-0,00766823161189361","67,4","63,05","67,61",428323,"27287269,6308","-367217716,4728",,,,,,
2016/08/01,"63,9","0,309999999999995","0,00487498034282112","63,54","63,54","64,015",248795,"15873669,9779","-339930446,842",,,,,,
2016/07/29,"63,59","1,39","0,0223472668810289","62,31","62,31","63,985",379272,"24126044,6062","-355804116,8199",,,,,,
2016/07/28,"62,2","0,220000000000006","0,00354953210713143","61,86","61,58","62,44",465665,"28937351,8089","-379930161,4261",,,,,,
2016/07/27,"61,98","-1,09","-0,0172823846519741","62,89","61,69","62,89",662074,"41191764,8972","-408867513,235",,,,,,
2016/07/26,"63,07","-0,280000000000001","-0,00441988950276245","63,17","62,67","63,21",476590,"30021290,2167","-367675748,3378",,,,,,
2016/07/25,"63,35","-0,119999999999997","-0,00189065700330861","63,55","63,1","63,65",419964,"26598544,7858","-337654458,1211",,,,,,
2016/07/22,"63,47","0,619999999999997","0,00986475735879073","62,74","62,74","63,62",384932,"24413380,1568","-311055913,3353",,,,,,
2016/07/21,"62,85","0,450000000000003","0,00721153846153851","62,13","62,13","62,88",368898,"23111694,398","-335469293,4921",,,,,,
2016/07/20,"62,4","-0,0500000000000043","-0,000800640512409996","62,36","62,18","62,5",230475,"14378658,1318","-358580987,8901",,,,,,
2016/07/19,"62,45","0,400000000000006","0,00644641418211129","61,96","61,81","62,45",217420,"13514289,3117","-344202329,7583",,,,,,
2016/07/18,"62,05","-0,0200000000000031","-0,000322216851941407","62,08","61,68","62,48",446624,"27656352,4678","-357716619,07",,,,,,
2016/07/15,"62,07","-0,0600000000000023","-0,000965717044905879","61,9","61,35","62,13",544476,"33633543,2977","-330060266,6022",,,,,,
2016/07/14,"62,13","-0,259999999999998","-0,00416733450873534","62,27","61,95","62,59",534228,"33281082,4152","-296426723,3045",,,,,,
2016/07/13,"62,39","0,219999999999999","0,00353868425285506","62,43","62,02","62,56",676702,"42143136,8055","-263145640,8893",,,,,,
2016/07/12,"62,17","0,130000000000003","0,00209542230818831","62,02","61,26","62,2",314451,"19477636,9941","-305288777,6948",,,,,,
2016/07/11,"62,04","0,390000000000001","0,00632603406326035","61,81","61,17","62,09",321952,"19896448,1398","-324766414,6889",,,,,,
