"Tier Real Estate Investment Trust Ord Shs | Price History                                          10-May-2021 00:40",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TIER.K^F19,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
2018/03/25,25-Apr-2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Deal Number",3369770020,,,,,,,,,,,,,,
"VAP: Total",89354218,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"28.00 - 30.00",9959272,"0,111458330931843",15,"0,0549450549450549",,,,,,,,,,,
"26.00 - 28.00",11061070,"0,123789007923498",8,"0,0293040293040293",,,,,,,,,,,
"24.00 - 26.00",12096495,"0,135376877228113",38,"0,139194139194139",,,,,,,,,,,
"22.00 - 24.00",36648814,"0,410152031099416",129,"0,472527472527473",,,,,,,,,,,
"20.00 - 22.00",14069476,"0,15745732339127",51,"0,186813186813187",,,,,,,,,,,
"18.00 - 20.00",5519091,"0,061766429425861",32,"0,117216117216117",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TIER.K^F19 Statistics     Daily     26-Mar-2018 - 25-Apr-2019",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"29,16",2019/04/12,Max,3847178,2019/03/25,Advancing,54708813,Up,148,Up,"0,0790010193679919",2018/05/09,Max,"105998056,1874",2019/03/26
Low,"18,011",2018/03/26,Min,89072,2018/04/09,Declining,33214308,Down,119,Down,"-0,0681173131504258",2018/12/24,Min,"1639879,5941",2018/04/09
Avg,"22,9532234432234",,Avg,"327304,827838828",,Total,89354218,Unch,5,Period,"0,525164113785558","26-Mar-2018 - 25-Apr-2019",Avg,"7846084,12025715",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TIER.K^F19 History     Daily     26-Mar-2018 - 25-Apr-2019",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2019/04/25,"27,88","-0,120000000000001","-0,00428571428571432","27,93","27,56","28,11",506524,"14109768,0347","538131695,6774",,,,,,
