"Annaly Capital Management Inc | Price History                                          14-May-2021 02:08",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NLY,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 11-Apr-2015 - 11-May-2016",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",2428297574,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"11.00 - 11.50",12186855,"0,0050186826896694",1,"0,00364963503649635",,,,,,,,,,,
"10.50 - 11.00",70256510,"0,0289324137009577",7,"0,0255474452554745",,,,,,,,,,,
"10.00 - 10.50",1210864994,"0,498647697450609",138,"0,503649635036496",,,,,,,,,,,
"9.50 - 10.00",801760569,"0,330173936499596",92,"0,335766423357664",,,,,,,,,,,
"9.00 - 9.50",258465209,"0,106438853197981",31,"0,113138686131387",,,,,,,,,,,
"8.50 - 9.00",74763437,"0,0307884164611862",5,"0,0182481751824818",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"NLY Statistics     Daily     13-Apr-2015 - 11-May-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"11,09",2016/05/11,Max,37619649,2016/04/11,Advancing,1243737596,Up,140,Up,"0,0368239355581128",2016/01/22,Max,"388137414,7252",2015/05/29
Low,"8,25",2016/01/20,Min,2398906,2015/12/24,Declining,1126962640,Down,125,Down,"-0,0470829068577276",2015/06/26,Min,"23395944,2546",2015/12/24
Avg,"9,95733576642336",,Avg,"8862399,90510949",,Total,2428297574,Unch,8,Period,"0,0666666666666666","13-Apr-2015 - 11-May-2016",Avg,"88247677,0945346",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"NLY History     Daily     13-Apr-2015 - 11-May-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2016/05/11,"11,04","0,0499999999999989","0,00454959053685159","10,99","10,97","11,09",12186855,"134524484,7281","1381881288,2342",,,,,,
2016/05/10,"10,99","0,0700000000000003","0,00641025641025644","10,95","10,89",11,8777116,"96218237,8671","1247356803,5061",,,,,,
