"Apollo Commercial Real Estate Finance Inc | Price History                                          14-May-2021 02:22",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ARI,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 26-Feb-2015 - 26-Mar-2016",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",159616881,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"17.50 - 18.00",14730278,"0,0922852138678239",18,"0,0661764705882353",,,,,,,,,,,
"17.00 - 17.50",46560437,"0,29170120796935",102,"0,375",,,,,,,,,,,
"16.50 - 17.00",45669174,"0,286117443931259",74,"0,272058823529412",,,,,,,,,,,
"16.00 - 16.50",21247587,"0,133116164574097",40,"0,147058823529412",,,,,,,,,,,
"15.50 - 16.00",22387872,"0,140260051817452",29,"0,106617647058824",,,,,,,,,,,
"15.00 - 15.50",9021533,"0,0565199178400184",9,"0,0330882352941176",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"ARI Statistics     Daily     26-Feb-2015 - 24-Mar-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"18,25",2015/12/23,Max,8642678,2015/03/05,Advancing,73567336,Up,135,Up,"0,0350297422339722",2016/01/22,Max,"145366683,016",2015/03/05
Low,"12,92",2015/08/24,Min,181488,2015/09/14,Declining,77251474,Down,123,Down,"-0,0832841110454814",2016/02/26,Min,"2971909,5349",2015/09/14
Avg,"16,7804779411765",,Avg,"586826,768382353",,Total,159616881,Unch,13,Period,"-0,03744880046811","26-Feb-2015 - 24-Mar-2016",Avg,"9795380,57308419",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"ARI History     Daily     26-Feb-2015 - 24-Mar-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2016/03/24,"16,45","0,120000000000001","0,00734843845682799","16,32","16,2","16,555",743772,"12211241,6328","564710,898600016",,,,,,
2016/03/23,"16,33","-0,330000000000002","-0,0198079231692678","16,65","16,32","16,7",782259,"12882185,0019","-11646530,7342",,,,,,
2016/03/22,"16,66","0,0700000000000003","0,00421940928270044","16,6","16,39","16,8",1548350,"25727030,9572","1235654,26770002",,,,,,
2016/03/21,"16,59","0,309999999999999","0,019041769041769","16,33","16,28","16,79",1275848,"21109389,6589","-24491376,6895",,,,,,
2016/03/18,"16,28","-0,140000000000001","-0,00852618757612671","16,52","16,19","16,52",1753459,"28610582,2358","-45600766,3484",,,,,,
2016/03/17,"16,42","0,260000000000002","0,0160891089108912","16,2","16,1","16,5851",757755,"12451199,4403","-16990184,1126",,,,,,
2016/03/16,"16,16","0,300000000000001","0,0189155107187895","15,9","15,73","16,26",772791,"12408334,2522","-29441383,5529",,,,,,
2016/03/15,"15,86","-0,0500000000000007","-0,00314267756128226","15,83","15,56","15,97",651046,"10305919,566","-41849717,8051",,,,,,
2016/03/14,"15,91","-0,16","-0,00995644057249534","16,07","15,852","16,075",881784,"14073745,7475","-31543798,2391",,,,,,
2016/03/11,"16,07","0,25","0,015802781289507","15,9","15,89","16,13",634659,"10168064,59","-17470052,4916",,,,,,
2016/03/10,"15,82","-0,119999999999999","-0,0075282308657465","15,99","15,65","16,01",506595,"8011506,7437","-27638117,0816",,,,,,
2016/03/09,"15,94","0,129999999999999","0,00822264389626812","15,84","15,65","15,96",814563,"12880826,8329","-19626610,3379",,,,,,
2016/03/08,"15,81","-0,139999999999999","-0,00877742946708456","15,99","15,67","15,99",817867,"12957167,8438","-32507437,1708",,,,,,
2016/03/07,"15,95",0,0,"15,93","15,79","16,11",513267,"8174237,2451","-19550269,327",,,,,,
2016/03/04,"15,95","0,129999999999999","0,00821744627054355","15,84","15,79","16,03",614189,"9798365,7516","-27724506,5721",,,,,,
2016/03/03,"15,82","0,140000000000001","0,00892857142857146","15,66","15,64","15,89",746804,"11784478,5166","-37522872,3237",,,,,,
2016/03/02,"15,68","0,0800000000000001","0,00512820512820513","15,58","15,46","15,7",1090560,"17033754,9255","-49307350,8403",,,,,,
2016/03/01,"15,6","0,15","0,00970873786407769","15,56","15,47","15,68",1231762,"19188921,9944","-66341105,7658",,,,,,
2016/02/29,"15,45","-0,0700000000000003","-0,00451030927835053","15,53","15,31","15,69",1875581,"29080134,9867","-85530027,7602",,,,,,
2016/02/26,"15,52","-1,41","-0,0832841110454814","16,26","15,39","16,28",2907316,"45777738,9527","-56449892,7735",,,,,,
2016/02/25,"16,93","0,359999999999999","0,0217260108630054","16,65","16,62","16,99",342050,"5765437,4935","-10672153,8208",,,,,,
2016/02/24,"16,57",0,0,"16,48","16,12","16,68",426639,"7021550,2695","-16437591,3143",,,,,,
2016/02/23,"16,57","0,0399999999999991","0,00241984271022378","16,49","16,43","16,68",382212,"6325863,9448","-23459141,5838",,,,,,
2016/02/22,"16,53","0,290000000000003","0,017857142857143","16,31","16,29","16,69",457923,"7574731,4743","-29785005,5286",,,,,,
2016/02/19,"16,24","-0,180000000000003","-0,0109622411693059","16,31","16,2","16,42",357336,"5823903,9846","-37359737,0029",,,,,,
2016/02/18,"16,42","0,420000000000002","0,0262500000000001","16,02",16,"16,44",811376,"13236335,7602","-31535833,0183",,,,,,
2016/02/17,16,"0,199999999999999","0,0126582278481012","15,84","15,84","16,12",716696,"11458307,4613","-44772168,7785",,,,,,
2016/02/16,"15,8","0,33","0,0213316095669037","15,54","15,42","15,9",620201,"9753244,7171","-56230476,2398",,,,,,
2016/02/12,"15,47","0,190000000000001","0,0124345549738221","15,36","15,23","15,5599",665813,"10272313,092","-65983720,9569",,,,,,
2016/02/11,"15,28","-0,430000000000001","-0,0273711012094208","15,62","15,03","15,62",938653,"14298144,1436","-76256034,0489",,,,,,
2016/02/10,"15,71","0,23","0,0148578811369509","15,64","15,36","15,95",590002,"9278382,0838","-61957889,9053",,,,,,
