"Gramercy Property REIT Ord Shs | Price History                                          18-May-2021 13:52",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GPT^J18,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 01-Jul-2014 - 01-Aug-2015",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",99029207,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"26.00 - 26.50","842895,333333","0,00851158318709954",2,"0,0072992700729927",,,,,,,,,,,
"25.50 - 26.00","2711098,666665","0,0273767583200479",7,"0,0255474452554745",,,,,,,,,,,
"25.00 - 25.50","5563418,666667","0,0561795740388691",17,"0,062043795620438",,,,,,,,,,,
"24.50 - 25.00",13586132,"0,137193181805445",35,"0,127737226277372",,,,,,,,,,,
"24.00 - 24.50","19398954,333335","0,195891241796322",51,"0,186131386861314",,,,,,,,,,,
"23.50 - 24.00","12290534,333335","0,124110196432604",47,"0,171532846715328",,,,,,,,,,,
"23.00 - 23.50","14619009,666666","0,147623212479789",48,"0,175182481751825",,,,,,,,,,,
"22.50 - 23.00","13626923,333334","0,13760509395308",37,"0,135036496350365",,,,,,,,,,,
"22.00 - 22.50","6566059,333333","0,0663042705505356",18,"0,0656934306569343",,,,,,,,,,,
"21.50 - 22.00","9824181,333332","0,0992048874362086",12,"0,0437956204379562",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"GPT^J18 Statistics     Daily     01-Jul-2014 - 31-Jul-2015",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"26,46",2015/02/03,Max,"1922289,333333",2015/07/01,Advancing,"44389345,999999",Up,124,Up,"0,069281045751634",2015/06/10,Max,"41958308,5371",2015/07/01
Low,"21,36",2015/07/06,Min,"132460,333333",2015/04/16,Declining,"48967222,666668",Down,135,Down,"-0,0842767295597485",2015/07/01,Min,"3117086,2972",2015/04/16
Avg,"23,720802919708",,Avg,"361420,46350365",,Total,99029207,Unch,14,Period,"-0,0828182941903584","01-Jul-2014 - 31-Jul-2015",Avg,"9069304,62212555",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"GPT^J18 History     Daily     01-Jul-2014 - 31-Jul-2015",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2015/07/31,"22,26","0,270000000000003","0,0122783083219647","21,96","21,96","22,29","711749,333333","15785827,7237","-119606235,3894",,,,,,
2015/07/30,"21,99","-0,120000000000001","-0,00542740841248308","21,96","21,75","22,155","346211,333333","7606705,3056","-135392063,1131",,,,,,
2015/07/29,"22,11","0,18","0,0082079343365253","21,81","21,6","22,32",424630,"9360297,9404","-127785357,8075",,,,,,
2015/07/28,"21,93","-0,0899999999999999","-0,00408719346049046","22,05","21,87","22,26",277321,"6094575,6884","-137145655,7479",,,,,,
2015/07/27,"22,02",0,0,"21,99","21,81","22,23","236896,333333","5229563,3375","-131051080,0595",,,,,,
2015/07/24,"22,02","-0,210000000000001","-0,00944669365722001","22,17","21,93","22,35","465433,666667","10268563,0066","-125821516,722",,,,,,
2015/07/23,"22,23","-0,599999999999998","-0,0262812089356109","22,89","22,17","22,92","389495,666667","8702957,6816","-115552953,7154",,,,,,
2015/07/22,"22,83","-0,0300000000000011","-0,0013123359580053","22,8","22,8","23,01","336431,666667","7708072,6824","-106849996,0338",,,,,,
2015/07/21,"22,86","-0,0899999999999999","-0,00392156862745097","22,92","22,86","23,1","385849,333333","8849372,8451","-99141923,3514",,,,,,
2015/07/20,"22,95","-0,0600000000000023","-0,00260756192959593","22,98","22,86","23,13","463315,666667","10656302,6139","-90292550,5063",,,,,,
2015/07/17,"23,01","-0,0599999999999987","-0,00260078023407017","23,04","22,89","23,16","672038,333333","15478024,1447","-79636247,8924",,,,,,
2015/07/16,"23,07","0,420000000000002","0,018543046357616","22,68","22,65","23,31",1033040,"23911702,6507","-64158223,7477",,,,,,
2015/07/15,"22,65","0,479999999999997","0,0216508795669823","22,08","22,05","22,71","757679,666667","17016043,0032","-88069926,3984",,,,,,
2015/07/14,"22,17","0,240000000000002","0,0109439124487005","21,96","21,96","22,335","370732,333333","8222358,1413","-105085969,4016",,,,,,
2015/07/13,"21,93","0,0599999999999987","0,00274348422496565","21,9","21,84","22,35",615299,"13568505,1552","-113308327,5429",,,,,,
2015/07/10,"21,87","0,0899999999999999","0,00413223140495867","21,78","21,615","21,96","733663,333333","16011970,7954","-126876832,6981",,,,,,
2015/07/09,"21,78","-0,0599999999999987","-0,00274725274725269","21,87","21,75","22,02","950532,333333","20757062,2481","-142888803,4935",,,,,,
2015/07/08,"21,84","-0,0899999999999999","-0,00410396716826265","21,9","21,63","22,14","655237,333333","14281738,0947","-122131741,2454",,,,,,
2015/07/07,"21,93","0,0899999999999999","0,00412087912087911","21,9","21,84","22,11","735144,666667","16127722,8871","-107850003,1507",,,,,,
2015/07/06,"21,84","0,300000000000001","0,0139275766016713","21,45","21,36","21,93",1000267,"21822008,4317","-123977726,0378",,,,,,
2015/07/02,"21,54","-0,300000000000001","-0,0137362637362638","21,57","21,48","22,08",1607788,"34865213,3344","-145799734,4695",,,,,,
2015/07/01,"21,84","-2,01","-0,0842767295597485","22,95","21,48","23,01","1922289,333333","41958308,5371","-110934521,1351",,,,,,
2015/06/30,"23,85","-0,149999999999999","-0,00624999999999994","24,15","23,85","24,15","428836,666667","10295260,7771","-68976212,598",,,,,,
2015/06/29,24,"-0,27","-0,0111248454882571","24,27","23,94","24,48","731933,333333","17658661,4231","-58680951,8209",,,,,,
2015/06/26,"24,27","-0,240000000000002","-0,00979192166462676","24,36",24,"24,429","1063304,666667","25838557,6226","-41022290,3978",,,,,,
2015/06/25,"24,51",0,0,"24,45","24,42","24,63","504522,333333","12374370,6777","-15183732,7752",,,,,,
2015/06/24,"24,51","0,0300000000000011","0,00122549019607848","24,48","24,45","24,57",384630,"9432004,6417","-27558103,4529",,,,,,
2015/06/23,"24,48",0,0,"24,45","24,45","24,6","552348,333333","13536521,3281","-36990108,0946",,,,,,
2015/06/22,"24,48","-0,0599999999999987","-0,00244498777506107","24,51","24,45","24,66",419472,"10293627,0788","-23453586,7665",,,,,,
2015/06/19,"24,54","-0,0899999999999999","-0,00365408038976857","24,6","24,33","24,69","573093,333333","14075572,5102","-13159959,6877",,,,,,
2015/06/18,"24,63","0,119999999999997","0,00489596083231324","24,54","24,48","24,66",405205,"9970511,5709","915612,822499998",,,,,,
2015/06/17,"24,51","0,0600000000000023","0,00245398773006144","24,45","24,405","24,57","335003,333333","8200723,8712","-9054898,7484",,,,,,
2015/06/16,"24,45",0,0,"24,45","24,345","24,54","548334,666667","13406810,264","-17255622,6196",,,,,,
2015/06/15,"24,45",0,0,"24,33","24,18","24,63","651520,333333","15925027,9576","-3848812,3556",,,,,,
2015/06/12,"24,45","-0,0300000000000011","-0,00122549019607848","24,39","24,33","24,51","611439,666667","14951657,5088","12076215,602",,,,,,
2015/06/11,"24,48","-0,0599999999999987","-0,00244498777506107","24,57","24,27","24,6",1006156,"24590130,9147","27027873,1108",,,,,,
2015/06/10,"24,54","1,59","0,069281045751634",24,"23,82","24,69","1293671,666667","31499889,228","51618004,0255",,,,,,
2015/06/09,"22,95","-0,0300000000000011","-0,00130548302872068","22,95","22,8","23,04",431667,"9899207,4328","20118114,7975",,,,,,
2015/06/08,"22,98","0,0599999999999987","0,00261780104712036","22,92","22,8","23,07",281771,"6465000,9863","30017322,2303",,,,,,
2015/06/05,"22,92","-0,209999999999997","-0,00907911802853426","22,92","22,8","23,01","276029,333333","6326517,4651","23552321,244",,,,,,
2015/06/04,"23,13","0,0899999999999999","0,00390624999999999","22,89","22,83","23,19","322912,333333","7434350,9965","29878838,7091",,,,,,
2015/06/03,"23,04","-0,0899999999999999","-0,00389105058365758","23,07","22,83","23,22","484034,333333","11132250,5838","22444487,7126",,,,,,
2015/06/02,"23,13","0,209999999999997","0,00916230366492135","22,83","22,68","23,16","449739,333333","10338395,0686","33576738,2964",,,,,,
2015/06/01,"22,92","0,0600000000000023","0,0026246719160106","22,86","22,83","23,1","390250,333333","8960127,5649","23238343,2278",,,,,,
2015/05/29,"22,86","-0,0300000000000011","-0,00131061598951512","22,83","22,8","22,95",443161,"10133703,844","14278215,6629",,,,,,
2015/05/28,"22,89","0,0300000000000011","0,0013123359580053","22,8","22,77","22,92",237753,"5430886,1382","24411919,5069",,,,,,
2015/05/27,"22,86","0,120000000000001","0,00527704485488131","22,65","22,5","22,92",414796,"9461811,3265","18981033,3687",,,,,,
2015/05/26,"22,74","-0,0600000000000023","-0,00263157894736852","22,83","22,56","22,86","328187,666667","7446350,6921","9519222,0422",,,,,,
2015/05/22,"22,8","0,0600000000000023","0,00263852242744073","22,74","22,68","22,89",231748,"5276706,2594","16965572,7343",,,,,,
2015/05/21,"22,74",0,0,"22,77","22,62","22,92","362484,666667","8258257,4892","11688866,4749",,,,,,
2015/05/20,"22,74",0,0,"22,83","22,71","22,95","262445,333333","5987778,3877","19947123,9641",,,,,,
2015/05/19,"22,74","-0,180000000000003","-0,0078534031413614","22,83","22,71","22,92","181378,666667","4136949,5031","25934902,3518",,,,,,
2015/05/18,"22,92","0,0300000000000011","0,00131061598951512","22,77","22,62","23,04","355275,333333","8141262,3848","30071851,8549",,,,,,
2015/05/15,"22,89","0,330000000000002","0,0146276595744682","22,59","22,47","22,95","329258,333333","7514991,5767","21930589,4701",,,,,,
2015/05/14,"22,56","0,419999999999998","0,0189701897018969","22,2","22,14","22,56","186805,666667","4196587,9701","14415597,8934",,,,,,
2015/05/13,"22,14","-0,210000000000001","-0,00939597315436245","22,44","22,05","22,5","376192,666667","8348700,715","10219009,9233",,,,,,
2015/05/12,"22,35","0,150000000000002","0,00675675675675685","22,14","21,78","22,35",294607,"6526835,9848","18567710,6383",,,,,,
2015/05/11,"22,2","-0,240000000000002","-0,0106951871657755","22,38","22,14","22,5",276289,"6148120,5793","12040874,6535",,,,,,
2015/05/08,"22,44","0,240000000000002","0,0108108108108109","22,38","22,29","22,68","248432,333333","5584556,6391","18188995,2328",,,,,,
2015/05/07,"22,2","0,359999999999999","0,0164835164835165","21,81","21,78","22,29","283487,666667","6270403,3082","12604438,5937",,,,,,
2015/05/06,"21,84","-0,149999999999999","-0,00682128240109134","21,93","21,72","22,11","417265,333333","9127689,6757","6334035,2855",,,,,,
2015/05/05,"21,99","-0,510000000000002","-0,0226666666666667","22,38","21,93","22,83","563162,666667","12494018,3468","15461724,9612",,,,,,
2015/05/04,"22,5","0,0899999999999999","0,00401606425702811","22,41","22,35","22,65",341035,"7669263,3425","27955743,308",,,,,,
2015/05/01,"22,41","-0,0899999999999999","-0,00399999999999999","22,5","22,35","22,62","325099,666667","7294383,0142","20286479,9655",,,,,,
2015/04/30,"22,5","-0,420000000000002","-0,018324607329843","22,77","22,5","22,8597",442819,"10005393,3776","27580862,9797",,,,,,
2015/04/29,"22,92","-0,449999999999999","-0,0192554557124518","23,16","22,92","23,22",367553,"8458527,8365","37586256,3573",,,,,,
2015/04/28,"23,37","-0,0299999999999976","-0,00128205128205118","23,34","23,19","23,46","182463,666667","4262428,4197","46044784,1938",,,,,,
2015/04/27,"23,4","-0,18","-0,00763358778625953","23,58","23,37","23,73","247078,333333","5798735,9696","50307212,6135",,,,,,
2015/04/24,"23,58","0,119999999999997","0,00511508951406639","23,49","23,46","23,73","151455,666667","3572911,5173","56105948,5831",,,,,,
2015/04/23,"23,46","-0,210000000000001","-0,00887198986058305","23,55","23,4","23,7",262005,"6163306,4539","52533037,0658",,,,,,
2015/04/22,"23,67","0,0900000000000034","0,00381679389312992","23,52","23,52","23,76",242561,"5750926,532","58696343,5197",,,,,,
2015/04/21,"23,58","-0,0900000000000034","-0,00380228136882144","23,7","23,55","23,85","200205,666667","4734607,2429","52945416,9877",,,,,,
2015/04/20,"23,67","0,270000000000003","0,0115384615384617","23,49","23,4891","23,79","328884,666667","7790587,0994","57680024,2306",,,,,,
2015/04/17,"23,4","-0,120000000000001","-0,00510204081632657","23,34","23,28","23,55","379154,666667","8876786,9565","49889437,1312",,,,,,
2015/04/16,"23,52","0,0899999999999999","0,00384122919334186","23,37","23,37","23,67","132460,333333","3117086,2972","58766224,0877",,,,,,
2015/04/15,"23,43","-0,120000000000001","-0,00509554140127393","23,64","23,4","23,67","186446,333333","4379530,6121","55649137,7905",,,,,,
2015/04/14,"23,55","0,18","0,00770218228498073","23,43","23,37","23,79","197507,333333","4659626,3673","60028668,4026",,,,,,
2015/04/13,"23,37",0,0,"23,43","23,31","23,61","276185,666667","6474064,5044","55369042,0353",,,,,,
2015/04/10,"23,37","0,0600000000000023","0,00257400257400267","23,58","23,37","23,64","251785,666667","5913617,4211","48894977,5309",,,,,,
2015/04/09,"23,31","-0,510000000000002","-0,0214105793450882","23,79","23,1","23,79","261878,666667","6098109,548","42981360,1098",,,,,,
2015/04/08,"23,82","0,330000000000002","0,0140485312899107","23,61","23,49","23,85","235728,666667","5597115,4293","49079469,6578",,,,,,
2015/04/07,"23,49","-0,210000000000001","-0,00886075949367092","23,61","23,43","23,64",226947,"5336730,8106","43482354,2285",,,,,,
2015/04/06,"23,7","-0,0600000000000023","-0,00252525252525262","23,67","23,61","23,91","325393,666667","7722276,6077","48819085,0391",,,,,,
2015/04/02,"23,76","0,0600000000000023","0,00253164556962035","23,73","23,61","23,94",196376,"4673268,0784","56541361,6468",,,,,,
2015/04/01,"23,7","0,0599999999999987","0,00253807106598979","23,52","23,31","23,835","198720,333333","4688433,963","51868093,5684",,,,,,
2015/03/31,"23,64",0,0,"23,52","23,31","23,73",361743,"8525431,9893","47179659,6054",,,,,,
2015/03/30,"23,64","0,0899999999999999","0,00382165605095541","23,58","23,505","23,82",168841,"3994309,059","38654227,6161",,,,,,
2015/03/27,"23,55","0,300000000000001","0,0129032258064516","23,22","23,1","23,58",252568,"5909405,4223","34659918,5571",,,,,,
2015/03/26,"23,25","-0,0599999999999987","-0,00257400257400252","23,16","23,16","23,55",192068,"4477378,47","28750513,1348",,,,,,
2015/03/25,"23,31","-0,57","-0,0238693467336684","23,88","23,31","23,9697","253761,333333","5969087,5145","33227891,6048",,,,,,
2015/03/24,"23,88",0,0,"23,79","23,64","23,94","218806,333333","5217029,087","39196979,1193",,,,,,
2015/03/23,"23,88","0,0599999999999987","0,00251889168765738","23,76","23,73","23,97","198819,666667","4746192,1157","33979950,0323",,,,,,
2015/03/20,"23,82","0,390000000000001","0,0166453265044815","23,49","23,31","23,85","307065,666667","7267577,3889","29233757,9166",,,,,,
2015/03/19,"23,43","-0,0899999999999999","-0,00382653061224489","23,43","23,31","23,7",161039,"3846491,2004","21966180,5277",,,,,,
2015/03/18,"23,52","0,300000000000001","0,0129198966408269","23,19","22,98","23,7","201425,333333","4708656,3372","25812671,7281",,,,,,
2015/03/17,"23,22","-0,0300000000000011","-0,00129032258064521","23,13","22,92","23,28",211178,"4881446,3733","21104015,3909",,,,,,
2015/03/16,"23,25","-0,0899999999999999","-0,00385604113110539","23,43","23,2083","23,55",178249,"4158870,5328","25985461,7642",,,,,,
2015/03/13,"23,34","0,149999999999999","0,00646830530401029","23,22","23,01","23,34","169313,333333","3932694,5937","30144332,297",,,,,,
2015/03/12,"23,19","0,27","0,0117801047120419","23,1","22,98","23,4",300703,"6966041,7992","26211637,7033",,,,,,
2015/03/11,"22,92","-0,149999999999999","-0,00650195058517549","23,07","22,92","23,07","201944,666667","4638368,2396","19245595,9041",,,,,,
2015/03/10,"23,07","-0,210000000000001","-0,00902061855670107","23,1","23,04","23,28","231168,666667","5350867,7337","23883964,1437",,,,,,
2015/03/09,"23,28","0,120000000000001","0,00518134715025911","23,16","23,07","23,34","289501,666667","6718318,083","29234831,8774",,,,,,
2015/03/06,"23,16","-0,690000000000001","-0,0289308176100629","23,76","22,9836","23,76",406481,"9750737,9045","22516513,7944",,,,,,
2015/03/05,"23,85","-0,18","-0,00749063670411984","24,03","23,82","24,24","267563,666667","6423039,0505","32267251,6989",,,,,,
2015/03/04,"24,03","-0,419999999999998","-0,0171779141104294","24,33",24,"24,42","274302,333333","6616848,243","38690290,7494",,,,,,
2015/03/03,"24,45","-0,150000000000002","-0,00609756097560984","24,45","24,33","24,75","218132,666667","5333686,7463","45307138,9924",,,,,,
2015/03/02,"24,6","0,0300000000000011","0,00122100122100127","24,54","24,51","24,975","166282,333333","4162394,2081","50640825,7387",,,,,,
2015/02/27,"24,57","-0,0300000000000011","-0,001219512195122","24,51","24,36","24,675","328245,333333","8049051,2892","46478431,5306",,,,,,
2015/02/26,"24,6","-0,299999999999997","-0,0120481927710842","24,9","24,36","24,9",341848,"8411566,7616","54527482,8198",,,,,,
2015/02/25,"24,9","-0,0600000000000023","-0,00240384615384625","24,9","24,84","25,47",259785,"6516785,1325","62939049,5814",,,,,,
2015/02/24,"24,96","-0,509999999999998","-0,0200235571260305","25,44","24,87","25,44",244175,"6112596,9883","69455834,7139",,,,,,
2015/02/23,"25,47","0,0899999999999999","0,00354609929078014","25,32","25,11","25,47","196113,333333","4974880,6303","75568431,7022",,,,,,
2015/02/20,"25,38","0,27","0,010752688172043","25,05","24,96","25,38",256597,"6480860,4934","70593551,0719",,,,,,
2015/02/19,"25,11","-0,330000000000002","-0,0129716981132076","25,26","25,08","25,44",201631,"5083506,3313","64112690,5785",,,,,,
2015/02/18,"25,44","0,300000000000001","0,0119331742243437","25,08","24,96","25,44",243454,"6130932,4149","69196196,9098",,,,,,
2015/02/17,"25,14","-0,0599999999999987","-0,00238095238095233","25,14","25,08","25,485","195181,333333","4921131,7013","63065264,4949",,,,,,
2015/02/13,"25,2","-0,0899999999999999","-0,00355871886120996","25,29","24,99","25,35","156780,666667","3948791,267","67986396,1962",,,,,,
2015/02/12,"25,29","0,329999999999998","0,0132211538461538","24,99","24,96","25,38",207393,"5237275,9617","71935187,4632",,,,,,
2015/02/11,"24,96","-0,18","-0,00715990453460619","25,14","24,93","25,2","166228,666667","4157275,8969","66697911,5015",,,,,,
2015/02/10,"25,14","-0,120000000000001","-0,00475059382422807","25,26","24,81","25,5","239074,666667","5988388,6178","70855187,3984",,,,,,
2015/02/09,"25,26","-0,27","-0,0105757931844888","25,41","25,2","25,65",237959,"6028909,4102","76843576,0162",,,,,,
2015/02/06,"25,53","-0,629999999999999","-0,0240825688073394","26,16","25,32","26,16","315701,333333","8074522,4529","82872485,4264",,,,,,
2015/02/05,"26,16","0,48","0,0186915887850467","25,65","25,65","26,22",286785,"7476767,381","90947007,8793",,,,,,
2015/02/04,"25,68","-0,780000000000001","-0,0294784580498867","26,31","25,65","26,415","305982,333333","7927641,4762","83470240,4983",,,,,,
2015/02/03,"26,46","0,539999999999999","0,0208333333333333","26,01","25,92","26,46","556110,333333","14599628,332","91397881,9745",,,,,,
2015/02/02,"25,92","0,57","0,0224852071005917","25,35","25,08","25,98","670162,333333","17119553,8335","76798253,6425",,,,,,
2015/01/30,"25,35","-0,449999999999999","-0,0174418604651163","25,59","25,26","25,8",455158,"11603109,5515","59678699,809",,,,,,
2015/01/29,"25,8","0,420000000000002","0,0165484633569741","25,32","25,32","25,83","484051,333333","12371669,6565","71281809,3605",,,,,,
2015/01/28,"25,38","-0,449999999999999","-0,0174216027874564","25,65","25,35","25,86","402987,333333","10282559,4902","58910139,704",,,,,,
2015/01/27,"25,83","0,27","0,0105633802816901","25,35","25,29","25,98","355974,333333","9163800,9047","69192699,1942",,,,,,
2015/01/26,"25,56","0,209999999999997","0,00828402366863895","25,29","25,08","25,62","222499,666667","5639464,4442","60028898,2895",,,,,,
2015/01/23,"25,35","-0,329999999999998","-0,0128504672897196","25,68","25,17","25,95","311649,666667","7913615,8912","54389433,8453",,,,,,
2015/01/22,"25,68","0,27","0,0106257378984652","25,5","25,38","25,8","356727,333333","9136168,0839","62303049,7365",,,,,,
2015/01/21,"25,41","0,120000000000001","0,00474495848161333","25,17","25,11","25,44","491587,666667","12451237,9138","53166881,6526",,,,,,
2015/01/20,"25,29","-0,18","-0,00706713780918727","25,38","25,11","25,47",448505,"11368103,3657","40715643,7388",,,,,,
2015/01/16,"25,47","0,390000000000001","0,0155502392344498","24,99","24,99","25,47","292294,666667","7396640,5895","52083747,1045",,,,,,
2015/01/15,"25,08","0,18","0,00722891566265059","24,9","24,63","25,14","398496,333333","9956873,8485","44687106,515",,,,,,
2015/01/14,"24,9","-0,150000000000002","-0,00598802395209589","24,84","24,63","25,08","257943,666667","6408202,9612","34730232,6665",,,,,,
2015/01/13,"25,05","0,66","0,027060270602706","24,54","24,33","25,11",828556,"20586113,6545","41138435,6277",,,,,,
2015/01/12,"24,39","-0,0599999999999987","-0,0024539877300613","24,51","24,03","24,54","503076,333333","12261636,9538","20552321,9732",,,,,,
2015/01/09,"24,45","-0,27","-0,0109223300970874","24,66","24,375","24,66",231561,"5672716,7739","32813958,927",,,,,,
2015/01/08,"24,72","0,0899999999999999","0,00365408038976857","24,75","24,51","24,825",220525,"5446409,4474","38486675,7009",,,,,,
2015/01/07,"24,63","0,0899999999999999","0,00366748166259168","24,72","24,48","24,72","412294,333333","10147747,7033","33040266,2535",,,,,,
