"Kite Realty Group Trust | Price History                                          14-May-2021 03:48",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
KRG,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 10-Feb-2013 - 10-Mar-2014",,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total","51940841,25",,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"27.00 - 28.00","1963384,75","0,037800403357926",12,"0,044280442804428",,,,,,,,
"26.00 - 27.00","14615671,5","0,281390735079787",65,"0,239852398523985",,,,,,,,
"25.00 - 26.00","16359743,5","0,314968781912057",74,"0,273062730627306",,,,,,,,
"24.00 - 25.00",8337371,"0,160516672417199",50,"0,18450184501845",,,,,,,,
"23.00 - 24.00","7155900,75","0,137770212761042",50,"0,18450184501845",,,,,,,,
"22.00 - 23.00","3267591,25","0,0629098638251262",19,"0,0701107011070111",,,,,,,,
"21.00 - 22.00","241178,5","0,00464333064686356",1,"0,003690036900369",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"KRG Statistics     Daily     11-Feb-2013 - 10-Mar-2014",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"27,64",2013/03/06,Max,"3458691,25",2013/11/07,Advancing,26361794,Up,132,Up,"0,054054054054054",2013/06/27
Low,"21,08",2013/06/24,Min,30972,2013/03/20,Declining,22550484,Down,120,Down,"-0,0680786686838124",2013/11/06
Avg,"25,0324723247233",,Avg,"191663,620848708",,Total,"51940841,25",Unch,18,Period,"-0,00809061488673136","11-Feb-2013 - 10-Mar-2014"
,,,,,,,,,,,,
,,,,,,,,,,,,
"KRG History     Daily     11-Feb-2013 - 10-Mar-2014",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2014/03/10,"24,52","-0,199999999999999","-0,00809061488673136","24,76","24,52","24,88","291460,25",,,,,
2014/03/07,"24,72","-0,200000000000003","-0,00802568218298567","24,96","24,56","24,96","303204,5",,,,,
2014/03/06,"24,92","-0,239999999999998","-0,00953895071542124","25,12","24,88","25,16","107973,25",,,,,
2014/03/05,"25,16","0,120000000000001","0,00479233226837065","25,08","24,84","25,24","106155,75",,,,,
2014/03/04,"25,04","0,559999999999999","0,022875816993464","24,48","24,48","25,4","243703,25",,,,,
2014/03/03,"24,48","-0,239999999999998","-0,00970873786407761","24,6","24,16","24,62","258271,75",,,,,
2014/02/28,"24,72","0,0399999999999991","0,00162074554294972","24,72","24,7","25,2","467876,5",,,,,
2014/02/27,"24,68","0,120000000000001","0,00488599348534206","24,56","24,44","24,68","292593,25",,,,,
2014/02/26,"24,56","0,16","0,00655737704918033","24,52","24,44","24,88","233057,25",,,,,
2014/02/25,"24,4","-0,16","-0,00651465798045603","24,6","24,16","24,68","350628,25",,,,,
2014/02/24,"24,56","-0,52","-0,0207336523125997","25,16","24,48","25,32",333948,,,,,
2014/02/21,"25,08","-0,32","-0,0125984251968504","25,4",25,"25,6","232322,5",,,,,
2014/02/20,"25,4","-0,440000000000001","-0,0170278637770898","25,96","25,36","26,12","135781,75",,,,,
2014/02/19,"25,84","0,760000000000002","0,0303030303030304","25,12","25,12","26,28","243098,5",,,,,
2014/02/18,"25,08","0,0399999999999991","0,00159744408945684",25,25,"25,32","310313,75",,,,,
2014/02/14,"25,04","-0,16","-0,00634920634920636","25,24",25,"25,4","423104,75",,,,,
2014/02/13,"25,2","-0,0800000000000018","-0,00316455696202539","25,16","25,08","25,6","265461,5",,,,,
2014/02/12,"25,28","-0,199999999999999","-0,00784929356357925","25,52","25,16","25,71","298672,5",,,,,
2014/02/11,"25,48","0,0399999999999991","0,00157232704402512","25,56","25,36","25,88","204308,25",,,,,
2014/02/10,"25,44","0,84","0,0341463414634146","25,2","24,8","25,92","693852,5",,,,,
2014/02/07,"24,6","0,200000000000003","0,00819672131147553","24,44","24,24","24,8","170977,75",,,,,
2014/02/06,"24,4","-0,0400000000000027","-0,00163666121112941","24,44","24,36","24,68","280893,25",,,,,
2014/02/05,"24,44","-0,719999999999999","-0,0286168521462639","25,08","24,36","25,12","216385,25",,,,,
2014/02/04,"25,16","0,16","0,00640000000000001",25,"24,72","25,24","138991,75",,,,,
2014/02/03,25,"-0,800000000000001","-0,0310077519379845","25,72","24,84","25,8","120192,5",,,,,
2014/01/31,"25,8","0,280000000000001","0,0109717868338558","25,08","24,84","25,98","184143,5",,,,,
2014/01/30,"25,52","0,359999999999999","0,0143084260731319","25,16","25,08","25,72","107660,25",,,,,
2014/01/29,"25,16","-0,199999999999999","-0,00788643533123026","25,2",25,"25,52","137571,75",,,,,
2014/01/28,"25,36","-0,16","-0,00626959247648903","25,56","24,98","25,6","208558,75",,,,,
2014/01/27,"25,52","-0,280000000000001","-0,0108527131782946","25,84","25,12","25,84","100147,5",,,,,
2014/01/24,"25,8","-0,120000000000001","-0,00462962962962967","25,88","25,52","25,96",99118,,,,,
2014/01/23,"25,92","0,360000000000003","0,0140845070422536","25,52","25,32","25,92","109064,5",,,,,
2014/01/22,"25,56","0,32","0,0126782884310618","25,16","25,08","25,6","204756,5",,,,,
2014/01/21,"25,24","0,119999999999997","0,00477707006369417","25,2","24,64","25,28","258000,75",,,,,
2014/01/17,"25,12","-0,279999999999998","-0,011023622047244","25,28","24,88","25,4","294506,5",,,,,
2014/01/16,"25,4","-0,240000000000002","-0,00936037441497668","25,6","25,32","25,76","100715,75",,,,,
2014/01/15,"25,64","0,280000000000001","0,0110410094637224","25,36","25,34","25,96","115722,75",,,,,
