"Mid-America Apartment Communities Inc | Price History                                          14-May-2021 01:17",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MAA,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 15-Aug-2015 - 15-Sep-2016",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",163988035,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"105.00 - 110.00",11877121,"0,0724267535738202",21,"0,0766423357664234",,,,,,,,,,,
"100.00 - 105.00",25892736,"0,157894056112082",54,"0,197080291970803",,,,,,,,,,,
"95.00 - 100.00",24471008,"0,149224350422883",39,"0,142335766423358",,,,,,,,,,,
"90.00 - 95.00",41578174,"0,253543949105799",61,"0,222627737226277",,,,,,,,,,,
"85.00 - 90.00",28800462,"0,175625386327728",47,"0,171532846715328",,,,,,,,,,,
"80.00 - 85.00",20376001,"0,124252973700185",36,"0,131386861313869",,,,,,,,,,,
"75.00 - 80.00",10992533,"0,0670325307575031",16,"0,0583941605839416",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"MAA Statistics     Daily     17-Aug-2015 - 15-Sep-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"110,01",2016/07/06,Max,3970792,2016/02/29,Advancing,83388310,Up,150,Up,"0,0438069824327329",2016/03/01,Max,"360725904,0815",2016/08/15
Low,75,2015/09/10,Min,135876,2015/11/27,Declining,79408542,Down,122,Down,"-0,0523412998810425",2016/02/04,Min,"12128441,8006",2015/11/27
Avg,"93,1966058394161",,Avg,"598496,47810219",,Total,163988035,Unch,1,Period,"0,102341614168549","17-Aug-2015 - 15-Sep-2016",Avg,"55483763,3649573",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"MAA History     Daily     17-Aug-2015 - 15-Sep-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2016/09/15,"92,74","-0,230000000000004","-0,00247391631709158","92,83","92,135","93,17",581773,"53925994,7436","253598596,735601",,,,,,
2016/09/14,"92,97","1,01000000000001","0,0109830361026534","92,42","91,85","93,04",544896,"50496047,3595","307524591,479201",,,,,,
2016/09/13,"91,96","-2,11","-0,0224301052407781","92,95","91,77","93,44",804102,"74320787,6943","257028544,119701",,,,,,
2016/09/12,"94,07","1,55999999999999","0,0168630418333152","92,23","92,09","94,53",716610,"67101821,2425","331349331,814001",,,,,,
2016/09/09,"92,51","-2,47999999999999","-0,0261080113696177","94,06","92,39","94,39",806736,"74945632,5342","264247510,571501",,,,,,
2016/09/08,"94,99","-0,510000000000005","-0,00534031413612571","95,54","94,5","95,6",641470,"60959355,7481","339193143,105701",,,,,,
2016/09/07,"95,5","-0,480000000000004","-0,00500104188372582","95,98","94,9","95,98",743853,"70979522,6578","400152498,853801",,,,,,
2016/09/06,"95,98","0,150000000000006","0,00156527183554217","95,77","95,19","96,06",751196,"71960745,3463","471132021,511601",,,,,,
2016/09/02,"95,83","0,829999999999998","0,00873684210526314","95,35","95,25","96,95",735648,"70467456,0885","399171276,165301",,,,,,
2016/09/01,95,"1,01000000000001","0,0107458240238324","93,99","93,58","95,45",620998,"58872072,3972","328703820,076801",,,,,,
