"Mid-America Apartment Communities Inc | Price History                                          14-May-2021 04:20",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MAA,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 03-Jun-2012 - 03-Jul-2013",,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",86322618,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"74.00 - 76.00",951833,"0,0110264612224805",2,"0,00735294117647059",,,,,,,,
"72.00 - 74.00",1973395,"0,0228606945169341",7,"0,0257352941176471",,,,,,,,
"70.00 - 72.00",4844139,"0,0561166831154264",16,"0,0588235294117647",,,,,,,,
"68.00 - 70.00",23011328,"0,266573564763756",80,"0,294117647058824",,,,,,,,
"66.00 - 68.00",17689042,"0,204917811922711",61,"0,224264705882353",,,,,,,,
"64.00 - 66.00",26567338,"0,307767982662435",65,"0,238970588235294",,,,,,,,
"62.00 - 64.00",9268046,"0,107365209892035",33,"0,121323529411765",,,,,,,,
"60.00 - 62.00",2017497,"0,0233715919042214",8,"0,0294117647058824",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"MAA Statistics     Daily     04-Jun-2012 - 03-Jul-2013",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"74,94",2013/05/21,Max,3952039,2012/06/22,Advancing,42095864,Up,138,Up,"0,0353053435114502",2013/06/25
Low,"60,38",2012/11/16,Min,82283,2012/09/17,Declining,42700280,Down,128,Down,"-0,0327713880573499",2013/06/20
Avg,"66,9216911764705",,Avg,"317362,566176471",,Total,86322618,Unch,5,Period,"0,0314176245210728","04-Jun-2012 - 03-Jul-2013"
,,,,,,,,,,,,
,,,,,,,,,,,,
"MAA History     Daily     04-Jun-2012 - 03-Jul-2013",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2013/07/03,"67,3","-0,710000000000008","-0,0104396412292311","67,73","66,48","67,73",344454,,,,,
2013/07/02,"68,01","0,640000000000001","0,00949977734896839","67,31","67,05","68,33",597782,,,,,
2013/07/01,"67,37","-0,399999999999991","-0,00590231665928865","67,86","67,1","68,22",350147,,,,,
2013/06/28,"67,77","0,359999999999999","0,00534045393858477","67,04","66,65","68,3",1027336,,,,,
2013/06/27,"67,41","1,28","0,0193558143051565","66,39","66,1001","67,41",529047,,,,,
2013/06/26,"66,13","1,03","0,0158218125960062","65,53","65,45","66,5",679216,,,,,
2013/06/25,"65,1","2,21999999999999","0,0353053435114502","63,45","62,91","65,35",706749,,,,,
2013/06/24,"62,88","0,380000000000003","0,00608000000000004","61,84","60,88","63,41",719402,,,,,
2013/06/21,"62,5","1,11","0,0180811207036977","61,84","61,05","62,73",1088267,,,,,
2013/06/20,"61,39","-2,08","-0,0327713880573499","63,09","61,15","63,13",626666,,,,,
2013/06/19,"63,47","-1,93000000000001","-0,0295107033639145","64,21","63,32","65,59",419721,,,,,
2013/06/18,"65,4","0,5","0,00770416024653313","64,93","64,56","65,7",307634,,,,,
2013/06/17,"64,9","0,0300000000000011","0,000462463388315109","65,28","64,23","65,84",503282,,,,,
2013/06/14,"64,87","-0,390000000000001","-0,00597609561752989","65,22","64,48","65,81",993111,,,,,
2013/06/13,"65,26","1,03","0,0160361201930562","64,21","64,06","65,42",596648,,,,,
2013/06/12,"64,23","-0,459999999999994","-0,00711083629618169","65,11","64,01","65,1899",1939551,,,,,
2013/06/11,"64,69","-0,859999999999999","-0,0131197559115179","65,26","64,56","65,529",545037,,,,,
2013/06/10,"65,55","-0,260000000000005","-0,00395076736058358","66,03","65,35","66,11",246122,,,,,
2013/06/07,"65,81","-1,20999999999999","-0,0180543121456281","67,02","65,06","67,02",540026,,,,,
2013/06/06,"67,02","0,25","0,00374419649543208","66,69","66,08","67,21",449477,,,,,
2013/06/05,"66,77","-0,320000000000007","-0,0047697123267254","67,25","66,29","67,25",500273,,,,,
2013/06/04,"67,09","1,2","0,0182121718014874","66,03","65,7","67,7",1219379,,,,,
2013/06/03,"65,89","-2,08","-0,0306017360600265","65,76","65,07","67,23",2435722,,,,,
2013/05/31,"67,97","-0,700000000000003","-0,0101936799184506","68,59","67,92","69,14",306534,,,,,
2013/05/30,"68,67","-0,929999999999993","-0,0133620689655171","69,67","68,55","70,04",156793,,,,,
2013/05/29,"69,6","-1,34","-0,0188892021426558","70,24","68,55","70,46",231340,,,,,
2013/05/28,"70,94","-1,12","-0,0155426033860672","72,45","70,86","72,65",240470,,,,,
2013/05/24,"72,06","0,100000000000009","0,00138966092273497","71,82","71,2","72,21",132839,,,,,
2013/05/23,"71,96","-1,31","-0,0178790773850144","72,5","71,74","72,82",319863,,,,,
2013/05/22,"73,27","-1,02000000000001","-0,0137299771167049","74,18","72,89","74,7",263104,,,,,
2013/05/21,"74,29","-0,11999999999999","-0,0016126864668726","74,6","74,16","74,94",594750,,,,,
2013/05/20,"74,41","0,489999999999995","0,00662878787878781","74,07","73,86","74,41",357083,,,,,
2013/05/17,"73,92","0,329999999999998","0,0044843049327354","73,87","73,62","74,19",598922,,,,,
2013/05/16,"73,59","0,390000000000001","0,00532786885245902","73,03","73,03","73,68",233626,,,,,
2013/05/15,"73,2","0,189999999999998","0,00260238323517323","72,97","72,66","73,3199",286250,,,,,
2013/05/14,"73,01","0,609999999999999","0,00842541436464088","72,39","72,39","73,03",282623,,,,,
2013/05/13,"72,4","0,420000000000002","0,00583495415393167","72,1","71,79","72,53",176031,,,,,
