"Omega Healthcare Investors Inc | Price History                                          14-May-2021 03:29",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
OHI,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 31-Oct-2013 - 30-Nov-2014",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",326032487,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"39.00 - 40.00",3478785,"0,0106700563247858",3,"0,0110294117647059",,,,,,,,,,,
"38.00 - 39.00",31021783,"0,0951493616033423",21,"0,0772058823529412",,,,,,,,,,,
"37.00 - 38.00",59153130,"0,181433238583982",51,"0,1875",,,,,,,,,,,
"36.00 - 37.00",38443487,"0,117913056314538",40,"0,147058823529412",,,,,,,,,,,
"35.00 - 36.00",20867420,"0,0640041125717634",19,"0,0698529411764706",,,,,,,,,,,
"34.00 - 35.00",38535422,"0,118195037416624",30,"0,110294117647059",,,,,,,,,,,
"33.00 - 34.00",19849119,"0,0608808011209018",15,"0,0551470588235294",,,,,,,,,,,
"32.00 - 33.00",40309218,"0,123635587272013",33,"0,121323529411765",,,,,,,,,,,
"31.00 - 32.00",37715555,"0,115680358565004",32,"0,117647058823529",,,,,,,,,,,
"30.00 - 31.00",30434232,"0,0933472375101074",23,"0,0845588235294118",,,,,,,,,,,
"29.00 - 30.00",6224336,"0,0190911527169377",5,"0,0183823529411765",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"OHI Statistics     Daily     31-Oct-2013 - 28-Nov-2014",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"39,53",2014/10/28,Max,7633610,2014/10/31,Advancing,174002079,Up,151,Up,"0,0295381310418905",2014/10/20,Max,"303648424,63",2014/10/31
Low,"29,32",2014/01/02,Min,450268,2014/06/26,Declining,142096503,Down,113,Down,"-0,0456796917996699",2014/09/12,Min,"28215120,5319",2014/11/28
Avg,"34,6989338235294",,Avg,"1198648,84926471",,Total,326032487,Unch,7,Period,"0,149819494584837","31-Oct-2013 - 28-Nov-2014",Avg,"54592085,1947937",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"OHI History     Daily     31-Oct-2013 - 28-Nov-2014",,,,,,,,,,,,,,,
