"Prologis Inc | Price History                                          13-May-2021 22:06",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PLD,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 29-Apr-2017 - 29-May-2018",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",636313386,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"66.00 - 68.00",37610730,"0,0591072431092939",22,"0,0808823529411765",,,,,,,,,,,
"64.00 - 66.00",179773251,"0,282523132398789",75,"0,275735294117647",,,,,,,,,,,
"62.00 - 64.00",126768327,"0,199223102623838",59,"0,216911764705882",,,,,,,,,,,
"60.00 - 62.00",136006535,"0,213741433061727",55,"0,202205882352941",,,,,,,,,,,
"58.00 - 60.00",61221072,"0,0962121390921045",21,"0,0772058823529412",,,,,,,,,,,
"56.00 - 58.00",44018207,"0,0691769306893066",17,"0,0625",,,,,,,,,,,
"54.00 - 56.00",48842827,"0,0767590751265446",22,"0,0808823529411765",,,,,,,,,,,
"52.00 - 54.00",2072437,"0,00325694389839537",1,"0,00367647058823529",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"PLD Statistics     Daily     01-May-2017 - 29-May-2018",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"67,53",2017/11/21,Max,9085685,2018/04/30,Advancing,322410446,Up,139,Up,"0,0431309904153354",2018/04/17,Max,"588551698,5454",2018/04/30
Low,"53,15",2017/05/04,Min,451327,2017/11/24,Declining,308405045,Down,131,Down,"-0,0410465298449005",2018/02/05,Min,"30289321,6209",2017/11/24
Avg,"62,1028308823529",,Avg,"2339387,44852941",,Total,636313386,Unch,1,Period,"0,174397370343316","01-May-2017 - 29-May-2018",Avg,"144828349,498909",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"PLD History     Daily     01-May-2017 - 29-May-2018",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2018/05/29,"64,31","-0,0999999999999943","-0,00155255395124972","64,04","63,87","64,69",3202847,"205927694,3278","943449465,468201",,,,,,
2018/05/25,"64,41","-0,0700000000000074","-0,00108560794044676","64,54","64,26","64,78",1643751,"105895930,2701","1149377159,796",,,,,,
2018/05/24,"64,48","-0,289999999999992","-0,00447738150378249","64,76","64,05","64,95",2143187,"137946740,6561","1255273090,0661",,,,,,
