"VEREIT Inc | Price History                                          18-May-2021 20:39",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
VER,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 28-May-2012 - 28-Jun-2013",,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",79771137,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"85.00 - 90.00","5699947,6","0,0714537590206342",12,"0,043956043956044",,,,,,,,
"80.00 - 85.00","11984558,4","0,15023677548936",21,"0,0769230769230769",,,,,,,,
"75.00 - 80.00","18429959,6","0,231035438293928",14,"0,0512820512820513",,,,,,,,
"70.00 - 75.00","32145229,4","0,402968173814546",39,"0,142857142857143",,,,,,,,
"65.00 - 70.00",8990213,"0,112700073461407",62,"0,227106227106227",,,,,,,,
"60.00 - 65.00","807051,6","0,0101170878384246",49,"0,179487179487179",,,,,,,,
"55.00 - 60.00","421146,2","0,00527943082972479",24,"0,0879120879120879",,,,,,,,
"50.00 - 55.00","1293031,2","0,0162092612519739",52,"0,19047619047619",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VER Statistics     Daily     29-May-2012 - 28-Jun-2013",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"90,25",2013/05/15,Max,5304320,2013/06/28,Advancing,"49464730,7999999",Up,146,Up,"0,0524048815506101",2013/03/20
Low,"48,85",2012/06/13,Min,"508,2",2012/06/07,Declining,"28130739,2",Down,115,Down,"-0,0482874789444132",2013/05/22
Avg,"66,1897765567766",,Avg,"292201,967032967",,Total,79771137,Unch,11,Period,"0,44234404536862","29-May-2012 - 28-Jun-2013"
,,,,,,,,,,,,
,,,,,,,,,,,,
"VER History     Daily     29-May-2012 - 28-Jun-2013",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2013/06/28,"76,3","0,299999999999997","0,00394736842105259","75,85","75,375","77,2",5304320,,,,,
2013/06/27,76,"1,40000000000001","0,0187667560321717","74,95","74,6","76,3","600201,8",,,,,
2013/06/26,"74,6","0,974999999999994","0,0132427843803055","74,1","73,5","74,7","558637,8",,,,,
2013/06/25,"73,625","0,575000000000003","0,00787132101300483","74,55","72,55","74,55","473026,8",,,,,
2013/06/24,"73,05","0,799999999999997","0,0110726643598616","72,95","70,6","74,65",1361285,,,,,
2013/06/21,"72,25","0,75","0,0104895104895105","71,85",70,"72,4",1667274,,,,,
2013/06/20,"71,5","-2,45","-0,0331304935767411","72,55","70,3","73,7","689973,4",,,,,
2013/06/19,"73,95","-1,95","-0,0256916996047431","75,4","73,1","76,6",571464,,,,,
2013/06/18,"75,9","1,45","0,0194761584956347","74,4",74,"76,7","924750,4",,,,,
