"Brookfield Property Partners LP | Price History                                          13-May-2021 23:50",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BPY.O,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 13-Nov-2016 - 13-Dec-2017",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",41101813,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"24.50 - 25.00",250737,"0,00610038783447338",2,"0,00732600732600733",,,,,,,,,,,
"24.00 - 24.50",1050866,"0,0255673879884569",14,"0,0512820512820513",,,,,,,,,,,
"23.50 - 24.00",3843251,"0,09350563197784",47,"0,172161172161172",,,,,,,,,,,
"23.00 - 23.50",9483823,"0,2307397729633",56,"0,205128205128205",,,,,,,,,,,
"22.50 - 23.00",6012050,"0,146272136462691",33,"0,120879120879121",,,,,,,,,,,
"22.00 - 22.50",6946911,"0,169017142869099",51,"0,186813186813187",,,,,,,,,,,
"21.50 - 22.00",7401820,"0,180085000143424",43,"0,157509157509158",,,,,,,,,,,
"21.00 - 21.50",4662020,"0,11342614010725",20,"0,0732600732600733",,,,,,,,,,,
"20.50 - 21.00",1450335,"0,0352863996534654",7,"0,0256410256410256",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"BPY.O Statistics     Daily     14-Nov-2016 - 13-Dec-2017",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"24,96",2017/10/13,Max,3675099,2017/02/17,Advancing,21985821,Up,138,Up,"0,0282618935468675",2016/12/16,Max,"84534574,5935",2017/02/17
Low,"20,31",2016/11/14,Min,16141,2017/07/03,Declining,18265713,Down,129,Down,"-0,0498310810810811",2017/11/13,Min,"383987,2238",2017/07/03
Avg,"22,7078571428571",,Avg,"150556,091575092",,Total,41101813,Unch,5,Period,"0,0531144374698212","14-Nov-2016 - 13-Dec-2017",Avg,"3387396,60881209",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
