"Colony Capital Inc | Price History                                          14-May-2021 00:18",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
6CL.F,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 28-Aug-2016 - 28-Sep-2017",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",3839,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"14.5000 - 15.0000",92,"0,0239645741078406",2,"0,0740740740740741",,,,,,,,,,,
"14.0000 - 14.5000",1239,"0,322740296952331",10,"0,37037037037037",,,,,,,,,,,
"13.5000 - 14.0000",292,"0,0760614743422766",5,"0,185185185185185",,,,,,,,,,,
"13.0000 - 13.5000",1340,"0,349049231570722",4,"0,148148148148148",,,,,,,,,,,
"12.5000 - 13.0000",676,"0,176087522792394",5,"0,185185185185185",,,,,,,,,,,
"12.0000 - 12.5000",200,"0,052096900234436",1,"0,037037037037037",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"6CL.F Statistics     Daily     16-Jan-2017 - 28-Sep-2017",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"14,7150053640562",2017/07/21,Max,690,2017/09/20,Advancing,2633,Up,93,Up,"0,0598163260688765",2017/05/16,Max,"8701,61836926405",2017/09/20
Low,"12,3360191430114",2017/04/07,Min,1,2017/02/10,Declining,1194,Down,86,Down,"-0,056344176551217",2017/03/09,Min,"10,637958363031",2017/02/10
Avg,"13,5039695723508",,Avg,"142,185185185185",,Total,3839,Unch,0,Period,"-0,114210176418163","16-Jan-2017 - 28-Sep-2017",Avg,"1912,0380854221",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"6CL.F History     Daily     16-Jan-2017 - 28-Sep-2017",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2017/09/28,"12,863388364502","0,271352477845536","0,021549531806297","12,5357938275533","12,5357938275533","12,863388364502",41,"527,450772439638","-1950,9550912669",,,,,,
2017/09/27,"12,5920358866564","-0,104580078442053","-0,00823684663138048","12,5920358866564","12,5920358866564","12,5920358866564",,,"-2469,79109174819",,,,,,
2017/09/26,"12,6966159650985","0,0996272069100215","0,00790881128994105","12,6022874661007","12,6022874661007","12,6966159650985",,,"-2479,89623865111",,,,,,
2017/09/25,"12,5969887581885","-0,0314952500345544","-0,00249398502734345","12,5697430612317","12,5697430612317","13,1182107869268",40,"524,775815297865","-2491,44129736901",,,,,,
2017/09/22,"12,628484008223","-0,119996752053538","-0,00941263153704088","12,628484008223","12,628484008223","12,628484008223",,,"-3043,21843476599",,,,,,
2017/09/21,"12,7484807602766","-0,330463791847741","-0,0252668547168102","12,7484807602766","12,7484807602766","12,7484807602766",,,"-3039,91212884587",,,,,,
2017/09/20,"13,0789445521243","0,372232635684446","0,029294174459315","12,5390917630831","12,5390917630831","13,0789445521243",690,"8701,61836926405","-3027,6942102572",,,,,,
2017/09/19,"12,7067119164399","0,0471527062280206","0,00372467203992259","12,7067119164399","12,7067119164399","12,7067119164399",,,"-11828,8982959384",,,,,,
2017/09/18,"12,6595592102118","-0,55555811022521","-0,0420395897179092","12,6595592102118","12,6595592102118","12,6595592102118",,,"-11789,4535545251",,,,,,
2017/09/15,"13,2151173204371","0,474821516749634","0,0372692694161941","12,7219535494656","12,7219535494656","13,2151173204371",150,"1982,32730312258","-11778,613648576",,,,,,
2017/09/14,"12,7402958036874","-0,0265214057254983","-0,00207737020828842","12,7271860512234","12,7271860512234","12,7879676308294",,,"-13734,372579165",,,,,,
2017/09/13,"12,7668172094129","-0,18770377123967","-0,014489441293893","12,820299500832","12,7668172094129","13,3527454242929",100,"1335,27454242929","-13696,3394342762",,,,,,
2017/09/12,"12,9545209806526","0,158584320957303","0,0123933343196995","12,9545209806526","12,9545209806526","12,9545209806526",,,"-12444,3327709777",,,,,,
2017/09/11,"12,7959366596953","0,0169221599660432","0,00132421478717328","12,7959366596953","12,7959366596953","12,7959366596953",,,"-12429,7579922319",,,,,,
2017/09/08,"12,7790144997292","-0,0822154853647934","-0,00639250565148744","12,7790144997292","12,7790144997292","12,7790144997292",,,"-12515,0111304975",,,,,,
2017/09/07,"12,861229985094","0,0216532049967544","0,00168644226890089","12,9021012646055","12,861229985094","12,9021012646055",,,"-12502,5244025581",,,,,,
2017/09/06,"12,8395767800973","-0,0897017104147757","-0,0069378744127603","12,8395767800973","12,8395767800973","12,8395767800973",,,"-12392,2886283482",,,,,,
2017/09/05,"12,9292784905121","0,00537074806238103","0,000415566883438849","12,9292784905121","12,9292784905121","12,9292784905121",,,"-12389,1886740759",,,,,,
2017/09/04,"12,9239077424497","0,100506665829428","0,00783775421426013","12,9239077424497","12,9239077424497","12,9239077424497",,,"-12371,5043595142",,,,,,
2017/09/01,"12,8234010766202","0,0496654109022163","0,00388808819924994","12,8234010766202","12,8234010766202","12,8234010766202",,,"-12332,0448670824",,,,,,
2017/08/31,"12,773735665718","0,244033165955651","0,0194763735180687","12,773735665718","12,773735665718","12,773735665718",,,"-12385,057813449",,,,,,
2017/08/30,"12,5297024997624","0,0524493630896359","0,00420359854169171","12,4239616006083","12,4239616006083","12,5297024997624",,,"-12356,9527611444",,,,,,
2017/08/29,"12,4772531366727","-0,697504028598607","-0,0529424580543486","13,0495163298535","12,4772531366727","13,0495163298535",200,"2609,90326597069","-12451,6329853462",,,,,,
2017/08/28,"13,1747571652714","0,0582828735610015","0,00444348628029077","13,1747571652714","13,1747571652714","13,1747571652714",200,"2634,95143305427","-9845,85534116633",,,,,,
2017/08/25,"13,1164742917103","0,139726264765889","0,0107674329867364","13,1164742917103","13,1164742917103","13,1164742917103",,,"-7179,00410187921",,,,,,
2017/08/24,"12,9767480269445","-0,00873184556178153","-0,000672431488671373","12,9767480269445","12,9767480269445","12,9767480269445",,,"-7102,52810645653",,,,,,
2017/08/23,"12,9854798725062","0,049477802745912","0,00382481407154171","12,9854798725062","12,9854798725062","12,9854798725062",,,"-7107,30728367373",,,,,,
2017/08/22,"12,9360020697603","-0,05944952218249","-0,00457464073194261","12,9360020697603","12,9360020697603","12,9360020697603",,,"-7080,22673283628",,,,,,
2017/08/21,"12,9954515919428","-0,0663824979506327","-0,00508217280159728","12,9954515919428","12,9954515919428","12,9954515919428",,,"-7112,76507767736",,,,,,
2017/08/18,"13,0618340898935","0,0797234711506523","0,00614102540734418","13,0618340898935","13,0618340898935","13,0618340898935",,,"-7080,22673283628",,,,,,
