"Essex Property Trust Inc | Price History                                          14-May-2021 03:59",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ESS,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 09-Dec-2012 - 09-Jan-2014",,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",72914606,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"170.00 - 175.00",236581,"0,00324463112370106",1,"0,00366300366300366",,,,,,,,
"165.00 - 170.00",3019158,"0,0414067656074285",15,"0,0549450549450549",,,,,,,,
"160.00 - 165.00",8667236,"0,118868310143512",30,"0,10989010989011",,,,,,,,
"155.00 - 160.00",13765560,"0,188790158174893",56,"0,205128205128205",,,,,,,,
"150.00 - 155.00",24985109,"0,34266260726966",93,"0,340659340659341",,,,,,,,
"145.00 - 150.00",14340102,"0,196669814001326",53,"0,194139194139194",,,,,,,,
"140.00 - 145.00",7900860,"0,108357713679479",25,"0,0915750915750916",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"ESS Statistics     Daily     10-Dec-2012 - 09-Jan-2014",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"172,16",2013/07/31,Max,1289527,2013/12/04,Advancing,35124732,Up,137,Up,"0,0388631857237277",2013/09/18
Low,"137,53",2013/12/30,Min,77285,2013/08/06,Declining,36981641,Down,133,Down,"-0,0350199733688415",2013/08/16
Avg,"153,814615384615",,Avg,"267086,468864469",,Total,72914606,Unch,2,Period,"0,0495856159572974","10-Dec-2012 - 09-Jan-2014"
,,,,,,,,,,,,
,,,,,,,,,,,,
"ESS History     Daily     10-Dec-2012 - 09-Jan-2014",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2014/01/09,"149,44","0,129999999999995","0,000870671756747676","149,26","147,17","149,89",328568,,,,,
2014/01/08,"149,31","-0,97999999999999","-0,00652072659524912","150,27","148,98",151,356323,,,,,
2014/01/07,"150,29","1,31999999999999","0,00886084446532854","149,46","148,33","150,68",436472,,,,,
2014/01/06,"148,97","0,780000000000001","0,00526351305756125",148,"146,73","149,59",465997,,,,,
2014/01/03,"148,19","1,88999999999999","0,0129186602870812","146,57","146,21","148,19",480537,,,,,
2014/01/02,"146,3","2,79000000000002","0,0194411539265558","141,79","141,79","147,54",725431,,,,,
2013/12/31,"143,51","-0,260000000000019","-0,00180844404256812",144,"142,55","144,43",348330,,,,,
2013/12/30,"143,77","-1,19","-0,00820916114790285","140,92","137,53","144,06",282254,,,,,
2013/12/27,"144,96","-0,329999999999984","-0,0022713194301052","145,33","144,28","145,39",246310,,,,,
2013/12/26,"145,29","0,900000000000006","0,00623311863702476","143,52","143,52","146,17",305338,,,,,
2013/12/24,"144,39","0,149999999999977","0,00103993344425941","143,79","143,63","145,06",129354,,,,,
2013/12/23,"144,24","2,12","0,0149169715733184","143,04","142,89","145,95",496147,,,,,
2013/12/20,"142,12","-0,659999999999997","-0,00462249614791985","142,77","140,37",143,943237,,,,,
2013/12/19,"142,78","-4,91999999999999","-0,0333107650643195","147,54","142,54","147,54",1041097,,,,,
2013/12/18,"147,7","2,19","0,0150505119923029","145,96","144,01","148,68",538587,,,,,
2013/12/17,"145,51","0,789999999999992","0,00545881702598115","145,01","144,52","146,48",514485,,,,,
