"WP Carey Inc | Price History                                          13-May-2021 21:50",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
WPC,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 18-Jun-2017 - 18-Jul-2018",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",89621363,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"72.00 - 74.00",326663,"0,0036449233649794",1,"0,00366300366300366",,,,,,,,,,,
"70.00 - 72.00",7534919,"0,0840750324227941",27,"0,0989010989010989",,,,,,,,,,,
"68.00 - 70.00",17939721,"0,200172374080051",64,"0,234432234432234",,,,,,,,,,,
"66.00 - 68.00",22976543,"0,256373505500022",75,"0,274725274725275",,,,,,,,,,,
"64.00 - 66.00",16053434,"0,179125082040986",42,"0,153846153846154",,,,,,,,,,,
"62.00 - 64.00",8086909,"0,0902341666015501",22,"0,0805860805860806",,,,,,,,,,,
"60.00 - 62.00",14566947,"0,162538779955846",38,"0,139194139194139",,,,,,,,,,,
"58.00 - 60.00",2136227,"0,0238361360337713",4,"0,0146520146520147",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"WPC Statistics     Daily     19-Jun-2017 - 18-Jul-2018",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"72,41",2017/11/21,Max,1049307,2018/06/18,Advancing,45609950,Up,137,Up,"0,0322417285617825",2018/02/09,Max,"68823556,4901",2018/06/18
Low,"59,23",2018/02/12,Min,73558,2017/11/24,Declining,43138522,Down,133,Down,"-0,0309180275883939",2018/02/05,Min,"5263417,9607",2017/11/24
Avg,"66,3935897435897",,Avg,"328283,380952381",,Total,89621363,Unch,2,Period,"-0,0328908554572272","19-Jun-2017 - 18-Jul-2018",Avg,"21650431,8402733",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"WPC History     Daily     19-Jun-2017 - 18-Jul-2018",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2018/07/18,"65,57","0,019999999999996","0,000305110602593379","65,47","65,07","65,8399",240545,"15728049,1342","132481148,9487",,,,,,
2018/07/17,"65,55","-0,540000000000006","-0,00817067635043132","65,95","65,47","66,33",436940,"28713735,2749","116753099,8145",,,,,,
2018/07/16,"66,09","-0,689999999999998","-0,0103324348607367","66,55","65,9115","66,655",458830,"30336899,3288","145466835,0894",,,,,,
2018/07/13,"66,78","-0,0999999999999943","-0,0014952153110047","66,96","66,655","67,25",147773,"9881199,9528","175803734,4182",,,,,,
2018/07/12,"66,88","0,219999999999999","0,00330033003300328","66,71","66,46","67,09",239482,"16009281,0439","185684934,371",,,,,,
2018/07/11,"66,66","-0,400000000000006","-0,00596480763495386",67,"66,55","67,214",207753,"13876089,2365","169675653,3271",,,,,,
2018/07/10,"67,06","-0,209999999999994","-0,00312174817898014","67,3","66,94","67,31",337369,"22643178,3422","183551742,5636",,,,,,
2018/07/09,"67,27","-0,670000000000002","-0,00986164262584636",68,"66,92","68,19",349934,"23564895,9212","206194920,9058",,,,,,
2018/07/06,"67,94","0,689999999999998","0,0102602230483271","67,42","67,42","67,99",224599,"15230995,3186","229759816,827",,,,,,
2018/07/05,"67,25","0,769999999999996","0,0115824308062575","66,65","66,33","67,31",258278,"17261814,0375","214528821,5084",,,,,,
2018/07/03,"66,48","0,840000000000003","0,0127970749542962","65,67","65,67","67,02",292178,"19425496,9386","197267007,4709",,,,,,
2018/07/02,"65,64","-0,709999999999994","-0,0107008289374528","66,23","64,93","66,51",378514,"24812903,0591","177841510,5323",,,,,,
2018/06/29,"66,35","0,159999999999997","0,00241728357757964","66,04","65,56","66,86",430192,"28593111,9434","202654413,5914",,,,,,
