"American Fn Realty Ord Shs | Price History                                          09-May-2021 23:15",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
AFR.N^D08,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 05-Nov-2006 - 05-Dec-2007",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",228855300,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"11.00 - 12.00",60416100,"0,263992575221111",88,"0,323529411764706",,,,,,,,
"10.00 - 11.00",63593900,"0,277878205136608",88,"0,323529411764706",,,,,,,,
"9.00 - 10.00",3675900,"0,0160621143578497",4,"0,0147058823529412",,,,,,,,
"8.00 - 9.00",42573400,"0,186027590359498",37,"0,136029411764706",,,,,,,,
"7.00 - 8.00",45355400,"0,198183743177458",40,"0,147058823529412",,,,,,,,
"6.00 - 7.00",13240600,"0,0578557717474754",15,"0,0551470588235294",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"AFR.N^D08 Statistics     Daily     06-Nov-2006 - 05-Dec-2007",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"12,08",2006/12/06,Max,8161600,2007/11/05,Advancing,102196600,Up,112,Up,"0,241860465116279",2007/11/05
Low,"6,17",2007/08/16,Min,214600,2006/11/24,Declining,114875300,Down,146,Down,"-0,100126742712294",2007/08/14
Avg,"9,89323529411764",,Avg,"841379,779411765",,Total,228855300,Unch,13,Period,"-0,293367346938775","06-Nov-2006 - 05-Dec-2007"
,,,,,,,,,,,,
,,,,,,,,,,,,
"AFR.N^D08 History     Daily     06-Nov-2006 - 05-Dec-2007",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2007/12/05,"8,31","0,16","0,0196319018404908","8,27","8,18","8,37",1602300,,,,,
2007/12/04,"8,15","-0,0800000000000001","-0,00972053462940463","8,13","8,08","8,22",1058400,,,,,
2007/12/03,"8,23","0,16","0,0198265179677819","8,1","8,02","8,25",1142600,,,,,
2007/11/30,"8,07","0,140000000000001","0,0176544766708702","8,03","7,95","8,15",1205400,,,,,
2007/11/29,"7,93","-0,0200000000000005","-0,00251572327044031","7,9","7,89","7,94",957500,,,,,
2007/11/28,"7,95","0,19","0,0244845360824743","7,85","7,85","7,98",1522500,,,,,
2007/11/27,"7,76","0,3","0,0402144772117962","7,46","7,46","7,76",1397900,,,,,
2007/11/26,"7,46","-0,24","-0,0311688311688312","7,69","7,41","7,71",900900,,,,,
2007/11/23,"7,7","0,0200000000000005","0,00260416666666673","7,7","7,68","7,79",301700,,,,,
2007/11/21,"7,68","-0,0300000000000002","-0,00389105058365762","7,64","7,55","7,75",735400,,,,,
2007/11/20,"7,71","-0,04","-0,00516129032258065","7,7","7,54","7,9",1220300,,,,,
2007/11/19,"7,75","-0,310000000000001","-0,0384615384615385","7,95","7,75","8,01",1149000,,,,,
2007/11/16,"8,06","-0,0299999999999994","-0,00370828182941896","8,11","7,97","8,18",1620500,,,,,
2007/11/15,"8,09","-0,140000000000001","-0,0170109356014581","8,21","7,98","8,23",1436500,,,,,
2007/11/14,"8,23","-0,0399999999999991","-0,00483675937122118","8,22","8,2","8,31",719600,,,,,
2007/11/13,"8,27","0,15","0,0184729064039409","8,18","8,12","8,27",1389300,,,,,
2007/11/12,"8,12","0,0499999999999989","0,00619578686493171",8,8,"8,25",1387400,,,,,
2007/11/09,"8,07","0,11","0,013819095477387","7,88","7,88","8,14",2106500,,,,,
2007/11/08,"7,96","0,17","0,0218228498074454","7,89","7,85","7,99",1193300,,,,,
2007/11/07,"7,79",0,0,"7,71","7,71","7,91",2427000,,,,,
2007/11/06,"7,79","-0,22","-0,0274656679151061",8,"7,79","8,09",6144400,,,,,
2007/11/05,"8,01","1,56","0,241860465116279","7,5","7,45","8,11",8161600,,,,,
2007/11/02,"6,45","-0,149999999999999","-0,0227272727272726","6,63","6,38","6,65",761000,,,,,
2007/11/01,"6,6","-0,140000000000001","-0,0207715133531158","6,66","6,31","6,77",1260000,,,,,
2007/10/31,"6,74","-0,0699999999999994","-0,0102790014684287","6,84","6,55","6,84",702700,,,,,
2007/10/30,"6,81","-0,0300000000000002","-0,00438596491228074","6,8","6,76","6,92",624200,,,,,
2007/10/29,"6,84","-0,140000000000001","-0,020057306590258","6,97","6,84",7,343600,,,,,
2007/10/26,"6,98","0,24","0,0356083086053413","6,81","6,75","6,98",404400,,,,,
2007/10/25,"6,74","-0,0299999999999994","-0,00443131462333816","6,8","6,68","6,91",629900,,,,,
2007/10/24,"6,77","-0,0600000000000005","-0,00878477306002936","6,79","6,59","6,81",619700,,,,,
2007/10/23,"6,83","0,0200000000000005","0,00293685756240829","6,87","6,67","6,9",423800,,,,,
2007/10/22,"6,81","0,239999999999999","0,0365296803652967","6,58","6,53","6,86",679900,,,,,
2007/10/19,"6,57","-0,13","-0,0194029850746269","6,9","6,57","6,9",1112700,,,,,
2007/10/18,"6,7","-0,3","-0,0428571428571428","6,97","6,68","6,99",632800,,,,,
2007/10/17,7,"-0,0999999999999996","-0,0140845070422535","7,15","6,91","7,15",1389300,,,,,
2007/10/16,"7,1","-0,04","-0,00560224089635855","7,11",7,"7,25",943400,,,,,
2007/10/15,"7,14","-0,0800000000000001","-0,0110803324099723","7,22","6,87","7,25",760500,,,,,
2007/10/12,"7,22","-0,0800000000000001","-0,0109589041095891","7,3","7,19","7,37",782200,,,,,
2007/10/11,"7,3","-0,0899999999999999","-0,0121786197564276","7,41","7,2","7,47",768800,,,,,
2007/10/10,"7,39","-0,0900000000000007","-0,0120320855614974","7,45","7,33","7,5",539200,,,,,
2007/10/09,"7,48","-0,0899999999999999","-0,011889035667107","7,5","7,43","7,61",471400,,,,,
2007/10/08,"7,57","-0,0499999999999998","-0,00656167979002622","7,55","7,39","7,68",524800,,,,,
2007/10/05,"7,62","-0,22","-0,0280612244897959","7,95","7,41","8,02",1561200,,,,,
2007/10/04,"7,84","0,41","0,0551816958277255","7,4","7,15","8,12",2727500,,,,,
2007/10/03,"7,43","-0,700000000000001","-0,0861008610086102","7,82","7,05","7,92",1328000,,,,,
2007/10/02,"8,13","-0,0399999999999991","-0,00489596083231324","8,11","8,04","8,18",414300,,,,,
2007/10/01,"8,17","0,119999999999999","0,0149068322981365","8,03",8,"8,17",781700,,,,,
2007/09/28,"8,05","0,11","0,0138539042821159","7,93","7,85","8,07",1295400,,,,,
2007/09/27,"7,94","-0,0299999999999994","-0,00376411543287319",8,"7,73",8,500400,,,,,
2007/09/26,"7,97","-0,160000000000001","-0,0196801968019681","8,14","7,9","8,14",462700,,,,,
2007/09/25,"8,13","-0,129999999999999","-0,0157384987893461","8,22","8,07","8,24",657600,,,,,
2007/09/24,"8,26","0,0600000000000005","0,00731707317073177","8,19","8,16","8,35",858400,,,,,
2007/09/21,"8,2","0,0199999999999996","0,00244498777506107","8,25","8,15","8,35",1009900,,,,,
2007/09/20,"8,18","-0,0700000000000003","-0,00848484848484852","8,27","8,07","8,28",619600,,,,,
