"American Realty Capital Trust REIT Ord Shs | Price History                                          10-May-2021 00:29",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ARCT.O^A13,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 06-Sep-2011 - 06-Oct-2012",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",395582004,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"12.00 - 12.50",92217665,"0,233118959071758",8,"0,0522875816993464",,,,,,,,
"11.50 - 12.00",53908205,"0,136275675978425",19,"0,124183006535948",,,,,,,,
"11.00 - 11.50",84183490,"0,212809200491335",38,"0,248366013071895",,,,,,,,
"10.50 - 11.00",109633357,"0,277144450180802",60,"0,392156862745098",,,,,,,,
"10.00 - 10.50",55639287,"0,14065171427768",28,"0,183006535947712",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"ARCT.O^A13 Statistics     Daily     01-Mar-2012 - 05-Oct-2012",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"12,74",2012/09/06,Max,49867286,2012/09/06,Advancing,247279260,Up,74,Up,"0,0436397400185702",2012/04/10
Low,"5,5445",2012/03/01,Min,443488,2012/05/29,Declining,126654073,Down,69,Down,"-0,0491803278688525",2012/06/25
Avg,"11,0256535947712",,Avg,"2585503,29411765",,Total,395582004,Unch,9,Period,"0,136320305052431","01-Mar-2012 - 05-Oct-2012"
,,,,,,,,,,,,
,,,,,,,,,,,,
"ARCT.O^A13 History     Daily     01-Mar-2012 - 05-Oct-2012",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2012/10/05,"11,92",0,0,"11,92","11,84","11,99",3361216,,,,,
2012/10/04,"11,92","0,0199999999999996","0,00168067226890753","11,91","11,8","11,96",2151806,,,,,
2012/10/03,"11,9","0,0700000000000003","0,00591715976331363","11,78","11,78","11,99",2748834,,,,,
2012/10/02,"11,83","0,0899999999999999","0,00766609880749573","11,75","11,73","11,84",1913663,,,,,
2012/10/01,"11,74",0,0,"11,81","11,64","11,84",2399994,,,,,
2012/09/28,"11,74","-0,119999999999999","-0,0101180438448566","11,84","11,69","11,86",1326783,,,,,
