"Apollo Residential Mortgage REIT Ord Shs | Price History                                          14-May-2021 02:19",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AMTG.K^I16,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 26-Feb-2015 - 26-Mar-2016",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",80880581,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"16.00 - 17.00",4439002,"0,0548834089112194",23,"0,0845588235294118",,,,,,,,,,,
"15.00 - 16.00",13756315,"0,170081802453917",66,"0,242647058823529",,,,,,,,,,,
"14.00 - 15.00",7797271,"0,0964047352726114",36,"0,132352941176471",,,,,,,,,,,
"13.00 - 14.00",17323523,"0,21418643122754",57,"0,209558823529412",,,,,,,,,,,
"12.00 - 13.00",22973880,"0,284046920978473",52,"0,191176470588235",,,,,,,,,,,
"11.00 - 12.00",4659824,"0,0576136316330369",10,"0,0367647058823529",,,,,,,,,,,
"10.00 - 11.00",7956125,"0,0983687913913477",22,"0,0808823529411765",,,,,,,,,,,
"9.00 - 10.00",1974641,"0,0244142781318547",6,"0,0220588235294118",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"AMTG.K^I16 Statistics     Daily     26-Feb-2015 - 24-Mar-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"16,5005",2015/03/23,Max,4755193,2016/02/26,Advancing,39416212,Up,122,Up,"0,274161735700197",2016/02/26,Max,"61537364,12",2016/02/26
Low,"9,57",2016/02/11,Min,65701,2015/11/27,Declining,39059165,Down,137,Down,"-0,0706401766004414",2015/09/28,Min,"855792,0416",2015/11/27
Avg,"13,8243014705882",,Avg,"297355,077205882",,Total,80880581,Unch,12,Period,"-0,135528815706143","26-Feb-2015 - 24-Mar-2016",Avg,"3976346,27559779",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"AMTG.K^I16 History     Daily     26-Feb-2015 - 24-Mar-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2016/03/24,"13,65","0,210000000000001","0,0156250000000001","13,36","13,3","13,67",253494,"3434238,0209","16313965,3304",,,,,,
2016/03/23,"13,44","-0,200000000000001","-0,0146627565982405","13,63","13,43","13,68",330533,"4477382,0823","12879727,3095",,,,,,
2016/03/22,"13,64","0,110000000000001","0,0081300813008131","13,5","13,4","13,7",472162,"6426384,9506","17357109,3918",,,,,,
2016/03/21,"13,53","0,24","0,018058690744921","13,3","13,3","13,7",482127,"6543166,6912","10930724,4412",,,,,,
2016/03/18,"13,29","-0,130000000000001","-0,00968703427719827","13,48","13,29","13,5499",726912,"9716821,1871","4387557,75000001",,,,,,
2016/03/17,"13,42","0,18","0,013595166163142","13,21","13,18","13,558",812655,"10895894,704","14104378,9371",,,,,,
2016/03/16,"13,24","0,120000000000001","0,00914634146341471","13,11","13,06","13,26",432374,"5694847,43","3208484,23310001",,,,,,
2016/03/15,"13,12","-0,0400000000000009","-0,00303951367781162","13,15","12,95","13,19",368311,"4834074,8822","-2486363,19689999",,,,,,
2016/03/14,"13,16","-0,0899999999999999","-0,00679245283018867","13,22","13,051","13,27",500419,"6600588,9649","2347711,68530001",,,,,,
2016/03/11,"13,25","0,16","0,0122230710466005","13,15","13,1","13,28",647248,"8552591,709","8948300,65020001",,,,,,
2016/03/10,"13,09","-0,00999999999999979","-0,000763358778625938","13,12","13,02","13,19",281598,"3688116,5122","395708,941200008",,,,,,
2016/03/09,"13,1","0,0899999999999999","0,00691775557263642","13,05","12,99","13,15",946790,"12379787,7715","4083825,45340001",,,,,,
2016/03/08,"13,01","-0,0600000000000005","-0,00459066564651878","13,04","12,85","13,13",680131,"8872092,3933","-8295962,31809999",,,,,,
2016/03/07,"13,07","-0,0899999999999999","-0,00683890577507598","13,05","13,05","13,25",676978,"8880931,289","576130,075200008",,,,,,
2016/03/04,"13,16","0,109999999999999","0,00842911877394632","13,03","12,98","13,26",697807,"9169735,4406","9457061,36420001",,,,,,
2016/03/03,"13,05","0,130000000000001","0,010061919504644","12,95","12,85","13,13",771606,"10054658,4217","287325,923600009",,,,,,
