"Brookfield Canada Office Properties REIT Units | Price History                                          18-May-2021 20:57",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BOX_u.TO^G17,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 23-Jan-2016 - 23-Feb-2017",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",7086081,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"31.000 - 32.000",1505953,"0,212522690609944",23,"0,0842490842490843",,,,,,,,
"30.000 - 31.000",,0,0,0,,,,,,,,
"29.000 - 30.000",545425,"0,0769713188432365",16,"0,0586080586080586",,,,,,,,
"28.000 - 29.000",1720712,"0,242829851930849",88,"0,322344322344322",,,,,,,,
"27.000 - 28.000",1491598,"0,210496888195323",44,"0,161172161172161",,,,,,,,
"26.000 - 27.000",526387,"0,0742846433733964",47,"0,172161172161172",,,,,,,,
"25.000 - 26.000",1111420,"0,156845511644589",44,"0,161172161172161",,,,,,,,
"24.000 - 25.000",184586,"0,0260490954026633",11,"0,0402930402930403",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"BOX_u.TO^G17 Statistics     Daily     25-Jan-2016 - 23-Feb-2017",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"32,06",2017/01/25,Max,647624,2016/05/11,Advancing,3915790,Up,130,Up,"0,183136207554369",2017/01/23
Low,"23,638652",2016/01/25,Min,1809,2016/03/15,Declining,3038738,Down,134,Down,"-0,0280132694434205",2016/10/27
Avg,"27,6436205494505",,Avg,"25956,3406593407",,Total,7086081,Unch,8,Period,"0,310257236366208","25-Jan-2016 - 23-Feb-2017"
,,,,,,,,,,,,
,,,,,,,,,,,,
"BOX_u.TO^G17 History     Daily     25-Jan-2016 - 23-Feb-2017",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2017/02/23,"31,53","0,0300000000000011","0,000952380952380988","31,35","31,35","31,55",15898,,,,,
2017/02/22,"31,5","0,120000000000001","0,00382409177820271","31,31","31,31","31,54",26502,,,,,
2017/02/21,"31,38","-0,0199999999999996","-0,000636942675159222","31,51","31,26","31,61",35561,,,,,
2017/02/17,"31,4","-0,0100000000000016","-0,000318369945877159","31,5","31,33","31,5",3739,,,,,
2017/02/16,"31,41","0,0199999999999996","0,000637145587766791","31,45","31,35","31,48",16519,,,,,
2017/02/15,"31,39","0,140000000000001","0,00448000000000002","31,25","31,25","31,44",22452,,,,,
2017/02/14,"31,25",0,0,"31,21","31,2","31,4",28627,,,,,
2017/02/13,"31,25","0,0399999999999991","0,00128164049983977","31,35","31,2","31,35",28078,,,,,
2017/02/10,"31,21","-0,169999999999998","-0,00541746335245373","31,36","31,21","31,43",20528,,,,,
2017/02/09,"31,38","0,27","0,00867888138862101","31,08","31,08","31,4",16735,,,,,
2017/02/08,"31,11","-0,0199999999999996","-0,000642467073562466","31,06","31,06","31,19",16130,,,,,
2017/02/07,"31,13","-0,0300000000000011","-0,00096277278562263","31,17","31,05","31,3",41878,,,,,
2017/02/06,"31,16","-0,190000000000001","-0,0060606060606061","31,19","31,05","31,4",23117,,,,,
2017/02/03,"31,35","0,25","0,00803858520900321","31,1","31,1","31,86",15374,,,,,
2017/02/02,"31,1","0,0100000000000016","0,000321646831778757","31,05","31,05","31,3",29402,,,,,
2017/02/01,"31,09","0,0300000000000011","0,000965872504829399","31,17","31,05","31,2",13650,,,,,
2017/01/31,"31,06","-0,190000000000001","-0,00608000000000004","31,25","31,03","31,34",37264,,,,,
2017/01/30,"31,25",0,0,"31,25","31,25","31,3",29212,,,,,
2017/01/27,"31,25","-0,100000000000001","-0,00318979266347692","31,25","31,2","31,35",32659,,,,,
2017/01/26,"31,35","-0,0499999999999972","-0,001592356687898","31,26","31,25","31,45",45314,,,,,
2017/01/25,"31,4","0,149999999999999","0,00479999999999995","31,49","31,27","32,06",80404,,,,,
2017/01/24,"31,25","0,239999999999998","0,00773943889068037",31,31,"31,36",397239,,,,,
2017/01/23,"31,01","4,8","0,183136207554369","30,61","30,6","31,1",529671,,,,,
2017/01/20,"26,21","-0,0199999999999996","-0,000762485703393045","26,27","26,1","26,27",3030,,,,,
2017/01/19,"26,23","0,0300000000000011","0,00114503816793897","26,2","25,83","26,23",10874,,,,,
2017/01/18,"26,2","0,0599999999999987","0,00229533282325932","26,11","26,06","26,2",4625,,,,,
