"Brookfield Property Partners LP | Price History                                          14-May-2021 00:54",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BPY.O,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 23-Jan-2016 - 23-Feb-2017",,,,,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",40223893,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"24.00 - 25.00",3924741,"0,097572380674342",36,"0,131386861313869",,,,,,,,,,,
"23.00 - 24.00",12411342,"0,308556459216914",76,"0,277372262773723",,,,,,,,,,,
"22.00 - 23.00",10564627,"0,262645562427287",81,"0,295620437956204",,,,,,,,,,,
"21.00 - 22.00",7223435,"0,179580703439123",49,"0,178832116788321",,,,,,,,,,,
"20.00 - 21.00",3908143,"0,0971597403563101",22,"0,0802919708029197",,,,,,,,,,,
"19.00 - 20.00",1370985,"0,0340838466331441",7,"0,0255474452554745",,,,,,,,,,,
"18.00 - 19.00",820620,"0,0204013072528808",3,"0,0109489051094891",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"BPY.O Statistics     Daily     25-Jan-2016 - 23-Feb-2017",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"24,98",2016/06/23,Max,3675099,2017/02/17,Advancing,22659088,Up,144,Up,"0,0388305162174508",2016/03/17,Max,"84534574,5935",2017/02/17
Low,"18,69",2016/02/11,Min,35177,2016/03/14,Declining,16675157,Down,124,Down,"-0,0720097640358014",2016/06/24,Min,"751606,9364",2016/03/14
Avg,"22,5818248175182",,Avg,"146802,52919708",,Total,40223893,Unch,5,Period,"0,14718826405868","25-Jan-2016 - 23-Feb-2017",Avg,"3291369,57481825",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"BPY.O History     Daily     25-Jan-2016 - 23-Feb-2017",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,"Turnover - USD",Flow,,,,,,
2017/02/23,"23,46","0,199999999999999","0,00859845227858982","23,3","23,3","23,5",95273,"2232486,0892","151829999,1374",,,,,,
2017/02/22,"23,26","-0,119999999999997","-0,00513259195893916","23,48","23,15","23,54",157366,"3679036,2398","149597513,0482",,,,,,
2017/02/21,"23,38","0,259999999999998","0,0112456747404843","23,25","23,16","23,48",125651,"2930091,4028","153276549,288",,,,,,
2017/02/17,"23,12","0,140000000000001","0,00609225413402962","22,9","22,9","23,22",3675099,"84534574,5935","150346457,8852",,,,,,
2017/02/16,"22,98","0,0300000000000011","0,00130718954248371","22,96","22,96","23,18",204048,"4705020,19","65811883,2917",,,,,,
2017/02/15,"22,95","0,18","0,00790513833992094","22,79","22,74","22,985",125546,"2868753,6149","61106863,1017",,,,,,
2017/02/14,"22,77","-0,190000000000001","-0,00827526132404187","23,03","22,77","23,04",78579,"1795781,6137","58238109,4868",,,,,,
2017/02/13,"22,96","-0,0999999999999979","-0,00433651344319158","23,18","22,96","23,18",161228,"3710751,9547","60033891,1005",,,,,,
2017/02/10,"23,06","0,209999999999997","0,00919037199124715",23,"22,96","23,16",190670,"4389383,3665","63744643,0552",,,,,,
2017/02/09,"22,85","-0,0499999999999972","-0,00218340611353699","23,17","22,84","23,25",225695,"5192580,8248","59355259,6887",,,,,,
2017/02/08,"22,9","0,0799999999999983","0,00350569675723042","22,8","22,77","23,014",140326,"3218703,0256","64547840,5135",,,,,,
2017/02/07,"22,82","-0,149999999999999","-0,00653025685676964","22,92","22,67","22,92",112863,"2573703,4205","61329137,4879",,,,,,
2017/02/06,"22,97","0,0700000000000003","0,00305676855895198","22,85","22,76","23,04",166707,"3824599,1873","63902840,9084",,,,,,
2017/02/03,"22,9","0,379999999999999","0,016873889875666","22,75","22,65","23,03",339584,"7775214,4585","60078241,7211",,,,,,
2017/02/02,"22,52",0,0,"22,51","22,5","22,739",74668,"1718949,5876","52303027,2626",,,,,,
2017/02/01,"22,52","0,0700000000000003","0,00311804008908687","22,35","22,31","22,66",156609,"3524557,1165","50584077,675",,,,,,
2017/01/31,"22,45","0,449999999999999","0,0204545454545454","22,03",22,"22,46",194556,"4331904,3856","47059520,5585",,,,,,
2017/01/30,22,"-0,0700000000000003","-0,00317172632532851",22,"21,9","22,185",126347,"2781929,4967","42727616,1729",,,,,,
2017/01/27,"22,07","-0,289999999999999","-0,0129695885509839","22,33","22,04","22,55",141222,"3139426,3809","45509545,6696",,,,,,
2017/01/26,"22,36","0,23","0,0103931314957072","22,07","22,07","22,45",153787,"3438098,1094","48648972,0505",,,,,,
2017/01/25,"22,13","0,0399999999999991","0,00181077410593025","22,15",22,"22,6",208109,"4628126,9555","45210873,9411",,,,,,
2017/01/24,"22,09","0,460000000000001","0,0212667591308368","21,73","21,73","22,15",264500,"5809651,2475","40582746,9856",,,,,,
2017/01/23,"21,63","0,289999999999999","0,0135895032802249","21,35","21,24","21,8",319284,"6873192,2313","34773095,7381",,,,,,
2017/01/20,"21,34","0,0199999999999996","0,000938086303939942","21,5","21,25","21,5",191000,"4073023,4071","27899903,5068",,,,,,
2017/01/19,"21,32","-0,129999999999999","-0,00606060606060601","21,46","21,22","21,53",154778,"3300744,3282","23826880,0997",,,,,,
2017/01/18,"21,45","-0,48","-0,0218878248974008","21,9","21,34","21,98",260143,"5628985,6207","27127624,4279",,,,,,
2017/01/17,"21,93","-0,129999999999999","-0,00589301903898454","22,11","21,89","22,25",101698,"2240020,2934","32756610,0486",,,,,,
2017/01/13,"22,06","-0,18","-0,0080935251798561","22,32","22,06","22,32",72957,"1618267,7017","34996630,342",,,,,,
2017/01/12,"22,24","0,0699999999999967","0,00315741993685145","22,28","22,03","22,33",98405,"2184668,7821","36614898,0437",,,,,,
2017/01/11,"22,17","0,0600000000000023","0,00271370420624162","22,01","21,96","22,195",123286,"2716959,4221","34430229,2616",,,,,,
