"CapLease REIT Ord Shs | Price History                                          14-May-2021 04:21",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
LSE^K13,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 28-May-2012 - 28-Jun-2013",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",181019603,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"8.50 - 9.00",60079281,"0,331893783901404",22,"0,0805860805860806",,,,,,,,
"8.00 - 8.50",2193625,"0,0121181626942359",2,"0,00732600732600733",,,,,,,,
"7.50 - 8.00",1746239,"0,00964668450852806",3,"0,010989010989011",,,,,,,,
"7.00 - 7.50",10226651,"0,05649471565795",14,"0,0512820512820513",,,,,,,,
"6.50 - 7.00",14998665,"0,0828565787982642",16,"0,0586080586080586",,,,,,,,
"6.00 - 6.50",26823799,"0,148181735875313",37,"0,135531135531136",,,,,,,,
"5.50 - 6.00",16292375,"0,0900033738334958",27,"0,0989010989010989",,,,,,,,
"5.00 - 5.50",23022640,"0,127183131652322",68,"0,249084249084249",,,,,,,,
"4.50 - 5.00",16759571,"0,0925842876807105",49,"0,179487179487179",,,,,,,,
"4.00 - 4.50",7391245,"0,0408311855594999",29,"0,106227106227106",,,,,,,,
"3.50 - 4.00",1485512,"0,00820635983827674",6,"0,021978021978022",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"LSE^K13 Statistics     Daily     29-May-2012 - 28-Jun-2013",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"8,74",2013/05/28,Max,25074297,2013/05/28,Advancing,113104299,Up,151,Up,"0,204225352112676",2013/05/28
Low,"3,85",2012/06/01,Min,61483,2012/11/23,Declining,61689284,Down,104,Down,"-0,0471311475409835",2012/11/29
Avg,"5,69563516483517",,Avg,"663075,468864469",,Total,181019603,Unch,17,Period,"1,11528822055138","29-May-2012 - 28-Jun-2013"
,,,,,,,,,,,,
,,,,,,,,,,,,
"LSE^K13 History     Daily     29-May-2012 - 28-Jun-2013",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2013/06/28,"8,44","-0,0600000000000005","-0,00705882352941182","8,48","8,43","8,5",1454455,,,,,
2013/06/27,"8,5","0,0199999999999996","0,00235849056603769","8,48","8,46","8,53",568453,,,,,
2013/06/26,"8,48","-0,0599999999999987","-0,00702576112412163","8,48","8,45","8,5101",739170,,,,,
2013/06/25,"8,54",0,0,"8,56","8,52","8,6",635692,,,,,
2013/06/24,"8,54","-0,0200000000000014","-0,002336448598131","8,51","8,48","8,56",1382032,,,,,
2013/06/21,"8,56","0,0500000000000007","0,00587544065804944","8,56","8,51","8,565",2334735,,,,,
2013/06/20,"8,51","-0,00999999999999979","-0,00117370892018777","8,5","8,49","8,54",1502250,,,,,
2013/06/19,"8,52","-0,0400000000000009","-0,00467289719626179","8,57","8,51","8,57",1481761,,,,,
2013/06/18,"8,56","0,0200000000000014","0,00234192037470742","8,54","8,53","8,58",639660,,,,,
2013/06/17,"8,54","0,0199999999999996","0,00234741784037554","8,58","8,52","8,58",498776,,,,,
2013/06/14,"8,52","0,00999999999999979","0,00117508813160985","8,51","8,5","8,62",1304331,,,,,
2013/06/13,"8,51",0,0,"8,51","8,5","8,54",1456171,,,,,
2013/06/12,"8,51","-0,0700000000000003","-0,00815850815850819","8,6","8,51","8,61",1860907,,,,,
2013/06/11,"8,58","-0,0399999999999991","-0,00464037122969828","8,58","8,57","8,64",2066761,,,,,
2013/06/10,"8,62","0,0299999999999994","0,00349243306169958","8,58","8,58","8,68",495191,,,,,
2013/06/07,"8,59","-0,0600000000000005","-0,00693641618497116","8,65","8,58","8,69",1528800,,,,,
2013/06/06,"8,65","0,0400000000000009","0,00464576074332183","8,59","8,58","8,67",1641612,,,,,
2013/06/05,"8,61","-0,100000000000001","-0,0114810562571758","8,67","8,6","8,735",651671,,,,,
2013/06/04,"8,71","0,0800000000000001","0,00926998841251449","8,63","8,61","8,72",2361382,,,,,
2013/06/03,"8,63","0,0100000000000016","0,00116009280742478","8,6","8,57","8,67",1403519,,,,,
2013/05/31,"8,62","0,0199999999999996","0,00232558139534879","8,59","8,55","8,66",3407994,,,,,
2013/05/30,"8,6","-0,00999999999999979","-0,00116144018583041","8,6","8,57","8,63",4221907,,,,,
2013/05/29,"8,61","0,0599999999999987","0,00701754385964897","8,54","8,52","8,65",3561379,,,,,
2013/05/28,"8,55","1,45","0,204225352112676","8,16","8,16","8,74",25074297,,,,,
2013/05/24,"7,1","0,0599999999999996","0,00852272727272722","7,02","6,88","7,2",976044,,,,,
2013/05/23,"7,04","-0,3","-0,0408719346049046","7,26","7,02","7,3",848262,,,,,
2013/05/22,"7,34","-0,28","-0,036745406824147","7,6","7,25","7,74",632907,,,,,
2013/05/21,"7,62","0,0700000000000003","0,00927152317880798","7,57","7,55","7,7",514400,,,,,
2013/05/20,"7,55","-0,0200000000000005","-0,00264200792602384","7,54","7,46","7,63",372865,,,,,
2013/05/17,"7,57","0,220000000000001","0,0299319727891157","7,4","7,37","7,725",858974,,,,,
2013/05/16,"7,35","0,0199999999999996","0,0027285129604365","7,3","7,26","7,37",470342,,,,,
2013/05/15,"7,33","0,17","0,0237430167597765","7,17","7,1","7,33",587913,,,,,
2013/05/14,"7,16","0,04","0,00561797752808989","7,07","7,04","7,18",651994,,,,,
2013/05/13,"7,12",0,0,"7,12","6,99","7,135",496641,,,,,
2013/05/10,"7,12","0,00999999999999979","0,00140646976090011","7,14","7,07","7,22",372110,,,,,
