"Colonial Properties Trust REIT Ord Shs | Price History                                          14-May-2021 04:18",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CLP^J13,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 03-Jun-2012 - 03-Jul-2013",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",204096075,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"24.50 - 25.00",3938517,"0,0192973676735332",3,"0,0110294117647059",,,,,,,,
"24.00 - 24.50",4920055,"0,0241065635387648",6,"0,0220588235294118",,,,,,,,
"23.50 - 24.00",10797903,"0,0529059806760125",9,"0,0330882352941176",,,,,,,,
"23.00 - 23.50",35276914,"0,172844646816456",29,"0,106617647058824",,,,,,,,
"22.50 - 23.00",25775527,"0,126291144991397",33,"0,121323529411765",,,,,,,,
"22.00 - 22.50",40866371,"0,200231048049307",58,"0,213235294117647",,,,,,,,
"21.50 - 22.00",38432479,"0,188305821167801",52,"0,191176470588235",,,,,,,,
"21.00 - 21.50",24231269,"0,118724816241567",43,"0,158088235294118",,,,,,,,
"20.50 - 21.00",14808652,"0,0725572601040956",28,"0,102941176470588",,,,,,,,
"20.00 - 20.50",4034282,"0,0197665829683398",9,"0,0330882352941176",,,,,,,,
"19.50 - 20.00",1014106,"0,00496876777272664",2,"0,00735294117647059",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"CLP^J13 Statistics     Daily     04-Jun-2012 - 03-Jul-2013",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"24,96",2013/05/22,Max,9289077,2013/06/03,Advancing,112269812,Up,142,Up,"0,056987788331072",2013/06/03
Low,"19,66",2012/11/15,Min,194088,2012/11/23,Declining,87973445,Down,125,Down,"-0,0342070191026212",2013/06/20
Avg,"22,03125",,Avg,"750353,216911765",,Total,204096075,Unch,4,Period,"0,158783783783784","04-Jun-2012 - 03-Jul-2013"
,,,,,,,,,,,,
,,,,,,,,,,,,
"CLP^J13 History     Daily     04-Jun-2012 - 03-Jul-2013",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2013/07/03,"24,01","-0,279999999999998","-0,0115273775216137","24,25","23,7","24,25",435321,,,,,
2013/07/02,"24,29","0,27","0,011240632805995","24,02","24,01","24,35",692450,,,,,
2013/07/01,"24,02","-0,100000000000001","-0,00414593698175794","24,25","23,92","24,296",1056021,,,,,
2013/06/28,"24,12","0,240000000000002","0,0100502512562815","23,84","23,66","24,28",1334205,,,,,
2013/06/27,"23,88","0,43","0,0183368869936034","23,58","23,58","23,89",1111077,,,,,
2013/06/26,"23,45","0,460000000000001","0,0200086994345368","23,16","23,0301","23,58",1502606,,,,,
2013/06/25,"22,99","0,719999999999999","0,0323304894476874","22,43","22,3","23,17",1301410,,,,,
2013/06/24,"22,27","0,259999999999998","0,011812812358019","21,8","21,49","22,42",1766397,,,,,
2013/06/21,"22,01","0,270000000000003","0,0124195032198714","21,96","21,59","22,21",2859034,,,,,
2013/06/20,"21,74","-0,770000000000003","-0,0342070191026212","22,35","21,65","22,44",1184729,,,,,
2013/06/19,"22,51","-0,699999999999999","-0,0301594140456699","23,17","22,45","23,45",609409,,,,,
2013/06/18,"23,21","0,210000000000001","0,00913043478260873","23,03","22,89","23,29",1104343,,,,,
2013/06/17,23,"-0,0199999999999996","-0,000868809730668965","23,08","22,78","23,39",1387568,,,,,
2013/06/14,"23,02","-0,129999999999999","-0,00561555075593948","23,15","22,88","23,37",3374240,,,,,
2013/06/13,"23,15","0,399999999999999","0,0175824175824175","22,72","22,72","23,21",1853527,,,,,
2013/06/12,"22,75","-0,170000000000002","-0,00741710296684126","23,07","22,685","23,22",5611548,,,,,
2013/06/11,"22,92","-0,379999999999999","-0,0163090128755364","23,13","22,92","23,29",1939008,,,,,
2013/06/10,"23,3","-0,129999999999999","-0,00554844216816044","23,53","23,25","23,61",582311,,,,,
2013/06/07,"23,43","-0,440000000000001","-0,0184331797235024","23,91","23,09","23,91",1977233,,,,,
2013/06/06,"23,87","0,0500000000000007","0,00209907640638122","23,76","23,53","23,94",1531445,,,,,
2013/06/05,"23,82","-0,0399999999999991","-0,00167644593461857","23,87","23,57","23,92",1493294,,,,,
2013/06/04,"23,86","0,489999999999998","0,0209670517757808","23,43","23,32","24,06",3223795,,,,,
2013/06/03,"23,37","1,26","0,056987788331072","23,15","23,08","23,95",9289077,,,,,
2013/05/31,"22,11","-0,199999999999999","-0,00896458987001342","22,21","22,08","22,47",531721,,,,,
2013/05/30,"22,31","-0,310000000000002","-0,0137046861184793","22,64","22,24","22,77",553868,,,,,
2013/05/29,"22,62","-0,399999999999999","-0,0173761946133796","22,86","22,43","22,9",626778,,,,,
2013/05/28,"23,02","-0,379999999999999","-0,0162393162393162","23,54","22,95","23,62",661306,,,,,
2013/05/24,"23,4","-0,220000000000002","-0,00931414055884854","23,59","23,27","23,74",985095,,,,,
2013/05/23,"23,62","-0,359999999999999","-0,0150125104253544","23,86","23,51","23,97",584892,,,,,
2013/05/22,"23,98","-0,75","-0,0303275374039628","24,8","23,95","24,96",729979,,,,,
2013/05/21,"24,73","0,16","0,00651200651200652","24,64","24,58","24,95",2476335,,,,,
2013/05/20,"24,57","0,0599999999999987","0,00244798041615662","24,44","24,44","24,675",619198,,,,,
2013/05/17,"24,51","0,110000000000003","0,0045081967213116","24,48","24,34","24,61",842984,,,,,
2013/05/16,"24,4","0,199999999999999","0,00826446280991733","24,12","24,12","24,48",661525,,,,,
2013/05/15,"24,2","0,329999999999998","0,0138248847926267","23,8","23,72","24,27",740533,,,,,
2013/05/14,"23,87","0,240000000000002","0,0101565806178587","23,69","23,53","23,9",1112817,,,,,
2013/05/13,"23,63","0,149999999999999","0,00638841567291306","23,52","23,44","23,73",473534,,,,,
2013/05/10,"23,48","0,0899999999999999","0,00384779820436083","23,39","23,39","23,64",728051,,,,,
2013/05/09,"23,39","-0,0999999999999979","-0,00425713069391221","23,5","23,345","23,58",612147,,,,,
2013/05/08,"23,49","0,139999999999997","0,00599571734475362","23,34","23,2","23,58",659755,,,,,
2013/05/07,"23,35","0,460000000000001","0,0200961118392311","22,88","22,8","23,36",485227,,,,,
2013/05/06,"22,89","0,140000000000001","0,00615384615384618","22,84","22,75","22,94",524881,,,,,
2013/05/03,"22,75","0,23","0,0102131438721137","22,68","22,62","22,85",785710,,,,,
2013/05/02,"22,52","-0,190000000000001","-0,00836635843240869","22,62","22,45","22,78",510244,,,,,
2013/05/01,"22,71","-0,5","-0,02154243860405","23,21","22,7","23,27",654689,,,,,
2013/04/30,"23,21","0,330000000000002","0,014423076923077","22,87","22,83","23,21",562143,,,,,
2013/04/29,"22,88","0,199999999999999","0,00881834215167545","22,71","22,6314","22,92",305703,,,,,
2013/04/26,"22,68","-0,129999999999999","-0,0056992547128452","22,82","22,66","22,9",466037,,,,,
2013/04/25,"22,81","-0,300000000000001","-0,0129813933362181","23,14","22,76","23,14",731980,,,,,
2013/04/24,"23,11","-0,0100000000000016","-0,000432525951557161","23,17","23,02","23,29",454506,,,,,
2013/04/23,"23,12","0,109999999999999","0,00478053020425899","23,13","22,89","23,2",624121,,,,,
2013/04/22,"23,01","-0,119999999999997","-0,00518806744487667","23,19","22,75","23,19",602892,,,,,
2013/04/19,"23,13","0,359999999999999","0,0158102766798419","22,8","22,735","23,13",464455,,,,,
2013/04/18,"22,77","-0,0599999999999987","-0,00262812089356105","22,87","22,64","22,92",418296,,,,,
2013/04/17,"22,83","-0,440000000000001","-0,0189084658358402","23,14","22,74","23,14",384280,,,,,
2013/04/16,"23,27","0,32","0,0139433551198257","23,06","22,84","23,38",463131,,,,,
2013/04/15,"22,95","-0,580000000000002","-0,0246493837654059","23,41","22,92","23,51",478345,,,,,
2013/04/12,"23,53","0,300000000000001","0,0129143349117521","23,2","23,2","23,53",537070,,,,,
2013/04/11,"23,23","0,129999999999999","0,00562770562770558","23,13","23,1","23,3",779836,,,,,
2013/04/10,"23,1","-0,0499999999999972","-0,00215982721382277","23,16","23,08","23,23",541336,,,,,
2013/04/09,"23,15","-0,18","-0,00771538791255893","23,35","23,1","23,35",435936,,,,,
2013/04/08,"23,33","0,0899999999999999","0,00387263339070567","23,22","22,94","23,39",472360,,,,,
2013/04/05,"23,24","0,259999999999998","0,011314186248912","22,73","22,68","23,27",788207,,,,,
2013/04/04,"22,98","0,370000000000001","0,0163644405130474","22,63","22,6",23,610433,,,,,
2013/04/03,"22,61","-0,120000000000001","-0,00527936647602292","22,78","22,58","22,84",376267,,,,,
2013/04/02,"22,73","0,0399999999999991","0,00176289114147198","22,78","22,685","22,91",435488,,,,,
2013/04/01,"22,69","0,0800000000000018","0,00353825740822653","22,59","22,46","22,73",487373,,,,,
2013/03/28,"22,61","-0,0899999999999999","-0,0039647577092511","22,74","22,55","22,74",401207,,,,,
2013/03/27,"22,7","0,0599999999999987","0,00265017667844517","22,56","22,5201","22,74",250769,,,,,
2013/03/26,"22,64","0,219999999999999","0,00981266726137372","22,48","22,48","22,65",492840,,,,,
2013/03/25,"22,42","-0,0299999999999976","-0,00133630289532283","22,46","22,355","22,65",521842,,,,,
2013/03/22,"22,45","0,140000000000001","0,00627521290900944","22,33","22,29","22,55",496362,,,,,
2013/03/21,"22,31","-0,16","-0,00712060525144638","22,36","22,3","22,59",571591,,,,,
2013/03/20,"22,47","0,119999999999997","0,00536912751677841","22,39","22,34","22,54",418658,,,,,
2013/03/19,"22,35","-0,139999999999997","-0,00622498888394829","22,54","22,265","22,6825",369750,,,,,
2013/03/18,"22,49","-0,0400000000000027","-0,00177541056369297","22,45","22,37","22,59",529929,,,,,
2013/03/15,"22,53","-0,140000000000001","-0,0061755624172916","22,67","22,48","22,73",1266396,,,,,
2013/03/14,"22,67","0,290000000000003","0,01295799821269","22,35","22,35","22,7",525316,,,,,
2013/03/13,"22,38","0,239999999999998","0,0108401084010839","22,1","21,98","22,46",546366,,,,,
2013/03/12,"22,14","-0,219999999999999","-0,00983899821109118","22,26","22,085","22,34",229551,,,,,
