"CYS Investments REIT Ord Shs | Price History                                          13-May-2021 22:07",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYS^H18,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 26-Apr-2017 - 26-May-2018",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total","185860546,287075",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"19.00 - 20.00","2699286,112754","0,0145231796993901",2,"0,0072992700729927",,,,,,,,,,,
"18.00 - 19.00","55135739,196684","0,296651119875236",94,"0,343065693430657",,,,,,,,,,,
"17.00 - 18.00","37858206,286929","0,203691461384463",74,"0,27007299270073",,,,,,,,,,,
"16.00 - 17.00","9066450,856253","0,0487809330025815",15,"0,0547445255474453",,,,,,,,,,,
"15.00 - 16.00","20994186,971629","0,112956662352654",28,"0,102189781021898",,,,,,,,,,,
"14.00 - 15.00","36349981,186397","0,195576640188348",39,"0,142335766423358",,,,,,,,,,,
"13.00 - 14.00","23756695,676429","0,127820003497327",22,"0,0802919708029197",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CYS^H18 Statistics     Daily     26-Apr-2017 - 25-May-2018",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"19,188033",2017/06/19,Max,"4459624,233416",2018/04/26,Advancing,"87197775,876663",Up,127,Up,"0,099697934960437",2018/04/26,Max,"69240215,0444",2018/04/26
Low,"13,3547",2018/02/15,Min,"122093,251814",2017/11/24,Declining,"87572230,188618",Down,125,Down,"-0,0389430046916514",2018/01/29,Min,"2156298,5562",2017/11/24
Avg,"16,8616246861314",,Avg,"678323,16163166",,Total,"185860546,287075",Unch,21,Period,"-0,147540955756899","26-Apr-2017 - 25-May-2018",Avg,"11165021,5198788",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"CYS^H18 History     Daily     26-Apr-2017 - 25-May-2018",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2018/05/25,"15,555555",0,0,"15,576922","15,534187","15,619657","150762,933649","2347238,2186","11869783,1644001",,,,,,
