"Equity One REIT Ord Shs | Price History                                          18-May-2021 21:28",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
EQY^C17,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 14-Nov-2015 - 14-Dec-2016",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",277521139,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"33.00 - 34.00",1731833,"0,00624036427005296",2,"0,00732600732600733",,,,,,,,,,,
"32.00 - 33.00",17837150,"0,0642731219116249",24,"0,0879120879120879",,,,,,,,,,,
"31.00 - 32.00",19301057,"0,0695480606253926",26,"0,0952380952380952",,,,,,,,,,,
"30.00 - 31.00",33484720,"0,120656466461101",28,"0,102564102564103",,,,,,,,,,,
"29.00 - 30.00",63585548,"0,229119656358862",55,"0,201465201465201",,,,,,,,,,,
"28.00 - 29.00",42622819,"0,153584044637407",52,"0,19047619047619",,,,,,,,,,,
"27.00 - 28.00",42145116,"0,151862723509505",48,"0,175824175824176",,,,,,,,,,,
"26.00 - 27.00",35151678,"0,126663064754862",31,"0,113553113553114",,,,,,,,,,,
"25.00 - 26.00",21661218,"0,0780524974711926",7,"0,0256410256410256",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"EQY^C17 Statistics     Daily     16-Nov-2015 - 14-Dec-2016",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"33,46",2016/08/01,Max,8580409,2016/06/24,Advancing,153572392,Up,145,Up,"0,0681736634373878",2016/11/15,Max,"259194932,5257",2016/06/24
Low,"25,019",2016/01/20,Min,225147,2015/12/24,Declining,120983129,Down,124,Down,"-0,0362595419847328",2016/09/09,Min,"6028873,2383",2015/12/24
Avg,"29,0682051282051",,Avg,"1016560,94871795",,Total,277521139,Unch,3,Period,"0,140061396776669","16-Nov-2015 - 14-Dec-2016",Avg,"29308163,6361088",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"EQY^C17 History     Daily     16-Nov-2015 - 14-Dec-2016",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2016/12/14,"29,71","-0,91","-0,0297191378184193","30,53","29,685","30,53",1764830,"53275783,5839","1051209578,3307",,,,,,
2016/12/13,"30,62","-0,189999999999998","-0,006166828951639","30,93","30,3","31,09",1333374,"40663439,9475","1104485361,9146",,,,,,
2016/12/12,"30,81","0,59","0,0195234943745864","30,28","30,28","30,85",1484217,"45510168,7074","1145148801,8621",,,,,,
2016/12/09,"30,22","0,149999999999999","0,00498836049218485",30,30,"30,46",1711386,"51855639,4687","1099638633,1547",,,,,,
