"LaSalle Hotel Properties REIT Ord Shs | Price History                                          13-May-2021 23:09",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LHO^L18,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 28-Mar-2017 - 28-Apr-2018",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",401076878,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"31.00 - 32.00",11395004,"0,0284110219886572",8,"0,0291970802919708",,,,,,,,,,,
"30.00 - 31.00",54907504,"0,136900197971522",42,"0,153284671532847",,,,,,,,,,,
"29.00 - 30.00",72758486,"0,181407829747792",50,"0,182481751824818",,,,,,,,,,,
"28.00 - 29.00",174981631,"0,436279527936288",132,"0,481751824817518",,,,,,,,,,,
"27.00 - 28.00",23020121,"0,0573957818630472",17,"0,062043795620438",,,,,,,,,,,
"26.00 - 27.00",4983196,"0,0124245407136135",3,"0,0109489051094891",,,,,,,,,,,
"25.00 - 26.00",42812856,"0,106744762284701",15,"0,0547445255474453",,,,,,,,,,,
"24.00 - 25.00",16218080,"0,0404363374943793",7,"0,0255474452554745",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"LHO^L18 Statistics     Daily     28-Mar-2017 - 27-Apr-2018",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"31,75",2017/06/19,Max,15489795,2018/02/21,Advancing,205978927,Up,142,Up,"0,132447665056361",2018/03/28,Max,"398198974,8981",2018/02/21
Low,"24,1",2018/02/21,Min,448927,2017/08/16,Declining,185121009,Down,124,Down,"-0,101946902654867",2018/02/21,Min,"12718362,6504",2017/08/16
Avg,"28,7297810218978",,Avg,"1463784,22627737",,Total,401076878,Unch,7,Period,"0,0480028030833918","28-Mar-2017 - 27-Apr-2018",Avg,"41683243,8634719",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"LHO^L18 History     Daily     28-Mar-2017 - 27-Apr-2018",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2018/04/27,"29,91","-0,0799999999999983","-0,00266755585195059","30,02","29,71","30,22",1014630,"30388295,8965","805233774,7991",,,,,,
2018/04/26,"29,99","-0,140000000000001","-0,00464653169598409","30,27","29,86","30,28",1128754,"33845355,6377","835622070,6956",,,,,,
2018/04/25,"30,13","-0,380000000000003","-0,0124549328089152","30,51","30,03","30,615",1620005,"48990594,5548","869467426,3333",,,,,,
2018/04/24,"30,51","-0,649999999999999","-0,0208600770218228","31,32","30,39","31,32",1420450,"43479386,8115","918458020,8881",,,,,,
2018/04/23,"31,16","0,289999999999999","0,00939423388402977","30,98","30,8401","31,31",1136229,"35349889,0466","961937407,6996",,,,,,
2018/04/20,"30,87","-0,0199999999999996","-0,000647458724506299","30,59","30,59",31,1358859,"41954236,2825","926587518,653",,,,,,
2018/04/19,"30,89","-0,239999999999998","-0,00770960488274971","31,23","30,605","31,33",1417822,"43780086,4056","968541754,9355",,,,,,
2018/04/18,"31,13","-0,100000000000001","-0,00320204931155944","31,27","31,09","31,52",1690965,"52881377,0683","1012321841,3411",,,,,,
2018/04/17,"31,23","0,52","0,0169325952458482","30,88","30,59","31,6",2391653,"74663856,3574","1065203218,4094",,,,,,
2018/04/16,"30,71","0,77","0,0257181028724115","30,57","30,52","31,07",1655115,"50950739,6058","990539362,052",,,,,,
2018/04/13,"29,94",0,0,"30,07","29,88","30,4",1531623,"46048662,3817","939588622,4462",,,,,,
2018/04/12,"29,94","1,12","0,0388619014573213","28,98","28,67","30,12",2517094,"74768949,7334","893539960,0645",,,,,,
2018/04/11,"28,82","0,539999999999999","0,0190947666195191","28,28","28,28","28,895",1535815,"44026272,3078","818771010,3311",,,,,,
2018/04/10,"28,28","-0,799999999999997","-0,0275103163686381","29,32","28,23","29,45",1927660,"55205541,7141","774744738,0233",,,,,,
2018/04/09,"29,08","-0,290000000000003","-0,00987402110997626","29,6","29,075","29,6",928618,"27208380,9056","829950279,7374",,,,,,
2018/04/06,"29,37","-0,300000000000001","-0,0101112234580384","29,55","29,19","29,96",1186848,"34938390,7638","857158660,643",,,,,,
