"Select Income REIT Ord Shs | Price History                                          10-May-2021 00:44",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SIR.O^A19,,,,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,,,,
"History Period: 17-Sep-2017 - 17-Oct-2018",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"VAP: Total",141706638,,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
"11.00 - 11.50",8845361,"0,0624202304482024",34,"0,124087591240876",,,,,,,,,,,
"10.50 - 11.00",7309216,"0,0515799125796775",27,"0,0985401459854015",,,,,,,,,,,
"10.00 - 10.50",10219980,"0,0721206864000259",33,"0,12043795620438",,,,,,,,,,,
"9.50 - 10.00",16437007,"0,115993204213906",34,"0,124087591240876",,,,,,,,,,,
"9.00 - 9.50",31631516,"0,223218308234791",62,"0,226277372262774",,,,,,,,,,,
"8.50 - 9.00",25973157,"0,183288216886495",38,"0,138686131386861",,,,,,,,,,,
"8.00 - 8.50",40426620,"0,285283883455057",44,"0,160583941605839",,,,,,,,,,,
"7.50 - 8.00",863781,"0,00609555778184505",2,"0,0072992700729927",,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"SIR.O^A19 Statistics     Daily     18-Sep-2017 - 17-Oct-2018",,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,,Turnover,,
High,"11,539195",2017/12/18,Max,18676732,2018/10/04,Advancing,67520691,Up,142,Up,"0,084247318567611",2018/09/17,Max,"344372104,0245",2018/10/04
Low,"7,865636",2018/03/02,Min,106898,2017/12/26,Declining,72784829,Down,126,Down,"-0,107597936320812",2018/10/03,Min,"2682376,3296",2017/12/26
Avg,"9,59868667883212",,Avg,"517177,510948905",,Total,141706638,Unch,5,Period,"-0,153813160303063","18-Sep-2017 - 17-Oct-2018",Avg,"10814795,1004022",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"SIR.O^A19 History     Daily     18-Sep-2017 - 17-Oct-2018",,,,,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,Turnover,Flow,,,,,,
2018/10/17,"8,678565","-0,184557","-0,0208230237607019","8,876304","8,645608","8,876304",461909,"9144836,57","-45962337,5085",,,,,,
2018/10/16,"8,863122","0,281230000000001","0,0327701630363096","8,643411","8,590681","8,898275",648863,"13010711,2626","-36817500,9385",,,,,,
2018/10/15,"8,581892","0,0615190000000005","0,00722022380945066","8,595075","8,502796","8,753266",609596,"11974110,2724","-49828212,2011",,,,,,
2018/10/12,"8,520373","-0,219711","-0,0251383167484432","8,766449","8,480825","8,841151",2040968,"39676018,6469","-61802322,4735",,,,,,
2018/10/11,"8,740084","-0,25047","-0,0278592398199266","8,972977","8,731295","9,056467",1206846,"24317059,7693","-22126303,8266",,,,,,
2018/10/10,"8,990554","-0,166980000000001","-0,0182341665343531","9,227841","8,843348","9,2586",1833402,"37413503,5883","2190755,94269995",,,,,,
2018/10/09,"9,157534","0,00878900000000016","0,000960678213241287","9,12238","9,021313","9,280572",1535525,"32019889,5136","39604259,531",,,,,,
2018/10/08,"9,148745","0,347142","0,0394407700506373","8,735689","8,678565","9,210264",6822534,"141794412,8099","7584370,01739995",,,,,,
2018/10/05,"8,801603","0,602007","0,0734191050388337","8,217173","8,217173","8,937823",6105467,"120714367,2756","-134210042,7925",,,,,,
2018/10/04,"8,199596","-0,109855","-0,013220488333104","8,058981","7,927155","8,340211",18676732,"344372104,0245","-254924410,0681",,,,,,
2018/10/03,"8,309451","-1,00188","-0,107597936320812","9,025707","8,177625","9,025707",3983614,"76449975,7149","89447693,9564",,,,,,
2018/10/02,"9,311331","-0,0878840000000007","-0,0093501425384993","9,421186","9,267389","9,460602",429661,"9104843,2669","165897669,6713",,,,,,
2018/10/01,"9,399215","-0,241682000000001","-0,0250684142772193","9,662868","9,394821","9,662868",294736,"6359455,3929","175002512,9382",,,,,,
2018/09/28,"9,640897","0,158192000000001","0,0166821597845764","9,487099","9,451946","9,662868",643035,"14001041,9864","181361968,3311",,,,,,
2018/09/27,"9,482705","0,0263649999999984","0,00278807657085071","9,469523","9,447552","9,614531",350551,"7591013,714","167360926,3447",,,,,,
2018/09/26,"9,45634","-0,0922779999999985","-0,00966401630057863","9,53983","9,451946","9,574984",414249,"8966432,3984","159769912,6307",,,,,,
2018/09/25,"9,548618","0,118642999999999","0,0125814755606456","9,412398","9,408004","9,62332",581976,"12642125,1344","168736345,0291",,,,,,
2018/09/24,"9,429975","-0,0351529999999993","-0,00371394871786196","9,447552","9,315725","9,487099",587990,"12565291,7969","156094219,8947",,,,,,
2018/09/21,"9,465128","0,259257999999999","0,0281622486522185","9,17511","9,17511","9,557407",1143757,"24496515,1001","168659511,6916",,,,,,
2018/09/20,"9,20587","0,325172","0,0366155903511188","8,911458","8,849939","9,214658",1133143,"23412423,3327","144162996,5915",,,,,,
2018/09/19,"8,880698","-0,136220999999999","-0,015107266683886","9,09162","8,819179","9,09162",1626651,"32986983,1244","120750573,2588",,,,,,
2018/09/18,"9,016919","-0,540488","-0,056551740445918","9,491494","8,979568","9,513465",1987242,"41239480,4869","153737556,3832",,,,,,
2018/09/17,"9,557407","0,742621999999999","0,084247318567611","10,12426","9,359667","10,26048",5782948,"130095096,8847","194977036,8701",,,,,,
2018/09/14,"8,814785","-0,0395479999999999","-0,00446651373965717","8,836756","8,735689","8,860924",246040,"4928104,8754","64881939,9854",,,,,,
2018/09/13,"8,854333","0,0615190000000005","0,00699650873997796","8,841151","8,766449","8,885093",213077,"4292887,8683","69810044,8608",,,,,,
2018/09/12,"8,792814","-0,0483370000000001","-0,00546727456639979","8,863122","8,779632","8,885093",179639,"3604688,7054","65517156,9925",,,,,,
2018/09/11,"8,841151","0,0263659999999994","0,00299111095732902","8,801603","8,726901","8,88729",373989,"7507461,4028","69121845,6979",,,,,,
2018/09/10,"8,814785","-0,0219709999999989","-0,00248631964037469","8,87191","8,805997","8,959794",229006,"4615894,6189","61614384,2951",,,,,,
2018/09/07,"8,836756","-0,228499000000001","-0,0252060201285017","9,043284","8,814785","9,074044",314976,"6361654,9109","66230278,914",,,,,,
2018/09/06,"9,065255","0,0439420000000013","0,00487090958932489","9,060861","9,043284","9,131168",233138,"4817895,5976","72591933,8249",,,,,,
2018/09/05,"9,021313","0,206527999999999","0,0234297263064271","8,801603","8,744478","9,047678",375919,"7694599,7683","67774038,2273",,,,,,
