"Sunrise Senior Living Real Estate Investment Trust Units | Price History                                          09-May-2021 23:11",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SZR_u.TO^D07,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 14-Jan-2006 - 14-Feb-2007",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",97110560,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"14.00 - 15.00",58525395,"0,602667670745591",23,"0,0839416058394161",,,,,,,,
"13.00 - 14.00",641361,"0,00660444137074279",5,"0,0182481751824818",,,,,,,,
"12.00 - 13.00",6819817,"0,0702273470567979",66,"0,240875912408759",,,,,,,,
"11.00 - 12.00",4740507,"0,0488155665048168",16,"0,0583941605839416",,,,,,,,
"10.00 - 11.00",20142378,"0,207416968865178",113,"0,412408759124088",,,,,,,,
"9.00 - 10.00",6241102,"0,0642680054568731",51,"0,186131386861314",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"SZR_u.TO^D07 Statistics     Daily     16-Jan-2006 - 14-Feb-2007",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"14,95",2007/01/15,Max,18937901,2007/01/15,Advancing,46878021,Up,126,Up,"0,34841628959276",2007/01/15
Low,9,2006/08/15,Min,4274,2006/02/13,Declining,42253899,Down,131,Down,"-0,044859813084112",2006/05/29
Avg,"11,3202189781022",,Avg,"354418,102189781",,Total,97110560,Unch,16,Period,"0,156710628394104","16-Jan-2006 - 14-Feb-2007"
,,,,,,,,,,,,
,,,,,,,,,,,,
"SZR_u.TO^D07 History     Daily     16-Jan-2006 - 14-Feb-2007",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2007/02/14,"14,91","-0,00999999999999979","-0,000670241286863256","14,9","14,89","14,91",499734,,,,,
2007/02/13,"14,92","0,0199999999999996","0,0013422818791946","14,89","14,88","14,92",1722355,,,,,
2007/02/12,"14,9","-0,0199999999999996","-0,00134048257372651","14,9","14,88","14,94",2589255,,,,,
2007/02/09,"14,92","0,00999999999999979","0,000670690811535868","14,89","14,89","14,92",174630,,,,,
2007/02/08,"14,91","0,0299999999999994","0,00201612903225802","14,88","14,88","14,91",740193,,,,,
2007/02/07,"14,88",0,0,"14,88","14,87","14,89",241302,,,,,
2007/02/06,"14,88","-0,00999999999999979","-0,00067159167226325","14,88","14,86","14,89",663606,,,,,
2007/02/05,"14,89","0,00999999999999979","0,000672043010752674","14,87","14,87","14,9",321953,,,,,
2007/02/02,"14,88",0,0,"14,87","14,87","14,9",420679,,,,,
2007/02/01,"14,88",0,0,"14,87","14,86","14,89",1220859,,,,,
2007/01/31,"14,88","0,0100000000000016","0,000672494956287933","14,85","14,85","14,88",937679,,,,,
2007/01/30,"14,87","0,0299999999999994","0,00202156334231802","14,86","14,84","14,88",599234,,,,,
2007/01/29,"14,84","-0,0400000000000009","-0,00268817204301081","14,88","14,83","14,88",850508,,,,,
2007/01/26,"14,88",0,0,"14,88","14,87","14,9",1697252,,,,,
2007/01/25,"14,88","0,0100000000000016","0,000672494956287933","14,87","14,86","14,88",1831246,,,,,
2007/01/24,"14,87","-0,0200000000000014","-0,00134318334452662","14,89","14,86","14,9",2936246,,,,,
2007/01/23,"14,89",0,0,"14,88","14,88","14,9",1019837,,,,,
2007/01/22,"14,89","0,0400000000000009","0,00269360269360276","14,86","14,85","14,89",1361779,,,,,
2007/01/19,"14,85",0,0,"14,85","14,85","14,87",1044981,,,,,
2007/01/18,"14,85","0,00999999999999979","0,000673854447439339","14,86","14,83","14,87",2132031,,,,,
2007/01/17,"14,84","-0,0500000000000007","-0,00335795836131637","14,88","14,84","14,89",3339802,,,,,
2007/01/16,"14,89","-0,00999999999999979","-0,000671140939597301","14,89","14,86","14,92",13242333,,,,,
2007/01/15,"14,9","3,85","0,34841628959276","14,9","14,82","14,95",18937901,,,,,
2007/01/12,"11,05","0,280000000000001","0,0259981429897866","10,8","10,8","11,05",194948,,,,,
2007/01/11,"10,77","0,27","0,0257142857142857","10,57","10,45","10,8",730655,,,,,
2007/01/10,"10,5","0,00999999999999979","0,000953288846520475","10,55","10,45","10,66",118494,,,,,
2007/01/09,"10,49","0,0400000000000009","0,00382775119617234","10,4","10,39","10,5",76538,,,,,
2007/01/08,"10,45","-0,0500000000000007","-0,00476190476190483","10,41","10,35","10,5",59444,,,,,
2007/01/05,"10,5","0,0500000000000007","0,00478468899521538","10,45","10,44","10,5",25859,,,,,
2007/01/04,"10,45","-0,24","-0,0224508886810103","10,6","10,3","10,65",22484,,,,,
2007/01/03,"10,69","0,0599999999999987","0,00564440263405444","10,53","10,53","10,79",54005,,,,,
2007/01/02,"10,63","-0,0299999999999994","-0,00281425891181983","10,75","10,52","10,75",14086,,,,,
2006/12/29,"10,66","0,16","0,0152380952380953","10,46","10,33","10,73",49685,,,,,
2006/12/28,"10,5","-0,18","-0,0168539325842696","10,65","10,45","10,73",19272,,,,,
2006/12/27,"10,68","-0,0700000000000003","-0,00651162790697677","10,75","10,6","10,75",20114,,,,,
2006/12/22,"10,75","0,25","0,0238095238095238","10,29","10,25","10,75",125188,,,,,
2006/12/21,"10,5","-0,25","-0,0232558139534884","10,74","10,42","10,75",90151,,,,,
2006/12/20,"10,75","0,0999999999999996","0,00938967136150231","10,85","10,6","10,93",217720,,,,,
2006/12/19,"10,65","0,35","0,0339805825242718","10,3","10,3","10,65",519135,,,,,
2006/12/18,"10,3","0,460000000000001","0,0467479674796749","10,08","10,08","10,49",393501,,,,,
2006/12/15,"9,84","0,0199999999999996","0,00203665987780036","9,85","9,64","9,85",175675,,,,,
2006/12/14,"9,82","0,0700000000000003","0,00717948717948721",10,"9,54",10,74934,,,,,
